Id,Id2,Geography,Year,Estimate; Total:,Margin of Error; Total:,Estimate; With a mortgage:,Margin of Error; With a mortgage:,Estimate; With a mortgage: - Less than 2.0,Margin of Error; With a mortgage: - Less than 2.0,Estimate; With a mortgage: - 2.0 to 2.9,Margin of Error; With a mortgage: - 2.0 to 2.9,Estimate; With a mortgage: - 3.0 to 3.9,Margin of Error; With a mortgage: - 3.0 to 3.9,Estimate; With a mortgage: - 4.0 or more,Margin of Error; With a mortgage: - 4.0 or more,Estimate; With a mortgage: - Not computed,Margin of Error; With a mortgage: - Not computed,Estimate; Not mortgaged:,Margin of Error; Not mortgaged:,Estimate; Not mortgaged: - Less than 2.0,Margin of Error; Not mortgaged: - Less than 2.0,Estimate; Not mortgaged: - 2.0 to 2.9,Margin of Error; Not mortgaged: - 2.0 to 2.9,Estimate; Not mortgaged: - 3.0 to 3.9,Margin of Error; Not mortgaged: - 3.0 to 3.9,Estimate; Not mortgaged: - 4.0 or more,Margin of Error; Not mortgaged: - 4.0 or more,Estimate; Not mortgaged: - Not computed,Margin of Error; Not mortgaged: - Not computed
0500000US06113,6113,"Yolo County, California",2005,36348,1829,26625,1797,1107,514,2378,683,3521,835,19584,1759,35,59,9723,1114,1211,464,436,266,684,356,7296,1048,96,122
0500000US06115,6115,"Yuba County, California",2005,12909,1449,8372,1367,925,432,1001,492,1740,621,4706,1015,0,293,4537,782,714,360,632,378,525,459,2620,574,46,82
0500000US06001,6001,"Alameda County, California",2006,296733,4773,232569,4679,7166,1250,11510,1383,20666,1973,192517,4826,710,363,64164,3152,4092,841,2368,711,3209,783,53941,2974,554,431
0500000US06007,6007,"Butte County, California",2006,51211,1957,32678,2233,3090,739,4062,818,5887,1178,19639,2102,0,289,18533,1599,3307,764,2355,668,2691,724,10040,1387,140,156
0500000US06013,6013,"Contra Costa County, California",2006,258877,4662,207360,4511,6227,1214,9618,1745,18559,1941,172529,4876,427,315,51517,2743,4016,820,2288,635,2841,701,42108,2599,264,280
0500000US06017,6017,"El Dorado County, California",2006,49224,1868,38404,1930,1365,600,2856,907,4786,855,29251,1810,146,142,10820,1171,1469,638,1183,456,726,363,7394,1010,48,79
0500000US06019,6019,"Fresno County, California",2006,152363,3959,114231,3551,7685,1290,15339,1761,21341,1974,69203,3296,663,395,38132,2339,6255,1254,2984,693,4107,951,24556,2087,230,229
0500000US06023,6023,"Humboldt County, California",2006,28751,1568,17197,1467,846,384,1980,761,1980,628,12334,1438,57,95,11554,1266,1978,647,789,361,951,346,7779,1112,57,75
0500000US06025,6025,"Imperial County, California",2006,27196,2081,19212,1873,1665,600,3603,883,2439,808,11423,1451,82,100,7984,1214,2458,637,1141,460,818,431,3472,964,95,128
0500000US06029,6029,"Kern County, California",2006,147483,4000,111990,3877,12236,1805,18212,1870,20952,2486,60537,2743,53,62,35493,2362,6686,1008,3754,783,3411,694,21086,1926,556,448
0500000US06031,6031,"Kings County, California",2006,22372,1540,16676,1396,2052,721,4074,963,3515,693,7012,1165,23,40,5696,921,1769,680,736,354,475,280,2655,560,61,75
0500000US06033,6033,"Lake County, California",2006,16167,1927,9512,1542,587,474,703,542,819,499,7403,1435,0,289,6655,1365,1136,497,418,325,373,281,4728,1102,0,289
0500000US06037,6037,"Los Angeles County, California",2006,1564640,11710,1219070,12583,48682,2793,65220,3849,109317,5629,989171,13233,6680,1462,345570,6915,28693,2253,14994,1812,18358,1904,278162,6688,5363,1188
0500000US06039,6039,"Madera County, California",2006,25064,1844,18093,1715,1375,580,1872,673,2869,804,11919,1495,58,100,6971,986,627,292,620,395,583,306,4994,883,147,175
0500000US06041,6041,"Marin County, California",2006,65129,2319,47367,2297,1774,549,2101,714,3445,807,39974,2170,73,126,17762,1815,993,416,856,448,835,440,14955,1497,123,166
0500000US06045,6045,"Mendocino County, California",2006,21429,1452,12592,1397,539,320,571,332,1085,643,10221,1479,176,202,8837,1224,722,284,879,456,474,341,6762,1164,0,289
0500000US06047,6047,"Merced County, California",2006,38913,2209,27288,2296,1025,472,1579,446,2967,904,21594,2020,123,144,11625,1291,1692,547,804,332,816,302,8259,1127,54,90
0500000US06053,6053,"Monterey County, California",2006,68716,2531,50021,2789,1905,630,1388,567,2644,844,44035,2706,49,80,18695,1647,1415,511,869,353,869,422,15455,1466,87,117
0500000US06055,6055,"Napa County, California",2006,29915,1619,20706,1694,491,310,798,418,1661,556,17756,1795,0,289,9209,1100,551,309,538,313,258,204,7862,1113,0,289
0500000US06057,6057,"Nevada County, California",2006,29191,1931,19643,1657,742,496,754,373,2078,688,16069,1597,0,289,9548,1296,829,401,483,472,378,266,7858,1348,0,289
0500000US06059,6059,"Orange County, California",2006,605615,6967,474101,7649,18570,1944,20859,1951,36765,2390,395784,8176,2123,732,131514,4485,13938,1645,6134,1047,7731,1273,102351,3844,1360,622
0500000US06061,6061,"Placer County, California",2006,89272,2523,68151,2502,1812,589,4680,994,10574,1430,50847,2859,238,206,21121,1735,1680,615,777,346,1555,533,17109,1591,0,289
0500000US06065,6065,"Riverside County, California",2006,444836,6011,338553,6134,13430,1838,25816,2407,42184,3313,255494,6183,1629,634,106283,3679,19216,1705,8860,1438,8476,1254,68633,3697,1098,489
0500000US06067,6067,"Sacramento County, California",2006,306047,6029,244003,6011,10120,1644,20629,2053,39600,3157,172653,5660,1001,473,62044,3047,6705,1166,4779,936,5443,1126,44411,2824,706,468
0500000US06071,6071,"San Bernardino County, California",2006,393257,6526,311681,6264,16056,2014,27168,2334,38924,3171,228790,6530,743,410,81576,3953,16528,1957,7704,1233,5589,1033,51033,3299,722,386
0500000US06073,6073,"San Diego County, California",2006,599242,8305,460541,8017,14679,1703,22678,1894,45216,3469,376098,7681,1870,707,138701,4039,14455,1712,7491,1162,9035,1204,106358,3736,1362,523
0500000US06075,6075,"San Francisco County, California",2006,126712,4349,87731,3812,4197,866,4579,865,8131,1169,70495,3828,329,212,38981,2330,1445,621,876,531,1582,616,34799,2318,279,221
0500000US06077,6077,"San Joaquin County, California",2006,132481,3772,101335,3950,4337,916,8335,1271,11229,1455,77282,3561,152,141,31146,2155,4048,795,2469,804,2420,742,21849,1843,360,312
0500000US06079,6079,"San Luis Obispo County, California",2006,60654,2209,42695,2256,1335,570,1485,563,3609,1084,36042,2381,224,199,17959,1608,1143,441,1213,582,1189,428,14225,1405,189,187
0500000US06081,6081,"San Mateo County, California",2006,159025,3815,118743,3870,5524,976,4402,1057,10625,1484,97850,3709,342,246,40282,2749,2293,730,988,428,1714,680,35090,2593,197,171
0500000US06083,6083,"Santa Barbara County, California",2006,75011,2009,51465,2401,1815,528,2163,681,3835,826,43504,2477,148,130,23546,1786,1885,603,708,323,1055,449,19862,1703,36,60
0500000US06085,6085,"Santa Clara County, California",2006,354810,6056,275979,5947,12668,1717,14354,1716,28106,2481,219311,5811,1540,726,78831,3241,8723,1322,3749,717,3276,662,62344,2891,739,462
0500000US06087,6087,"Santa Cruz County, California",2006,55666,2221,41706,2288,900,402,1509,540,3300,884,35848,2206,149,172,13960,1319,996,408,848,463,508,319,11562,1268,46,74
0500000US06089,6089,"Shasta County, California",2006,44889,2165,29380,1966,2449,646,3949,876,4355,877,18407,1764,220,236,15509,1434,1803,575,1944,582,1442,529,10225,1225,95,125
0500000US06095,6095,"Solano County, California",2006,90468,3012,76112,3038,2346,700,4283,1034,8594,1280,60801,3046,88,101,14356,1372,1658,450,794,331,720,375,11071,1144,113,131
