Id,Id2,Geography,Year,Estimate; Total:,Margin of Error; Total:,Estimate; Less than $100,Margin of Error; Less than $100,Estimate; $100 to $199,Margin of Error; $100 to $199,Estimate; $200 to $299,Margin of Error; $200 to $299,Estimate; $300 to $399,Margin of Error; $300 to $399,Estimate; $400 to $499,Margin of Error; $400 to $499,Estimate; $500 to $599,Margin of Error; $500 to $599,Estimate; $600 to $699,Margin of Error; $600 to $699,Estimate; $700 to $799,Margin of Error; $700 to $799,Estimate; $800 to $899,Margin of Error; $800 to $899,Estimate; $900 to $999,Margin of Error; $900 to $999,"Estimate; $1,000 to $1,499","Margin of Error; $1,000 to $1,499","Estimate; $1,500 to $1,999","Margin of Error; $1,500 to $1,999","Estimate; $2,000 or more","Margin of Error; $2,000 or more",Estimate; No cash rent,Margin of Error; No cash rent
0500000US06101,6101,"Sutter County, California",2006,30330,872,103,134,723,303,1514,531,1464,500,918,372,1828,602,2223,699,1243,503,2340,559,1683,605,6512,1304,3865,793,5457,1168,457,376
0500000US06107,6107,"Tulare County, California",2006,122153,1894,841,423,3244,668,7647,1127,7035,1246,9835,1533,9450,1320,10295,1647,10510,1490,7332,1383,9176,1712,20992,2188,11834,1599,10239,1259,3723,962
0500000US06111,6111,"Ventura County, California",2006,259093,2535,873,353,3864,774,8319,1284,7626,1087,6956,1087,6752,1141,7621,1616,8810,1475,7449,1283,6337,1090,50120,3088,42128,3024,98828,3772,3410,857
0500000US06113,6113,"Yolo County, California",2006,66385,1197,299,223,420,297,2227,721,2527,696,3415,840,3623,1017,3364,1041,4753,1179,4947,1460,4415,1029,12306,1421,8365,1386,14782,1490,942,442
0500000US06115,6115,"Yuba County, California",2006,24256,850,55,96,895,407,1423,530,1602,598,1608,711,1319,477,2049,727,1035,477,974,551,1328,543,3613,969,2760,805,3110,854,2485,967
0500000US06001,6001,"Alameda County, California",2007,519809,4348,1050,533,5399,1184,18437,1789,15050,1479,16041,1718,13606,1581,15812,2064,19452,2023,25258,2558,28014,2375,102479,4559,65310,3588,187014,4620,6887,1494
0500000US06007,6007,"Butte County, California",2007,85845,1944,1031,673,2691,819,4843,1170,5579,1044,5147,1059,5573,1286,5907,1449,6819,1217,5975,1269,6876,1729,13969,1579,9682,1412,10047,1247,1706,599
0500000US06013,6013,"Contra Costa County, California",2007,366428,3264,616,338,3358,925,9866,1457,11141,1340,9764,1485,10353,1408,8668,1486,9007,1451,12552,1669,15811,2645,62878,3935,47985,3076,161696,4024,2733,702
0500000US06017,6017,"El Dorado County, California",2007,67506,1652,0,292,386,209,1435,586,1805,561,2155,588,3129,933,3399,1017,3120,1010,3278,1099,3441,1058,11508,1638,10563,1802,22928,1751,359,271
0500000US06019,6019,"Fresno County, California",2007,280493,2244,895,487,6046,1245,12059,1405,15295,1774,13343,1501,16191,2131,21304,1883,23363,2669,21611,2401,15736,2181,57606,3628,30175,2327,41444,2975,5425,990
0500000US06023,6023,"Humboldt County, California",2007,51902,1378,425,283,1863,499,3586,733,4688,802,3923,946,2989,771,4416,1069,3364,922,2248,640,2383,810,9837,1448,4775,1104,5014,969,2391,918
0500000US06025,6025,"Imperial County, California",2007,46312,1628,173,207,1309,471,3971,1103,3635,965,3821,1097,4634,1185,4403,953,3342,1001,2098,759,2050,800,7996,1529,3553,844,4292,1025,1035,445
0500000US06029,6029,"Kern County, California",2007,239662,2774,1193,492,4652,871,10013,1424,12593,1540,13801,1985,15353,2034,18758,2262,18216,2159,15708,1951,12253,1528,47209,2777,27873,2319,37285,2809,4755,1135
0500000US06031,6031,"Kings County, California",2007,39014,972,0,292,912,458,2159,692,1664,622,2533,921,1725,618,3416,1024,2386,862,2424,860,1427,462,8810,1241,4406,1048,5054,1003,2098,665
0500000US06033,6033,"Lake County, California",2007,23326,1983,549,571,1416,797,1417,648,1894,723,1519,741,1737,694,800,428,374,400,1721,976,949,503,4018,1424,2834,1053,3369,967,729,450
0500000US06037,6037,"Los Angeles County, California",2007,3181903,9122,7744,1164,30206,2513,104963,4552,92343,4599,95555,5499,109140,5467,135311,5584,175508,7328,195933,6502,205093,8211,713711,12618,421354,10833,855810,12924,39232,3109
0500000US06039,6039,"Madera County, California",2007,43355,1241,165,207,1576,694,2664,819,1998,569,2279,684,1388,506,4374,812,2922,869,2379,802,2574,887,8061,1637,3670,894,7825,950,1480,608
0500000US06041,6041,"Marin County, California",2007,99627,2024,153,184,914,529,2166,636,2056,723,2038,632,3206,860,2337,750,2209,680,2792,953,2351,736,18507,1972,14582,1491,44966,2665,1350,576
0500000US06045,6045,"Mendocino County, California",2007,33482,1268,590,472,1532,499,1859,690,2553,792,2139,773,2323,731,2062,683,2326,880,2229,746,1957,820,5203,1070,1787,632,6378,1150,544,311
0500000US06047,6047,"Merced County, California",2007,73482,1809,600,345,1551,621,3388,815,2759,786,4470,1047,5530,1290,4527,1136,2993,809,4963,1233,4034,1149,14442,1832,8150,1459,13379,1641,2696,733
