Id,Id2,Geography,Year,Estimate; Total:,Margin of Error; Total:,Estimate; Total: - Median household income for units with a mortgage,Margin of Error; Total: - Median household income for units with a mortgage,Estimate; Total: - Median household for units without a mortgage,Margin of Error; Total: - Median household for units without a mortgage
0500000US06017,6017,"El Dorado County, California",2011,76186,4443,89984,7342,42694,6113
0500000US06019,6019,"Fresno County, California",2011,62550,2278,69459,3517,40948,2243
0500000US06023,6023,"Humboldt County, California",2011,53601,3879,67371,4425,37659,8562
0500000US06025,6025,"Imperial County, California",2011,58676,4007,68750,7978,38883,7618
0500000US06029,6029,"Kern County, California",2011,60362,2391,68355,3208,38276,3891
0500000US06031,6031,"Kings County, California",2011,67224,9052,75253,5679,43400,7862
0500000US06033,6033,"Lake County, California",2011,46141,3990,49955,5438,31718,3324
0500000US06037,6037,"Los Angeles County, California",2011,79244,988,88075,1116,51100,1281
0500000US06039,6039,"Madera County, California",2011,53529,3375,60069,4216,42883,7439
0500000US06041,6041,"Marin County, California",2011,109688,10122,124121,8824,69250,13841
0500000US06045,6045,"Mendocino County, California",2011,50562,4942,61481,7727,38270,5240
0500000US06047,6047,"Merced County, California",2011,56697,3270,62612,6300,40815,7358
0500000US06053,6053,"Monterey County, California",2011,78701,6134,86444,7860,61705,10178
0500000US06055,6055,"Napa County, California",2011,85518,5537,95802,7211,47967,5322
0500000US06057,6057,"Nevada County, California",2011,62063,7838,76568,7971,41980,4661
0500000US06059,6059,"Orange County, California",2011,95655,1642,106057,1983,58682,2880
0500000US06061,6061,"Placer County, California",2011,82586,4315,94758,4274,50696,5898
0500000US06065,6065,"Riverside County, California",2011,65474,1376,75280,1803,39302,2292
0500000US06067,6067,"Sacramento County, California",2011,69865,2582,77316,3100,44661,3984
0500000US06071,6071,"San Bernardino County, California",2011,64792,1987,72587,2711,38479,3281
0500000US06073,6073,"San Diego County, California",2011,81433,1369,91664,1978,50658,2134
0500000US06075,6075,"San Francisco County, California",2011,101399,3513,123656,5027,59386,5880
0500000US06077,6077,"San Joaquin County, California",2011,64590,3414,73320,4888,41388,3819
0500000US06079,6079,"San Luis Obispo County, California",2011,74162,4055,85692,6090,52582,7281
0500000US06081,6081,"San Mateo County, California",2011,111586,3683,130419,5092,59676,5075
0500000US06083,6083,"Santa Barbara County, California",2011,83121,4146,97372,5119,56859,5801
0500000US06085,6085,"Santa Clara County, California",2011,111708,1885,128085,4116,67360,3201
0500000US06087,6087,"Santa Cruz County, California",2011,86625,7817,100951,4714,44098,6035
0500000US06089,6089,"Shasta County, California",2011,54150,3485,63521,6903,34740,4572
0500000US06095,6095,"Solano County, California",2011,80019,4297,87215,4968,51933,7154
0500000US06097,6097,"Sonoma County, California",2011,79229,3845,94906,5487,41667,2543
0500000US06099,6099,"Stanislaus County, California",2011,60480,3012,67998,3172,37462,4513
0500000US06101,6101,"Sutter County, California",2011,63309,7681,71968,6205,40215,7535
0500000US06107,6107,"Tulare County, California",2011,55611,3263,62129,2999,37609,3684
0500000US06111,6111,"Ventura County, California",2011,94208,2416,103167,2003,49627,4499
0500000US06113,6113,"Yolo County, California",2011,83078,6617,96966,11776,45437,7617
0500000US06115,6115,"Yuba County, California",2011,51317,6800,58869,11361,32933,12858
0500000US06001,6001,"Alameda County, California",2012,103427,2569,117349,3295,60600,2907
0500000US06007,6007,"Butte County, California",2012,55478,4978,63947,4334,38296,3582
0500000US06013,6013,"Contra Costa County, California",2012,96837,3271,109055,3696,55805,4361
0500000US06017,6017,"El Dorado County, California",2012,83140,7014,97171,6560,50920,12591
0500000US06019,6019,"Fresno County, California",2012,61676,1519,69091,2937,42324,4456
0500000US06023,6023,"Humboldt County, California",2012,55346,3777,61321,5317,39875,4480
0500000US06025,6025,"Imperial County, California",2012,51346,5397,61787,9311,33153,5969
0500000US06029,6029,"Kern County, California",2012,61614,2156,70456,3096,39127,3296
