Year,Id,Id2,Geography,Estimate; Quintile Means: - Lowest Quintile,Margin of Error; Quintile Means: - Lowest Quintile,Estimate; Quintile Means: - Second Quintile,Margin of Error; Quintile Means: - Second Quintile,Estimate; Quintile Means: - Third Quintile,Margin of Error; Quintile Means: - Third Quintile,Estimate; Quintile Means: - Fourth Quintile,Margin of Error; Quintile Means: - Fourth Quintile,Estimate; Quintile Means: - Highest Quintile,Margin of Error; Quintile Means: - Highest Quintile,Estimate; Top 5 Percent,Margin of Error; Top 5 Percent
2010,0500000US06041,6041,"Marin County, California",16993,1997,46023,3384,83913,4691,137921,7340,339467,23874,627273,66887
2009,0500000US06041,6041,"Marin County, California",19956,2001,50418,3350,88152,4517,133717,6582,334463,24392,625055,65166
2008,0500000US06041,6041,"Marin County, California",20069,2270,54898,4193,92925,4835,142028,6691,337346,28339,624762,78668
2007,0500000US06041,6041,"Marin County, California",18985,1886,49603,3786,83659,4453,133068,7420,328160,28802,597448,93636
2006,0500000US06041,6041,"Marin County, California",18128,1797,48366,3605,82246,4183,126530,6334,318018,25958,602274,84121
2013,0500000US06045,6045,"Mendocino County, California",9444,1559,23157,2985,41502,4626,67231,6328,173520,48148,346732,176186
2012,0500000US06045,6045,"Mendocino County, California",9717,1191,23032,2553,41838,3513,66977,4679,122563,6162,171726,11390
2011,0500000US06045,6045,"Mendocino County, California",10911,2043,25868,2631,43458,3737,66358,4183,151418,22143,272275,79584
2010,0500000US06045,6045,"Mendocino County, California",11318,1522,24121,2362,39420,3979,59189,4697,115350,11735,177500,25209
2009,0500000US06045,6045,"Mendocino County, California",8936,1496,24091,3097,41599,3329,64441,5755,122201,10204,179136,23859
2008,0500000US06045,6045,"Mendocino County, California",10134,1238,23289,3204,43124,5802,67965,5318,157697,31980,292926,115940
2007,0500000US06045,6045,"Mendocino County, California",10438,1646,25486,2627,43072,3685,67991,6071,125264,10320,196313,27484
2006,0500000US06045,6045,"Mendocino County, California",9217,2392,24888,2931,38816,3117,59264,6042,137365,18430,239208,59334
2013,0500000US06047,6047,"Merced County, California",11187,921,25629,1448,41000,2224,63407,3498,135330,8796,221394,24064
2012,0500000US06047,6047,"Merced County, California",9950,1212,25534,1674,43654,2430,68874,3943,140201,9284,222798,29076
2011,0500000US06047,6047,"Merced County, California",10876,929,24820,1517,39707,2058,64106,3013,138952,12014,237542,37827
2010,0500000US06047,6047,"Merced County, California",9717,1042,24710,1958,42489,2621,66440,3689,156837,20673,303930,68210
2009,0500000US06047,6047,"Merced County, California",10461,1146,24441,1628,39632,2411,63114,3581,136466,16717,240762,57698
2008,0500000US06047,6047,"Merced County, California",9370,969,24344,1988,42627,3228,68019,4113,138709,12500,230849,35131
2007,0500000US06047,6047,"Merced County, California",10929,1279,25695,1924,44064,2619,68596,4523,149588,12612,260753,40234
2006,0500000US06047,6047,"Merced County, California",10623,922,23263,1586,41151,3096,62888,3397,129133,9707,220917,30835
2013,0500000US06053,6053,"Monterey County, California",13832,1356,34934,1766,57398,2632,89805,3023,195509,14193,345439,47982
2012,0500000US06053,6053,"Monterey County, California",15345,1202,35996,1894,58225,2200,88050,2349,183245,10207,306073,29879
2011,0500000US06053,6053,"Monterey County, California",13711,1280,33343,1363,53638,2057,84277,3024,187334,11566,332827,36991
2010,0500000US06053,6053,"Monterey County, California",14552,1220,34485,1878,54893,2456,84941,3443,184539,10267,317627,31062
2009,0500000US06053,6053,"Monterey County, California",14054,1294,33949,2292,58215,2648,90265,3195,179799,8377,294790,23001
2008,0500000US06053,6053,"Monterey County, California",16061,1232,37904,2211,59472,2133,89603,3141,183841,10757,316288,37478
2007,0500000US06053,6053,"Monterey County, California",14854,1415,36675,1650,57840,2289,86501,2887,192206,15254,351574,54328
2006,0500000US06053,6053,"Monterey County, California",15892,1302,35470,1715,55437,2753,85181,3213,187322,17335,346627,58346
2013,0500000US06055,6055,"Napa County, California",17164,1810,41122,3359,69722,4410,107433,6202,232514,20616,404672,60471
2012,0500000US06055,6055,"Napa County, California",17258,2017,42831,2922,68498,3970,103717,5721,224171,19812,393136,52868
2011,0500000US06055,6055,"Napa County, California",16517,2019,38123,2662,61732,4417,96600,5768,232652,28912,443046,95465
2010,0500000US06055,6055,"Napa County, California",14802,1690,37476,3836,64459,5285,99429,5594,220000,31209,401643,104479
2009,0500000US06055,6055,"Napa County, California",18929,2367,43265,3584,70024,4771,109980,7122,236603,22560,412469,58216
2008,0500000US06055,6055,"Napa County, California",17117,1827,39425,3598,66138,5026,102878,5876,228459,24610,415322,73840
2007,0500000US06055,6055,"Napa County, California",17462,1995,38193,3018,62412,4634,98599,5791,219483,27746,396815,93797
2006,0500000US06055,6055,"Napa County, California",12610,2427,37945,3983,66230,3960,95847,6208,203993,23719,365916,80592
2013,0500000US06057,6057,"Nevada County, California",14652,1990,33089,3150,55153,4454,87546,7410,177666,22145,298927,72305
2012,0500000US06057,6057,"Nevada County, California",18444,1723,35745,2599,54640,4797,88979,6918,178464,27276,311190,95251
2011,0500000US06057,6057,"Nevada County, California",13578,1727,33040,3307,54527,4377,85259,6279,179607,19087,295744,41529
2010,0500000US06057,6057,"Nevada County, California",12136,2294,31088,3977,54395,4417,82382,6095,152264,12758,231241,27875
2009,0500000US06057,6057,"Nevada County, California",14290,2239,34365,3197,58411,4604,89011,5727,178586,22853,291348,63709
2008,0500000US06057,6057,"Nevada County, California",13727,2046,33405,3492,53095,4254,82575,6150,152922,16754,244345,54228
2007,0500000US06057,6057,"Nevada County, California",15991,2454,37290,3724,58504,4123,83677,6571,160163,18295,262734,58198
2006,0500000US06057,6057,"Nevada County, California",14728,1904,32957,2541,50547,3693,77170,6053,161347,17160,259749,43133
2013,0500000US06059,6059,"Orange County, California",16439,544,43698,909,74047,1141,115845,1821,256183,8226,450586,27066
2012,0500000US06059,6059,"Orange County, California",16421,468,43337,783,72314,988,113387,1293,244901,5972,424418,19821
2011,0500000US06059,6059,"Orange County, California",16304,488,42756,872,72699,1214,113189,1617,238186,5456,405225,16111
2010,0500000US06059,6059,"Orange County, California",16626,531,42424,771,70769,1099,108404,1559,228821,6987,393326,22155
2009,0500000US06059,6059,"Orange County, California",17903,575,45100,824,72438,1049,110007,1421,235016,5745,410969,19838
2008,0500000US06059,6059,"Orange County, California",18110,549,46396,883,75148,1103,115217,1512,253183,7777,455644,25634
2007,0500000US06059,6059,"Orange County, California",18668,514,45180,772,73802,969,112864,1362,246449,6547,440365,21158
2006,0500000US06059,6059,"Orange County, California",17106,560,43564,717,70760,929,106759,1288,234817,5969,427584,20716
2013,0500000US06061,6061,"Placer County, California",17055,1523,44802,2390,73082,2562,111184,3420,225997,16656,385885,52492
2012,0500000US06061,6061,"Placer County, California",17047,1294,41996,2265,69523,2743,106178,3347,206164,11772,343489,40591
2011,0500000US06061,6061,"Placer County, California",14790,1298,39436,3005,69014,3278,104093,4008,195488,10714,303555,28980
2010,0500000US06061,6061,"Placer County, California",16331,1241,40336,1834,67918,2578,102505,3081,194662,11051,307031,34497
2009,0500000US06061,6061,"Placer County, California",18252,1265,43340,2421,70955,2731,107251,3783,201147,12429,320492,36748
2008,0500000US06061,6061,"Placer County, California",17870,1903,46245,2047,74373,2532,108421,3314,208212,11045,345179,35229
2007,0500000US06061,6061,"Placer County, California",18410,1391,43025,1873,69335,3061,101317,3321,197491,10992,318855,33777
2006,0500000US06061,6061,"Placer County, California",18917,1297,43839,1951,69410,2753,103284,3637,211022,16450,367782,54482
2013,0500000US06065,6065,"Riverside County, California",12948,477,32799,780,54601,969,85767,1217,175175,4334,290623,13351
2012,0500000US06065,6065,"Riverside County, California",12651,423,31793,657,53137,1100,83213,1539,164537,4018,259242,10984
2011,0500000US06065,6065,"Riverside County, California",12743,498,31909,901,53454,1333,83969,1596,167417,5140,266776,14969
2010,0500000US06065,6065,"Riverside County, California",13435,468,32534,858,54398,1166,84152,1499,168194,5045,276793,15817
2009,0500000US06065,6065,"Riverside County, California",13782,517,33217,761,55714,1038,85438,1493,165812,4525,271672,13898
2008,0500000US06065,6065,"Riverside County, California",14447,506,34898,858,57938,1126,87893,1374,174188,5341,289121,18456
2007,0500000US06065,6065,"Riverside County, California",14505,518,35449,855,58551,1157,88387,1441,181037,6652,310856,22053
2006,0500000US06065,6065,"Riverside County, California",13970,546,33413,921,53742,1129,81091,1622,160139,4158,261641,12380
2013,0500000US06067,6067,"Sacramento County, California",11662,557,31529,860,53403,1185,84121,1658,175474,6349,297941,20995
2012,0500000US06067,6067,"Sacramento County, California",11215,478,30878,798,53018,1132,83571,1628,169627,4535,280212,14764
2011,0500000US06067,6067,"Sacramento County, California",11863,776,31449,1108,52540,1469,81596,1948,163135,5238,257139,14885
2010,0500000US06067,6067,"Sacramento County, California",12788,532,32260,776,53121,1118,81545,1560,159377,5032,256089,15600
2009,0500000US06067,6067,"Sacramento County, California",13205,503,32288,827,53263,1043,82089,1535,163925,5232,266984,17499
2008,0500000US06067,6067,"Sacramento County, California",14980,602,36038,796,57476,1146,86197,1551,164542,4572,260049,13541
2007,0500000US06067,6067,"Sacramento County, California",14467,468,35697,849,57032,1125,85659,1350,165182,4716,265123,17155
2006,0500000US06067,6067,"Sacramento County, California",13525,585,33129,867,53971,1282,82034,1584,159614,4852,261106,16562
2013,0500000US06071,6071,"San Bernardino County, California",11188,554,31604,797,52731,1089,81806,1361,162742,4150,262879,14091
2012,0500000US06071,6071,"San Bernardino County, California",11165,502,30093,845,50780,1157,78966,1644,152727,4075,240146,11569
2011,0500000US06071,6071,"San Bernardino County, California",11566,728,30586,1063,51278,1246,79994,1692,153933,4347,239178,12427
2010,0500000US06071,6071,"San Bernardino County, California",12347,570,32029,728,53132,1080,80755,1559,152332,3627,233737,10236
2009,0500000US06071,6071,"San Bernardino County, California",12341,492,31946,946,52687,1131,81194,1515,159238,7322,256926,27278
2008,0500000US06071,6071,"San Bernardino County, California",13706,604,33978,845,55333,1235,84000,1789,164588,6511,271352,23814
2007,0500000US06071,6071,"San Bernardino County, California",14901,508,35578,879,56544,1162,84159,1432,154881,4051,235885,12664
2006,0500000US06071,6071,"San Bernardino County, California",13550,487,32734,781,53338,891,79304,1139,150210,4707,238779,16235
2013,0500000US06073,6073,"San Diego County, California",12969,544,36559,718,61934,995,98835,1268,219538,6114,387992,20392
2012,0500000US06073,6073,"San Diego County, California",12586,479,35424,813,60325,968,95680,1181,202616,4346,340973,13292
2011,0500000US06073,6073,"San Diego County, California",11999,574,34858,802,59493,1092,93714,1442,194109,3698,320379,10855
2010,0500000US06073,6073,"San Diego County, California",13319,534,35467,728,59562,1018,93106,1342,195196,4968,330707,15306
2009,0500000US06073,6073,"San Diego County, California",14539,444,37022,755,60647,1013,94493,1274,195818,4805,329967,16124
2008,0500000US06073,6073,"San Diego County, California",14553,511,38353,838,63719,1077,98643,1253,207052,4759,352149,15624
2007,0500000US06073,6073,"San Diego County, California",15029,373,37515,686,62008,883,95415,1235,200204,4008,342385,14161
2006,0500000US06073,6073,"San Diego County, California",14387,475,36324,661,59397,885,90950,1328,192097,3912,330553,13915
2013,0500000US06075,6075,"San Francisco County, California",11943,725,39715,1690,78250,2317,133316,3674,323053,17535,586684,55536
2012,0500000US06075,6075,"San Francisco County, California",10572,672,36916,1760,73188,2874,124846,3830,290773,12488,519542,34319
2011,0500000US06075,6075,"San Francisco County, California",11650,859,36726,1654,70575,2721,118761,3461,276443,16306,495518,55451
2010,0500000US06075,6075,"San Francisco County, California",11527,768,36599,1523,71361,2104,117991,3152,266447,13423,472606,40810
2009,0500000US06075,6075,"San Francisco County, California",11949,937,38605,1779,71592,2167,117576,3630,273694,11520,479837,33691
2008,0500000US06075,6075,"San Francisco County, California",11859,925,40117,1883,74718,2348,123074,4214,293997,15360,523744,41796
2007,0500000US06075,6075,"San Francisco County, California",12173,625,36794,1548,67980,2551,112541,3141,275830,12860,514352,40669
2006,0500000US06075,6075,"San Francisco County, California",11444,872,36212,1646,65872,2306,106538,3248,242318,12268,424799,38181
2013,0500000US06077,6077,"San Joaquin County, California",11586,809,30211,1324,51739,1680,81093,2701,157316,6603,246599,21283
2012,0500000US06077,6077,"San Joaquin County, California",11401,763,29735,1332,50959,1616,81199,2481,166130,8171,268996,24826
2011,0500000US06077,6077,"San Joaquin County, California",12476,753,30706,1377,50803,1736,78970,2933,156420,7765,249229,22891
2010,0500000US06077,6077,"San Joaquin County, California",13311,721,31338,1073,50387,1533,78444,2464,157816,9561,256002,31758
2009,0500000US06077,6077,"San Joaquin County, California",13188,826,32972,1579,53468,2073,82573,2400,163925,8057,270087,26743
2008,0500000US06077,6077,"San Joaquin County, California",12368,934,31813,1657,55166,1953,84913,2633,160709,7641,253528,22435
2007,0500000US06077,6077,"San Joaquin County, California",13524,903,33047,1477,52966,1901,83150,3106,165365,8556,267070,27633
2006,0500000US06077,6077,"San Joaquin County, California",12866,878,32299,1331,52164,1681,79729,2401,154488,6296,252174,17577
2013,0500000US06079,6079,"San Luis Obispo County, California",11908,1571,34414,2297,58844,2808,93817,4165,182995,10652,282458,25296
2012,0500000US06079,6079,"San Luis Obispo County, California",13856,1394,37278,2331,60525,3735,93494,4033,188567,12132,314642,34612
2011,0500000US06079,6079,"San Luis Obispo County, California",10704,1404,30602,2184,53997,3096,86973,3444,172721,11116,285192,32255
2010,0500000US06079,6079,"San Luis Obispo County, California",12811,1072,32126,1873,54388,2849,85061,3711,182331,17706,323800,55156
2009,0500000US06079,6079,"San Luis Obispo County, California",12698,1330,34683,2264,56154,2808,88090,4258,169317,8902,261912,22137
2008,0500000US06079,6079,"San Luis Obispo County, California",13986,1452,35524,2486,60175,2573,89358,3935,177084,11022,300149,34373
2007,0500000US06079,6079,"San Luis Obispo County, California",12777,1453,32085,2387,57053,3242,87763,4027,190863,15183,334113,39419
2006,0500000US06079,6079,"San Luis Obispo County, California",10888,1096,30742,1942,50941,2154,77224,3496,171829,11972,302072,35865
