Id,Id2,Geography,Year,Estimate; Total:,Margin of Error; Total:,Estimate; Total: - Median value for units with a mortgage,Margin of Error; Total: - Median value for units with a mortgage,Estimate; Total: - Median value for units without a mortgage,Margin of Error; Total: - Median value for units without a mortgage
0500000US06033,6033,"Lake County, California",2008,256600,33577,270100,31142,218700,55132
0500000US06037,6037,"Los Angeles County, California",2008,525100,5088,533400,5435,495600,6946
0500000US06039,6039,"Madera County, California",2008,292500,16865,295600,19610,273600,49297
0500000US06041,6041,"Marin County, California",2008,922600,24573,921500,27898,927200,73506
0500000US06045,6045,"Mendocino County, California",2008,414000,31896,424900,41105,398200,47654
0500000US06047,6047,"Merced County, California",2008,239800,12349,249800,15258,201500,29457
0500000US06053,6053,"Monterey County, California",2008,535700,24130,531500,28551,549200,52234
0500000US06055,6055,"Napa County, California",2008,608100,25756,630200,27861,520400,85512
0500000US06057,6057,"Nevada County, California",2008,450000,20671,467900,26044,415200,36168
0500000US06059,6059,"Orange County, California",2008,616400,5783,634900,6507,536200,11050
0500000US06061,6061,"Placer County, California",2008,416700,11164,427200,12843,385700,18516
0500000US06065,6065,"Riverside County, California",2008,329600,4045,344200,4163,247900,14191
0500000US06067,6067,"Sacramento County, California",2008,312400,4636,321000,4667,275000,9845
0500000US06071,6071,"San Bernardino County, California",2008,331400,4309,346300,4952,253700,14828
0500000US06073,6073,"San Diego County, California",2008,482900,4201,492100,4862,444800,9634
0500000US06075,6075,"San Francisco County, California",2008,824300,16575,836200,19262,775700,42804
0500000US06077,6077,"San Joaquin County, California",2008,311300,7529,324700,7445,260400,14902
0500000US06079,6079,"San Luis Obispo County, California",2008,532600,22682,555600,28089,478400,34268
0500000US06081,6081,"San Mateo County, California",2008,820400,11824,829800,13467,785700,33981
0500000US06083,6083,"Santa Barbara County, California",2008,557400,41308,567300,50665,533700,79154
0500000US06085,6085,"Santa Clara County, California",2008,729000,8336,732100,9855,715700,19399
0500000US06087,6087,"Santa Cruz County, California",2008,660400,19283,694900,24105,511400,54185
0500000US06089,6089,"Shasta County, California",2008,279400,11669,289600,13585,247800,25621
0500000US06095,6095,"Solano County, California",2008,388800,7908,397900,10080,353900,16165
0500000US06097,6097,"Sonoma County, California",2008,518700,17517,534400,18849,469200,30750
0500000US06099,6099,"Stanislaus County, California",2008,276100,7322,281300,7782,253800,18379
0500000US06101,6101,"Sutter County, California",2008,265700,12519,275900,13275,212400,27127
0500000US06107,6107,"Tulare County, California",2008,223700,4783,232800,5481,199000,12152
0500000US06111,6111,"Ventura County, California",2008,566200,7783,578600,8398,509700,25990
0500000US06113,6113,"Yolo County, California",2008,388200,15972,410800,20906,310700,36758
0500000US06115,6115,"Yuba County, California",2008,219700,20572,241200,23530,151900,61737
0500000US06001,6001,"Alameda County, California",2009,507400,9129,517600,9915,475300,20439
0500000US06007,6007,"Butte County, California",2009,245100,10270,259500,10649,182300,29718
0500000US06013,6013,"Contra Costa County, California",2009,424500,11329,433900,12935,390400,20093
0500000US06017,6017,"El Dorado County, California",2009,399800,18740,409600,19038,369200,33259
0500000US06019,6019,"Fresno County, California",2009,221700,4976,225400,6390,208700,11417
0500000US06023,6023,"Humboldt County, California",2009,303900,15732,311600,20064,284800,35386
0500000US06025,6025,"Imperial County, California",2009,160300,6058,169700,6165,108500,13049
0500000US06029,6029,"Kern County, California",2009,177800,5779,189200,6368,140400,11331
0500000US06031,6031,"Kings County, California",2009,204800,8985,210500,9154,178000,17073
0500000US06033,6033,"Lake County, California",2009,252500,41247,282900,43540,180700,51158
0500000US06037,6037,"Los Angeles County, California",2009,441400,3174,443700,3663,431800,8155
0500000US06039,6039,"Madera County, California",2009,226500,14811,227000,13272,223200,52450
0500000US06041,6041,"Marin County, California",2009,820200,29698,818200,34248,825400,60000
0500000US06045,6045,"Mendocino County, California",2009,369800,20046,392000,26467,331500,34418
0500000US06047,6047,"Merced County, California",2009,157500,6833,160700,7614,147000,14918
0500000US06053,6053,"Monterey County, California",2009,402700,24708,397400,25346,427100,69565
0500000US06055,6055,"Napa County, California",2009,456100,22904,469100,25299,385800,71575
0500000US06057,6057,"Nevada County, California",2009,413900,23583,419200,25192,398600,45915
0500000US06059,6059,"Orange County, California",2009,530400,6682,545500,6915,479000,13986
