Id,Id2,Geography,Year,Estimate; Total:,Margin of Error; Total:,Estimate; Total: - Less than 10.0 percent,Margin of Error; Total: - Less than 10.0 percent,Estimate; Total: - 10.0 to 14.9 percent,Margin of Error; Total: - 10.0 to 14.9 percent,Estimate; Total: - 15.0 to 19.9 percent,Margin of Error; Total: - 15.0 to 19.9 percent,Estimate; Total: - 20.0 to 24.9 percent,Margin of Error; Total: - 20.0 to 24.9 percent,Estimate; Total: - 25.0 to 29.9 percent,Margin of Error; Total: - 25.0 to 29.9 percent,Estimate; Total: - 30.0 to 34.9 percent,Margin of Error; Total: - 30.0 to 34.9 percent,Estimate; Total: - 35.0 to 39.9 percent,Margin of Error; Total: - 35.0 to 39.9 percent,Estimate; Total: - 40.0 to 49.9 percent,Margin of Error; Total: - 40.0 to 49.9 percent,Estimate; Total: - 50.0 percent or more,Margin of Error; Total: - 50.0 percent or more,Estimate; Total: - Not computed,Margin of Error; Total: - Not computed
0500000US06013,6013,"Contra Costa County, California",2012,136189,4960,2269,646,9332,1625,14478,2235,15526,1989,15461,1897,12642,2136,10701,1723,13501,1808,36347,3622,5932,1132
0500000US06017,6017,"El Dorado County, California",2012,17825,2182,170,229,886,453,2619,1094,2210,678,2120,640,1803,563,1377,592,858,490,4640,1237,1142,568
0500000US06019,6019,"Fresno County, California",2012,141926,3606,4702,1327,6459,1457,13845,1585,12301,1870,15015,1984,13485,2126,9845,1318,14960,1832,41854,3495,9460,1497
0500000US06023,6023,"Humboldt County, California",2012,24169,1818,844,436,1112,461,1970,731,2595,894,2455,759,1282,501,1517,545,1997,704,8722,1449,1675,607
0500000US06025,6025,"Imperial County, California",2012,20230,1998,1105,604,880,497,1633,633,2286,787,2104,932,1446,572,1107,607,1816,719,6160,1278,1693,602
0500000US06029,6029,"Kern County, California",2012,108067,4317,3437,1036,8928,1870,11958,1558,11594,2004,9001,1691,8474,1478,7823,1562,11263,1847,29375,2791,6214,1323
0500000US06031,6031,"Kings County, California",2012,20599,1710,788,517,1854,756,2677,860,2902,795,1596,636,1903,646,1537,694,1750,710,4308,1103,1284,394
0500000US06033,6033,"Lake County, California",2012,10686,1443,96,97,843,566,692,488,1246,649,938,478,530,358,838,614,975,523,4166,1070,362,234
0500000US06037,6037,"Los Angeles County, California",2012,1750538,12601,38923,3445,100551,5264,157508,5791,190829,6854,180904,6133,152370,5332,123238,5632,174440,6544,548140,8808,83635,4285
0500000US06039,6039,"Madera County, California",2012,16480,1730,598,421,1026,409,1117,613,1454,529,504,324,1315,578,1688,657,1507,728,4388,1071,2883,1019
0500000US06041,6041,"Marin County, California",2012,38479,2444,1783,736,2485,800,3472,810,4279,1023,5235,1276,2302,665,3041,1000,3491,910,10514,2050,1877,671
0500000US06045,6045,"Mendocino County, California",2012,16244,1317,764,372,478,399,1196,665,1134,608,2101,807,1070,598,1311,550,1662,730,5251,1120,1277,560
0500000US06047,6047,"Merced County, California",2012,35520,2389,916,652,1494,643,4837,1536,3860,985,3033,778,2600,880,2248,770,4118,1218,8983,1401,3431,856
0500000US06053,6053,"Monterey County, California",2012,63587,2750,1190,440,3842,916,6100,1235,7806,1514,7488,1371,6494,1067,4167,956,7165,1130,17316,1915,2019,594
0500000US06055,6055,"Napa County, California",2012,19004,1523,681,451,973,463,2992,885,1475,493,2589,798,1508,551,1580,653,2515,665,3510,842,1181,413
0500000US06057,6057,"Nevada County, California",2012,12065,1923,432,389,390,360,663,473,1483,735,1777,730,1139,559,636,388,2056,910,2566,990,923,515
0500000US06059,6059,"Orange County, California",2012,429412,6235,9143,1959,25207,3055,38033,2741,53326,3766,46418,3878,42776,4223,30266,3375,43003,3412,122793,5016,18447,2164
0500000US06061,6061,"Placer County, California",2012,40638,2587,396,252,2420,770,4260,1042,5838,1290,4867,1019,3296,849,2737,877,3787,996,11354,1591,1683,549
0500000US06065,6065,"Riverside County, California",2012,243096,6849,4258,1048,10181,1690,22164,2557,26166,3138,28242,2822,22162,2685,16987,2405,27937,3009,72620,4619,12379,1762
0500000US06067,6067,"Sacramento County, California",2012,227418,5529,5507,1149,12076,1733,23414,2427,24993,2369,25285,2479,19079,2109,15616,1882,22322,2874,68734,3467,10392,2182
0500000US06071,6071,"San Bernardino County, California",2012,240628,7154,4761,1247,11901,2145,21755,2518,25384,2351,22309,2349,21460,2686,16769,2247,24621,2863,76060,4208,15608,2130
0500000US06073,6073,"San Diego County, California",2012,506123,7464,9321,1669,29730,2815,46346,3841,56872,3954,58115,4061,47130,3573,35973,3115,57340,3940,135703,5972,29593,2511
0500000US06075,6075,"San Francisco County, California",2012,222103,4887,10703,1589,22011,2369,28494,2368,23895,2431,25704,2655,19037,1997,13198,1586,14750,1896,54129,3752,10182,1686
0500000US06077,6077,"San Joaquin County, California",2012,93962,3322,1718,717,6729,1478,8960,1595,10068,1442,8475,1570,8120,1416,6770,1373,9083,1590,28120,2584,5919,998
0500000US06079,6079,"San Luis Obispo County, California",2012,45792,2809,1417,946,3182,990,4214,1088,5306,1189,5566,1260,3334,1074,3468,919,4058,1209,12348,1844,2899,926
0500000US06081,6081,"San Mateo County, California",2012,110160,3537,2400,932,7102,1273,13727,1751,13972,1681,12779,1971,8875,1241,8554,1727,10367,1818,27961,2330,4423,1038
0500000US06083,6083,"Santa Barbara County, California",2012,68463,2801,1339,801,3437,834,5960,1080,8178,1653,7762,1359,6601,1316,5043,1253,8513,1557,18667,1900,2963,639
0500000US06085,6085,"Santa Clara County, California",2012,269326,5977,8915,1362,24690,2374,35214,3216,36389,3178,30300,2817,21655,2462,16729,2153,22259,2441,64454,4050,8721,1524
0500000US06087,6087,"Santa Cruz County, California",2012,40353,2530,621,369,2604,934,3306,943,6080,1409,4961,981,3734,990,2935,1011,4117,1248,10382,1634,1613,571
0500000US06089,6089,"Shasta County, California",2012,25900,1893,782,337,804,311,1911,677,3775,1040,2792,832,1970,623,2629,814,3007,780,6719,1221,1511,618
0500000US06095,6095,"Solano County, California",2012,57731,2836,1034,474,2514,846,6380,1345,6581,1383,5492,1402,6113,1160,3764,1001,5467,1184,17399,1824,2987,1044
0500000US06097,6097,"Sonoma County, California",2012,73872,3291,1518,575,2993,878,8042,1872,9376,1691,7198,1152,7173,1418,3791,1039,8606,1356,21479,2163,3696,948
0500000US06099,6099,"Stanislaus County, California",2012,74416,2882,653,357,3912,1083,9583,1603,7921,1861,6616,1304,4890,1192,4378,944,9149,1461,22417,2059,4897,1232
0500000US06101,6101,"Sutter County, California",2012,12742,1183,109,128,717,452,1395,552,1394,550,1472,620,1364,455,938,473,1347,570,3266,771,740,377
0500000US06107,6107,"Tulare County, California",2012,57570,2699,1193,430,3945,1353,5460,1240,7048,1349,5298,1123,3830,1021,3046,922,5863,1260,17387,2080,4500,999
0500000US06111,6111,"Ventura County, California",2012,95849,4031,1427,639,4426,1103,6813,1232,11771,1628,10497,1559,7628,1488,9609,1319,10495,1981,29557,2222,3626,810
0500000US06113,6113,"Yolo County, California",2012,35885,2175,244,208,2026,806,3353,1000,3180,936,4485,996,3806,1091,2691,788,4369,1106,10286,1561,1445,483
0500000US06115,6115,"Yuba County, California",2012,10171,1129,269,207,299,217,934,531,1298,618,600,442,1015,456,369,242,1783,622,2607,764,997,485
0500000US06001,6001,"Alameda County, California",2011,256337,6348,5173,1028,16570,2330,30824,2983,32011,2622,29290,2812,22720,2072,16883,2315,20913,2272,68330,4028,13623,1995
0500000US06007,6007,"Butte County, California",2011,34888,2242,638,351,1276,576,2309,812,4114,920,3759,1231,3190,882,2359,815,2416,716,11706,1883,3121,1170
0500000US06013,6013,"Contra Costa County, California",2011,129736,5075,2887,1407,7631,1978,12676,2142,15821,2341,14190,2462,11651,1817,8666,2122,14514,2402,35804,3854,5896,1711
0500000US06017,6017,"El Dorado County, California",2011,19126,2359,501,392,1447,779,1661,746,2463,864,2353,801,1783,609,1468,811,1466,595,4026,979,1958,921
0500000US06019,6019,"Fresno County, California",2011,130646,4521,3071,984,6554,1467,13220,2278,14071,2177,13689,1787,12382,1884,7718,1396,12967,1854,38587,2581,8387,1403
0500000US06023,6023,"Humboldt County, California",2011,22724,2169,295,262,1754,812,1966,650,2343,841,2057,603,1513,688,1047,437,2088,805,7978,1336,1683,593
0500000US06025,6025,"Imperial County, California",2011,21618,1596,710,346,888,451,1693,641,1751,686,2581,887,1977,722,1511,606,2546,871,6415,1071,1546,592
0500000US06029,6029,"Kern County, California",2011,110667,4859,3782,1052,7649,1747,13005,2028,11233,1896,11347,1899,10195,1819,6831,1597,10385,1832,28884,3021,7356,1512
0500000US06031,6031,"Kings County, California",2011,17978,1626,853,448,442,325,1728,705,1931,734,2440,812,1630,681,1261,609,1593,552,4272,1057,1828,537
0500000US06033,6033,"Lake County, California",2011,12046,1715,216,245,543,487,871,584,1117,611,1136,655,1430,653,383,306,999,624,4372,1140,979,561
0500000US06037,6037,"Los Angeles County, California",2011,1719784,15328,35265,3382,93923,4889,152143,6494,181734,6949,186266,7133,144113,5319,124110,6593,170750,6743,548018,11222,83462,4477
0500000US06039,6039,"Madera County, California",2011,16048,1995,591,442,1288,646,2497,979,2409,766,1308,597,668,404,843,572,1490,614,2777,926,2177,796
0500000US06041,6041,"Marin County, California",2011,41270,2828,1236,546,1650,781,3901,978,4836,1589,3678,905,5291,1406,3164,1075,3462,983,12316,1981,1736,739
0500000US06045,6045,"Mendocino County, California",2011,12050,1445,295,254,645,374,1505,741,975,580,1281,690,698,333,727,446,1397,665,3245,867,1282,640
0500000US06047,6047,"Merced County, California",2011,35953,2258,463,224,1931,626,4116,1164,3208,1041,4294,1289,2244,754,2771,942,4344,1188,9371,1427,3211,836
0500000US06053,6053,"Monterey County, California",2011,65089,2990,758,365,3148,793,5086,961,8709,1357,6137,1148,7525,1317,6251,1341,6574,1369,16838,2054,4063,1110
0500000US06055,6055,"Napa County, California",2011,22750,1912,752,472,772,447,2556,859,1784,743,2076,804,2858,1047,1029,526,2471,835,6882,1331,1570,714
0500000US06057,6057,"Nevada County, California",2011,10952,1757,431,391,291,318,1402,798,316,281,1295,766,404,350,1261,695,1116,555,3621,910,815,455
0500000US06059,6059,"Orange County, California",2011,410864,6997,8482,1619,21697,2934,42671,3396,48731,4143,46586,3105,39303,2806,27942,2571,42364,4600,115574,4894,17514,2135
0500000US06061,6061,"Placer County, California",2011,38676,3264,699,557,2449,1229,4721,1556,4219,1154,3455,1075,3189,1221,3091,1071,4107,1176,10916,2053,1830,859
0500000US06065,6065,"Riverside County, California",2011,233379,8333,2679,700,10944,2161,20263,2628,25083,3310,24375,3155,21620,3005,15770,2719,28498,3842,70850,4853,13297,2514
0500000US06067,6067,"Sacramento County, California",2011,224356,6095,7124,2194,11026,2187,26155,3561,22608,2647,24409,2622,20341,1917,14227,1852,22391,2344,64079,4741,11996,2204
0500000US06071,6071,"San Bernardino County, California",2011,228569,7146,4313,1673,8477,1769,23675,3653,22091,2916,25302,3233,19436,2539,19063,2985,22238,3223,71215,5684,12759,2631
0500000US06073,6073,"San Diego County, California",2011,495609,8241,7671,1749,27058,2746,43912,3599,57276,4541,54577,4029,47589,4319,34379,3156,52962,3496,136752,5986,33433,3745
0500000US06075,6075,"San Francisco County, California",2011,219025,5653,11761,2000,16149,2285,30988,3323,29411,2822,25763,3012,17173,2143,12229,2018,17057,2567,47509,3552,10985,1490
0500000US06077,6077,"San Joaquin County, California",2011,88856,3657,2252,795,5386,1315,8919,1726,10177,1880,9522,1971,7154,1707,4622,1332,10848,2155,25575,2328,4401,1222
0500000US06079,6079,"San Luis Obispo County, California",2011,44406,3029,788,425,2219,1008,3923,1243,3872,1047,4706,1226,2990,890,3064,948,3950,1120,14336,1911,4558,1215
0500000US06081,6081,"San Mateo County, California",2011,105596,3707,3996,1039,6955,1125,10381,1802,13417,1696,12962,1939,9441,1649,8450,1734,10727,1815,24582,2323,4685,1136
0500000US06083,6083,"Santa Barbara County, California",2011,69502,2583,2325,788,3343,902,5712,1108,7749,1335,9149,1436,6678,1219,5056,1189,6705,1481,19028,1986,3757,1116
0500000US06085,6085,"Santa Clara County, California",2011,262717,5508,8793,1461,23809,2522,36568,2895,31670,3175,34354,2903,18709,1804,15539,1919,22232,2722,60964,3736,10079,1804
0500000US06087,6087,"Santa Cruz County, California",2011,40456,2667,943,609,1804,838,2794,771,3586,946,5281,1076,4383,1156,2815,825,4665,1217,13252,1896,933,447
0500000US06089,6089,"Shasta County, California",2011,23846,2238,261,267,1049,545,1017,539,2353,787,1939,625,1806,634,2272,893,2959,948,8030,1592,2160,695
0500000US06095,6095,"Solano County, California",2011,54344,3041,420,329,2795,797,6181,1609,7554,1581,6761,1629,4465,1264,3481,954,3822,1020,15903,2321,2962,1075
0500000US06097,6097,"Sonoma County, California",2011,73217,3635,1327,622,3620,1006,6414,1520,8164,1613,10014,1788,6335,1110,5301,1358,9204,1718,18712,2178,4126,1014
0500000US06099,6099,"Stanislaus County, California",2011,70713,3278,1041,611,3309,1030,6414,1476,7685,1358,6875,1511,5922,1339,5877,1520,6987,1298,21938,2890,4665,1155
0500000US06101,6101,"Sutter County, California",2011,11801,1529,223,197,643,355,1225,689,1431,600,765,472,1304,551,1215,566,994,420,2734,760,1267,586
0500000US06107,6107,"Tulare County, California",2011,55543,2541,1496,604,3292,1027,5518,1764,6730,1176,5461,1339,6496,1372,2870,775,5867,1441,13692,1673,4121,926
0500000US06111,6111,"Ventura County, California",2011,91958,3572,992,450,5081,1121,7735,1411,13514,2195,10800,1674,9452,1552,6465,1332,8694,1551,25962,2583,3263,879
0500000US06113,6113,"Yolo County, California",2011,32299,2196,415,329,1590,651,2694,916,3215,1079,2500,772,3076,891,3033,1106,3193,1122,10893,1399,1690,632
0500000US06115,6115,"Yuba County, California",2011,10421,1468,346,387,1480,627,836,468,1218,633,1228,625,678,339,491,358,964,542,2150,717,1030,452
0500000US06001,6001,"Alameda County, California",2010,250630,5892,6523,1388,17828,2179,29377,2848,28730,2518,28606,2741,22558,2513,17187,2317,20620,2443,68217,3818,10984,1856
0500000US06007,6007,"Butte County, California",2010,34304,2433,593,384,1329,616,2963,943,4753,1228,3098,976,4248,1206,2100,784,4170,1276,9262,1432,1788,752
0500000US06013,6013,"Contra Costa County, California",2010,124857,5397,2275,813,7126,1484,12044,1980,15071,2756,17085,2133,10196,1848,9930,1706,11692,1835,33544,3082,5894,1329
