Id,Id2,Geography,Year,Estimate; Total:,Margin of Error; Total:,Estimate; Total: - Less than 10.0 percent,Margin of Error; Total: - Less than 10.0 percent,Estimate; Total: - 10.0 to 14.9 percent,Margin of Error; Total: - 10.0 to 14.9 percent,Estimate; Total: - 15.0 to 19.9 percent,Margin of Error; Total: - 15.0 to 19.9 percent,Estimate; Total: - 20.0 to 24.9 percent,Margin of Error; Total: - 20.0 to 24.9 percent,Estimate; Total: - 25.0 to 29.9 percent,Margin of Error; Total: - 25.0 to 29.9 percent,Estimate; Total: - 30.0 to 34.9 percent,Margin of Error; Total: - 30.0 to 34.9 percent,Estimate; Total: - 35.0 to 39.9 percent,Margin of Error; Total: - 35.0 to 39.9 percent,Estimate; Total: - 40.0 to 49.9 percent,Margin of Error; Total: - 40.0 to 49.9 percent,Estimate; Total: - 50.0 percent or more,Margin of Error; Total: - 50.0 percent or more,Estimate; Total: - Not computed,Margin of Error; Total: - Not computed
0500000US06081,6081,"San Mateo County, California",2006,92730,3536,3389,1003,7813,1520,13510,1947,12655,1808,10221,1591,8715,1769,5602,1255,7780,1492,19426,2535,3619,1184
0500000US06083,6083,"Santa Barbara County, California",2006,65741,2439,1595,648,3706,1094,5630,1364,6191,1104,7624,1589,5225,1260,5387,1189,7457,1261,19377,2057,3549,734
0500000US06085,6085,"Santa Clara County, California",2006,230620,5831,9134,1433,23573,2663,31117,3134,31126,2983,24631,2322,19259,1991,11763,1700,18566,2275,50319,3698,11132,1538
0500000US06087,6087,"Santa Cruz County, California",2006,37332,2695,931,455,1360,648,2745,875,3770,849,3837,841,4085,1276,3516,1059,4248,1207,10730,1764,2110,813
0500000US06089,6089,"Shasta County, California",2006,23496,2071,341,209,1369,674,2870,1111,2483,862,2309,1023,2074,872,1487,834,2436,782,7286,1477,841,500
0500000US06095,6095,"Solano County, California",2006,46838,2676,964,531,2299,824,3902,988,5730,1171,4767,1116,5455,1189,3765,1101,4914,1203,11738,1752,3304,905
0500000US06097,6097,"Sonoma County, California",2006,64350,2921,1198,599,2037,784,6396,1440,7053,1282,7581,1460,6046,1209,4456,1351,7489,1529,18323,2031,3771,852
0500000US06099,6099,"Stanislaus County, California",2006,57700,3023,2522,937,2359,743,7120,1402,4837,1095,5449,1252,6336,1226,3964,1033,6826,1338,15593,2069,2694,772
0500000US06101,6101,"Sutter County, California",2006,10804,1304,556,364,632,364,1132,475,1443,564,1013,580,1133,538,1013,613,735,461,2690,828,457,376
0500000US06107,6107,"Tulare County, California",2006,49383,2765,3529,909,3528,956,5467,1261,5241,1312,6106,1239,2898,1019,3653,869,4065,1005,10102,1690,4794,1205
0500000US06111,6111,"Ventura County, California",2006,81132,3647,1336,538,4090,1064,10728,1705,9585,1529,9989,1513,7287,1542,5796,1152,7927,1351,20136,2279,4258,988
0500000US06113,6113,"Yolo County, California",2006,30047,1600,872,611,1208,652,3169,1057,2990,937,3859,936,3470,1046,1019,513,2798,839,9488,1477,1174,500
0500000US06115,6115,"Yuba County, California",2006,10875,1297,177,188,200,188,1180,517,1101,564,621,383,1119,521,863,582,647,387,2427,891,2540,983
0500000US06001,6001,"Alameda County, California",2005,222606,6934,8047,1983,17128,2112,23937,3112,28700,3214,26512,3050,20237,2533,12336,1651,16219,2076,57755,3798,11735,2377
0500000US06007,6007,"Butte County, California",2005,35629,2310,2037,1324,2022,746,3016,903,2328,732,3585,911,2823,759,1474,510,4535,1127,11572,2024,2237,829
0500000US06013,6013,"Contra Costa County, California",2005,105897,5176,3148,1146,4483,1076,11541,1914,14238,2223,11927,1835,9355,1928,7626,1570,9865,2151,28700,3637,5014,1416
0500000US06017,6017,"El Dorado County, California",2005,16914,1994,1075,611,935,625,1723,729,1542,725,1672,707,1714,1017,1588,861,1329,663,4778,1448,558,422
0500000US06019,6019,"Fresno County, California",2005,116340,4515,5048,1458,9532,1968,12974,2475,11737,1782,10205,1666,11363,2388,7141,1497,12118,1722,28153,3111,8069,1582
0500000US06023,6023,"Humboldt County, California",2005,22499,1453,677,368,1241,695,2043,651,2242,928,2059,719,1980,742,1782,741,2010,717,7176,1200,1289,494
0500000US06025,6025,"Imperial County, California",2005,18943,1820,736,505,1221,428,1860,811,2185,1009,2161,878,1919,799,914,479,2956,1006,3925,1176,1066,523
0500000US06029,6029,"Kern County, California",2005,86245,4612,2569,785,6405,1532,11329,2304,11952,2440,7386,1493,6710,1724,5243,1234,6646,1395,21367,2667,6638,1439
0500000US06031,6031,"Kings County, California",2005,16777,1419,667,480,797,420,1977,803,1954,698,1530,648,2115,793,1717,727,957,610,2876,750,2187,688
0500000US06033,6033,"Lake County, California",2005,6596,1526,105,140,553,548,848,596,921,624,437,398,215,209,201,246,1571,1054,1144,511,601,430
0500000US06037,6037,"Los Angeles County, California",2005,1621543,17621,41806,3663,110099,6843,172489,7828,186618,8617,175203,7873,137542,6554,113346,7705,165646,7818,443902,12038,74892,5261
0500000US06039,6039,"Madera County, California",2005,13217,1794,960,697,1489,724,1329,664,2033,788,1237,735,1325,719,596,362,575,362,2475,858,1198,608
0500000US06041,6041,"Marin County, California",2005,35140,2595,1771,958,1939,853,3720,1081,4146,1090,3733,1070,4077,1106,2812,1159,3090,1018,8603,2014,1249,612
0500000US06045,6045,"Mendocino County, California",2005,13059,1582,807,581,471,326,2404,959,808,531,817,496,803,454,920,480,706,386,3980,1220,1343,660
0500000US06047,6047,"Merced County, California",2005,29284,2274,1119,541,1946,786,3238,892,2159,941,3269,987,1701,627,2791,1107,2647,906,7686,1329,2728,878
0500000US06053,6053,"Monterey County, California",2005,54966,2943,711,435,3738,987,4960,1124,6633,1438,8993,1804,4731,1353,2940,788,6416,1628,13018,2096,2826,887
0500000US06055,6055,"Napa County, California",2005,15879,1681,626,525,1482,654,847,431,4104,1336,2044,827,1289,571,767,450,1561,860,2399,811,760,423
0500000US06057,6057,"Nevada County, California",2005,10514,1638,0,293,789,500,831,752,1457,767,2270,964,502,430,193,197,951,491,3148,1143,373,222
0500000US06059,6059,"Orange County, California",2005,368878,8059,7225,1589,21129,2913,38079,3763,46739,3801,44548,4504,37229,3233,29311,3412,38394,4002,89424,5765,16800,2393
0500000US06061,6061,"Placer County, California",2005,33722,3014,576,448,2505,974,3501,1074,5020,1562,4704,1356,2774,940,2491,992,3777,1194,7116,1616,1258,472
0500000US06065,6065,"Riverside County, California",2005,188839,7217,5178,1674,9439,2113,16222,2640,21533,3147,21047,2855,17700,2827,14849,2190,20665,3215,51687,4628,10519,2011
0500000US06067,6067,"Sacramento County, California",2005,194871,5989,4273,1389,13806,2410,20239,2671,25057,2733,23027,2614,17568,2450,13384,2664,21709,3082,48558,3874,7250,1467
0500000US06071,6071,"San Bernardino County, California",2005,205157,7467,4737,1530,10995,2271,21153,2951,25257,2997,19871,2812,15325,2780,12294,1783,21414,3113,61149,5075,12962,2512
0500000US06073,6073,"San Diego County, California",2005,434683,8540,7535,1198,22630,2692,43519,4207,48466,3465,53995,4972,44368,4210,32000,3521,39722,3727,122343,6152,20105,2648
0500000US06075,6075,"San Francisco County, California",2005,199796,4863,8255,1451,20366,2762,24999,2249,25523,2825,23836,2423,17493,2229,9603,1481,15584,2169,43365,3498,10772,1764
0500000US06077,6077,"San Joaquin County, California",2005,76824,3971,1302,643,5592,1534,7473,1396,7894,1558,9175,1841,5736,1519,4614,1232,8363,1942,22654,2599,4021,1044
0500000US06079,6079,"San Luis Obispo County, California",2005,37919,2796,804,514,1245,596,3821,1241,3564,1147,4528,1346,3559,1040,1753,729,4624,1441,11015,1850,3006,1133
0500000US06081,6081,"San Mateo County, California",2005,95555,3994,2839,868,8420,1750,12476,2086,11982,2203,10722,1627,7636,1460,4880,1347,8396,1511,24856,3126,3348,888
0500000US06083,6083,"Santa Barbara County, California",2005,58174,3149,1049,584,2758,926,4801,1327,6394,1362,6745,1261,5516,1595,3421,961,7933,2043,15911,1936,3646,993
0500000US06085,6085,"Santa Clara County, California",2005,230742,6959,7462,1683,24942,2927,30515,3193,27124,3230,26084,3555,18716,2456,15686,2700,19693,3424,50263,3487,10257,2116
0500000US06087,6087,"Santa Cruz County, California",2005,37400,2293,883,489,2488,1013,2520,898,4713,1431,4509,938,4341,1177,2165,656,4049,1091,9795,1538,1937,912
0500000US06089,6089,"Shasta County, California",2005,23166,1885,1116,747,1444,592,2115,915,3654,1081,1957,758,1701,681,1600,625,2263,956,6144,1389,1172,556
0500000US06095,6095,"Solano County, California",2005,44550,2972,1052,773,2422,870,2991,730,5625,1380,4586,1207,4703,1177,2995,1262,5472,1380,12211,2127,2493,855
0500000US06097,6097,"Sonoma County, California",2005,63728,3663,1748,1030,3674,1251,6739,1721,7235,1586,7671,1802,6052,1238,4669,1433,6526,1495,15873,2444,3541,1266
0500000US06099,6099,"Stanislaus County, California",2005,57506,3476,1436,662,3122,1334,6935,2010,7570,1208,3962,995,5107,1127,3858,1319,6275,1671,14884,2362,4357,1310
0500000US06101,6101,"Sutter County, California",2005,10166,1143,512,318,362,321,1380,661,1386,731,1200,480,812,410,724,488,1096,599,1750,627,944,498
0500000US06107,6107,"Tulare County, California",2005,48378,2747,2971,960,4578,1120,5648,1263,5750,1243,4648,1202,4382,1267,2975,733,4025,989,9885,1590,3516,814
0500000US06111,6111,"Ventura County, California",2005,78525,4173,1245,660,3777,1204,7921,1621,10276,1827,9423,1464,9865,2177,5869,1321,7646,1324,18217,2724,4286,1093
0500000US06113,6113,"Yolo County, California",2005,29413,1963,852,385,1266,575,2248,717,3690,1114,3251,817,2656,927,3103,1047,3069,979,7681,1282,1597,744
0500000US06115,6115,"Yuba County, California",2005,9723,1538,58,86,495,304,789,492,1251,567,1159,641,428,335,234,212,1276,601,2146,876,1887,541
