Id,Id2,Geography,Year,Estimate; Total:,Margin of Error; Total:,Estimate; With a mortgage:,Margin of Error; With a mortgage:,"Estimate; With a mortgage: - Less than $50,000","Margin of Error; With a mortgage: - Less than $50,000","Estimate; With a mortgage: - $50,000 to $99,999","Margin of Error; With a mortgage: - $50,000 to $99,999","Estimate; With a mortgage: - $100,000 to $149,999","Margin of Error; With a mortgage: - $100,000 to $149,999","Estimate; With a mortgage: - $150,000 to $199,999","Margin of Error; With a mortgage: - $150,000 to $199,999","Estimate; With a mortgage: - $200,000 to $299,999","Margin of Error; With a mortgage: - $200,000 to $299,999","Estimate; With a mortgage: - $300,000 to $499,999","Margin of Error; With a mortgage: - $300,000 to $499,999","Estimate; With a mortgage: - $500,000 or more","Margin of Error; With a mortgage: - $500,000 or more",Estimate; Not mortgaged:,Margin of Error; Not mortgaged:,"Estimate; Not mortgaged: - Less than $50,000","Margin of Error; Not mortgaged: - Less than $50,000","Estimate; Not mortgaged: - $50,000 to $99,999","Margin of Error; Not mortgaged: - $50,000 to $99,999","Estimate; Not mortgaged: - $100,000 to $149,999","Margin of Error; Not mortgaged: - $100,000 to $149,999","Estimate; Not mortgaged: - $150,000 to $199,999","Margin of Error; Not mortgaged: - $150,000 to $199,999","Estimate; Not mortgaged: - $200,000 to $299,999","Margin of Error; Not mortgaged: - $200,000 to $299,999","Estimate; Not mortgaged: - $300,000 to $499,999","Margin of Error; Not mortgaged: - $300,000 to $499,999","Estimate; Not mortgaged: - $500,000 or more","Margin of Error; Not mortgaged: - $500,000 or more"
0500000US06095,6095,"Solano County, California",2005,90074,2954,73478,2885,649,315,500,240,646,424,686,351,3866,1041,38653,2626,28478,2165,16596,1704,825,320,888,387,657,311,488,292,2091,589,7277,1226,4370,847
0500000US06097,6097,"Sonoma County, California",2005,113484,3889,84766,3400,827,345,1829,763,625,433,633,382,2136,603,18920,1998,59796,2868,28718,2388,2248,702,2641,813,869,419,561,284,1283,429,6240,1009,14876,1629
0500000US06099,6099,"Stanislaus County, California",2005,100836,3462,76698,3154,942,468,726,346,2518,664,3385,848,15861,1741,39362,3131,13904,1823,24138,1818,2667,628,2324,881,958,419,1707,497,4442,1073,8819,1324,3221,737
0500000US06101,6101,"Sutter County, California",2005,19429,1224,13638,1138,114,137,58,76,898,426,850,385,5041,790,5202,899,1475,535,5791,901,727,334,308,168,315,187,536,282,1492,512,1945,553,468,261
0500000US06107,6107,"Tulare County, California",2005,71243,2497,51118,2458,814,383,5958,952,8821,1058,7921,1258,14436,1761,9139,1202,4029,860,20125,1598,2678,627,2716,610,3251,702,2853,595,4475,791,2596,563,1556,554
0500000US06111,6111,"Ventura County, California",2005,174154,4423,138637,4436,447,296,3228,1054,901,449,704,306,3719,842,28056,2671,101582,4129,35517,2251,1232,553,2409,1032,1817,603,2120,1084,2200,627,7851,1144,17888,1499
0500000US06113,6113,"Yolo County, California",2005,36348,1829,26625,1797,141,142,415,283,378,277,731,457,2561,672,12513,1546,9886,1214,9723,1114,1060,465,452,254,449,250,372,264,874,487,3939,706,2577,544
0500000US06115,6115,"Yuba County, California",2005,12909,1449,8372,1367,0,293,447,272,181,159,1532,560,2722,916,2752,778,738,386,4537,782,661,361,558,342,322,232,377,334,1222,521,509,226,888,445
0500000US06001,6001,"Alameda County, California",2006,296733,4773,232569,4679,1479,480,2962,673,1337,524,1273,553,3319,714,38566,2937,183633,4836,64164,3152,2044,559,2678,660,1129,621,821,386,2557,658,12057,1745,42878,2515
0500000US06007,6007,"Butte County, California",2006,51211,1957,32678,2233,933,531,861,330,1944,769,3714,958,8487,1364,12086,1529,4653,979,18533,1599,2974,919,1933,521,2204,606,1913,573,3627,756,4427,822,1455,481
0500000US06013,6013,"Contra Costa County, California",2006,258877,4662,207360,4511,1191,458,1226,467,786,321,430,282,5195,1297,44018,3063,154514,4433,51517,2743,2298,604,2442,780,983,495,1158,401,2528,668,12186,1654,29922,2516
0500000US06017,6017,"El Dorado County, California",2006,49224,1868,38404,1930,470,345,439,301,435,374,217,174,2078,727,12994,1636,21771,1615,10820,1171,1110,588,918,360,247,178,440,248,799,348,3497,689,3809,868
0500000US06019,6019,"Fresno County, California",2006,152363,3959,114231,3551,1011,463,2482,848,4476,1018,12064,1603,31943,2712,44549,2473,17706,1624,38132,2339,2963,775,3114,777,2580,700,5604,1048,9389,1343,9587,1032,4895,944
0500000US06023,6023,"Humboldt County, California",2006,28751,1568,17197,1467,243,171,420,228,585,243,555,282,3922,785,8018,1035,3454,676,11554,1266,1511,494,515,276,649,286,578,261,2121,636,4316,761,1864,534
0500000US06025,6025,"Imperial County, California",2006,27196,2081,19212,1873,133,99,624,335,1081,515,2753,650,8629,1500,5291,938,701,417,7984,1214,1557,515,984,457,866,403,1582,492,1453,543,1170,587,372,260
0500000US06029,6029,"Kern County, California",2006,147483,4000,111990,3877,1188,491,4248,1112,7723,1425,15367,1743,36738,2713,35150,2794,11576,1551,35493,2362,4327,861,4800,973,3602,851,5518,1053,8116,1111,6208,993,2922,671
