Id,Id2,Geography,Year,Estimate; Total,Margin of Error; Total
0500000US06007,6007,"Butte County, California",2009,96189,841
0500000US06013,6013,"Contra Costa County, California",2009,396656,1177
0500000US06017,6017,"El Dorado County, California",2009,83367,556
0500000US06019,6019,"Fresno County, California",2009,310115,2335
0500000US06023,6023,"Humboldt County, California",2009,59462,752
0500000US06025,6025,"Imperial County, California",2009,54880,379
0500000US06029,6029,"Kern County, California",2009,274649,914
0500000US06031,6031,"Kings County, California",2009,42520,719
0500000US06033,6033,"Lake County, California",2009,35573,535
0500000US06037,6037,"Los Angeles County, California",2009,3391046,3448
0500000US06039,6039,"Madera County, California",2009,49477,364
0500000US06041,6041,"Marin County, California",2009,108677,1155
0500000US06045,6045,"Mendocino County, California",2009,39188,690
0500000US06047,6047,"Merced County, California",2009,84034,831
0500000US06053,6053,"Monterey County, California",2009,140445,1006
0500000US06055,6055,"Napa County, California",2009,53516,829
0500000US06057,6057,"Nevada County, California",2009,50323,510
0500000US06059,6059,"Orange County, California",2009,1036859,2225
0500000US06061,6061,"Placer County, California",2009,148519,346
0500000US06065,6065,"Riverside County, California",2009,774705,1734
0500000US06067,6067,"Sacramento County, California",2009,552913,1680
0500000US06071,6071,"San Bernardino County, California",2009,689103,1100
0500000US06073,6073,"San Diego County, California",2009,1142276,3020
0500000US06075,6075,"San Francisco County, California",2009,361242,1534
0500000US06077,6077,"San Joaquin County, California",2009,228859,4600
0500000US06079,6079,"San Luis Obispo County, California",2009,117340,961
0500000US06081,6081,"San Mateo County, California",2009,267437,1431
0500000US06083,6083,"Santa Barbara County, California",2009,152023,1102
0500000US06085,6085,"Santa Clara County, California",2009,620185,2494
0500000US06087,6087,"Santa Cruz County, California",2009,103731,1301
0500000US06089,6089,"Shasta County, California",2009,77560,625
0500000US06095,6095,"Solano County, California",2009,150837,1054
0500000US06097,6097,"Sonoma County, California",2009,198849,1605
0500000US06099,6099,"Stanislaus County, California",2009,175226,566
0500000US06101,6101,"Sutter County, California",2009,33485,438
0500000US06107,6107,"Tulare County, California",2009,139070,402
0500000US06111,6111,"Ventura County, California",2009,274057,935
0500000US06113,6113,"Yolo County, California",2009,72729,974
0500000US06115,6115,"Yuba County, California",2009,28748,977
0500000US06001,6001,"Alameda County, California",2010,582628,2724
0500000US06007,6007,"Butte County, California",2010,95867,972
0500000US06013,6013,"Contra Costa County, California",2010,400447,1848
0500000US06017,6017,"El Dorado County, California",2010,88158,873
0500000US06019,6019,"Fresno County, California",2010,315965,937
0500000US06023,6023,"Humboldt County, California",2010,61555,1024
0500000US06025,6025,"Imperial County, California",2010,56090,486
0500000US06029,6029,"Kern County, California",2010,284674,1213
0500000US06031,6031,"Kings County, California",2010,43900,941
0500000US06033,6033,"Lake County, California",2010,35481,17
0500000US06037,6037,"Los Angeles County, California",2010,3444870,4461
0500000US06039,6039,"Madera County, California",2010,49156,662
0500000US06041,6041,"Marin County, California",2010,111220,1494
0500000US06045,6045,"Mendocino County, California",2010,40342,1057
0500000US06047,6047,"Merced County, California",2010,83690,632
0500000US06053,6053,"Monterey County, California",2010,139034,1621
0500000US06055,6055,"Napa County, California",2010,54769,950
0500000US06057,6057,"Nevada County, California",2010,52592,715
0500000US06059,6059,"Orange County, California",2010,1049079,2589
0500000US06061,6061,"Placer County, California",2010,152913,620
0500000US06065,6065,"Riverside County, California",2010,801324,1028
0500000US06067,6067,"Sacramento County, California",2010,555980,2314
0500000US06071,6071,"San Bernardino County, California",2010,699933,1461
0500000US06073,6073,"San Diego County, California",2010,1165043,5312
0500000US06075,6075,"San Francisco County, California",2010,376777,1401
0500000US06077,6077,"San Joaquin County, California",2010,233873,2538
0500000US06079,6079,"San Luis Obispo County, California",2010,117353,1191
0500000US06081,6081,"San Mateo County, California",2010,271006,905
0500000US06083,6083,"Santa Barbara County, California",2010,152819,1544
0500000US06085,6085,"Santa Clara County, California",2010,631955,1523
0500000US06087,6087,"Santa Cruz County, California",2010,104444,3942
0500000US06089,6089,"Shasta County, California",2010,77334,1177
0500000US06095,6095,"Solano County, California",2010,152784,1720
0500000US06097,6097,"Sonoma County, California",2010,204595,1238
0500000US06099,6099,"Stanislaus County, California",2010,179516,1292
0500000US06101,6101,"Sutter County, California",2010,33866,544
0500000US06107,6107,"Tulare County, California",2010,141898,924
0500000US06111,6111,"Ventura County, California",2010,281681,2606
