Id,Id2,Geography,,Estimate; Total:,Margin of Error; Total:,"Estimate; Car, truck, or van:","Margin of Error; Car, truck, or van:","Estimate; Car, truck, or van: - Drove alone","Margin of Error; Car, truck, or van: - Drove alone","Estimate; Car, truck, or van: - Carpooled:","Margin of Error; Car, truck, or van: - Carpooled:","Estimate; Car, truck, or van: - Carpooled: - In 2-person carpool","Margin of Error; Car, truck, or van: - Carpooled: - In 2-person carpool","Estimate; Car, truck, or van: - Carpooled: - In 3-person carpool","Margin of Error; Car, truck, or van: - Carpooled: - In 3-person carpool","Estimate; Car, truck, or van: - Carpooled: - In 4-person carpool","Margin of Error; Car, truck, or van: - Carpooled: - In 4-person carpool","Estimate; Car, truck, or van: - Carpooled: - In 5- or 6-person carpool","Margin of Error; Car, truck, or van: - Carpooled: - In 5- or 6-person carpool","Estimate; Car, truck, or van: - Carpooled: - In 7-or-more-person carpool","Margin of Error; Car, truck, or van: - Carpooled: - In 7-or-more-person carpool",Estimate; Public transportation (excluding taxicab):,Margin of Error; Public transportation (excluding taxicab):,Estimate; Public transportation (excluding taxicab): - Bus or trolley bus,Margin of Error; Public transportation (excluding taxicab): - Bus or trolley bus,Estimate; Public transportation (excluding taxicab): - Streetcar or trolley car (carro publico in Puerto Rico),Margin of Error; Public transportation (excluding taxicab): - Streetcar or trolley car (carro publico in Puerto Rico),Estimate; Public transportation (excluding taxicab): - Subway or elevated,Margin of Error; Public transportation (excluding taxicab): - Subway or elevated,Estimate; Public transportation (excluding taxicab): - Railroad,Margin of Error; Public transportation (excluding taxicab): - Railroad,Estimate; Public transportation (excluding taxicab): - Ferryboat,Margin of Error; Public transportation (excluding taxicab): - Ferryboat,Estimate; Taxicab,Margin of Error; Taxicab,Estimate; Motorcycle,Margin of Error; Motorcycle,Estimate; Bicycle,Margin of Error; Bicycle,Estimate; Walked,Margin of Error; Walked,Estimate; Other means,Margin of Error; Other means,Estimate; Worked at home,Margin of Error; Worked at home
0500000US06029,6029,"Kern County, California",2007,297208,6878,275158,6671,223598,6743,51560,4422,35331,3846,6994,1484,5216,1348,1894,948,2125,833,3373,1120,3373,1120,0,267,0,267,0,267,0,267,0,267,1080,560,1223,558,5556,1247,3461,1216,7357,1302
0500000US06031,6031,"Kings County, California",2007,52095,3342,45953,3935,38067,3567,7886,2057,3377,1312,2099,1505,355,308,1317,863,738,630,382,295,216,210,55,93,0,267,111,192,0,267,0,267,824,1045,256,264,2221,1235,507,384,1952,1166
0500000US06037,6037,"Los Angeles County, California",2007,4548336,25708,3814994,25730,3316267,24086,498727,12852,376708,10761,75195,6074,26616,3781,11244,1876,8964,1295,324980,12144,291941,11727,2644,955,13961,1953,16043,2013,391,315,2197,800,10794,1809,28132,3478,128261,7012,49441,3579,189537,9068
0500000US06039,6039,"Madera County, California",2007,50564,3260,45255,3487,36284,3175,8971,1847,4118,1192,1389,1067,480,259,898,843,2086,1403,414,651,414,651,0,267,0,267,0,267,0,267,0,267,235,217,131,227,1609,834,298,233,2622,853
0500000US06041,6041,"Marin County, California",2007,128639,6251,102298,6177,89562,5466,12736,2122,8815,1714,1893,684,1108,496,265,266,655,512,4086,1368,3620,1293,0,267,180,293,286,406,0,267,0,267,1349,811,2012,1006,5086,1436,1370,873,12438,1694
0500000US06047,6047,"Merced County, California",2007,77344,4121,65568,4274,56024,4331,9544,2045,7274,1710,683,369,624,486,510,433,453,413,745,526,745,526,0,267,0,267,0,267,0,267,0,267,202,304,824,630,3890,1303,3241,1644,2874,765
0500000US06053,6053,"Monterey County, California",2007,183068,6464,153153,6142,122627,5356,30526,3979,18356,2583,5815,2014,3877,1468,973,463,1505,1889,8126,2398,8006,2368,0,267,0,267,120,204,0,267,0,267,619,445,2182,792,9441,1522,2040,874,7507,1398
0500000US06055,6055,"Napa County, California",2007,67731,3059,58579,3050,47367,2709,11212,2413,9183,2214,548,340,421,299,1060,819,0,267,835,678,835,678,0,267,0,267,0,267,0,267,188,292,0,267,629,494,3311,800,255,308,3934,1056
0500000US06059,6059,"Orange County, California",2007,1527656,16427,1363729,16883,1187440,15850,176289,9418,135763,8032,27130,3388,7739,1616,3213,933,2444,759,38368,3942,35446,3877,47,77,75,126,2800,617,0,267,318,251,5566,1567,12372,2920,25845,3303,10829,1948,70629,4227
0500000US06061,6061,"Placer County, California",2007,154703,7140,136312,6913,115667,5778,20645,3814,16366,3209,2426,1016,1057,766,749,890,47,92,2361,1123,2309,1110,0,267,0,267,52,86,0,267,0,267,293,216,741,616,2649,833,1437,758,10910,1612
0500000US06065,6065,"Riverside County, California",2007,741229,15229,669141,14990,568801,14565,100340,6254,77512,5430,13170,2376,6370,2139,2203,880,1085,518,7353,1923,7010,1880,244,298,46,76,53,86,0,267,63,105,1456,597,2861,917,11003,1898,4928,1209,44424,4341
0500000US06067,6067,"Sacramento County, California",2007,640911,10133,571002,10301,484940,9195,86062,5946,68524,5538,11389,2158,3057,871,1474,708,1618,656,17747,2055,13515,1913,1707,885,1088,463,1437,491,0,267,57,92,1873,621,7444,1507,12959,1719,4993,1313,24836,2616
0500000US06071,6071,"San Bernardino County, California",2007,761915,15261,687850,14204,584504,12968,103346,6606,78978,5862,15221,2143,5083,1586,2694,1688,1370,591,8886,2102,8608,2084,0,267,41,69,169,283,68,109,167,274,2054,699,3126,1297,19549,2542,5943,2009,34340,3176
0500000US06073,6073,"San Diego County, California",2007,1417004,12184,1217488,13456,1061073,12839,156415,7703,125716,7194,18976,2550,4232,1215,4455,1981,3036,950,49578,4421,43112,4186,2926,943,718,547,2627,885,195,240,329,231,5146,1020,7877,1810,41048,3746,8913,1711,86625,4511
0500000US06075,6075,"San Francisco County, California",2007,577668,11101,269432,9375,213366,8072,56066,4671,34945,3581,14914,2519,4443,1927,891,437,873,390,213944,9918,112505,7091,9368,1480,76235,4915,11303,1580,4533,1109,2338,1084,3942,1142,10722,2249,41326,3402,7702,2741,28262,3337
0500000US06077,6077,"San Joaquin County, California",2007,238344,6625,219137,6536,179802,6505,39335,4211,27093,3106,6387,1503,1451,615,3383,1992,1021,655,1331,674,1272,662,59,102,0,267,0,267,0,267,0,267,405,359,1196,614,5207,974,2037,1056,9031,1662
0500000US06079,6079,"San Luis Obispo County, California",2007,118892,4163,98738,4559,83055,4498,15683,2643,12388,2246,1660,599,1246,786,60,96,329,377,1194,597,1194,597,0,267,0,267,0,267,0,267,0,267,446,287,3399,1134,6537,1589,601,509,7977,1533
0500000US06081,6081,"San Mateo County, California",2007,348896,10138,296220,9364,256638,8908,39582,3571,31277,2906,4932,1628,1119,675,704,484,1550,697,19183,2887,11139,2261,293,288,3214,1006,4522,1602,15,27,63,106,1748,768,2826,879,9495,2279,3254,923,16107,1992
0500000US06083,6083,"Santa Barbara County, California",2007,192953,4477,157350,4496,130183,4293,27167,2941,18401,2328,4892,1313,3461,1370,259,217,154,219,8314,1861,8299,1859,0,267,0,267,0,267,15,25,0,267,515,388,6117,1408,7262,1638,1499,815,11896,1654
0500000US06085,6085,"Santa Clara County, California",2007,937270,12613,821285,11398,720123,12168,101162,5932,80983,5471,11100,1928,6037,1866,1604,741,1438,492,34071,3716,23817,3298,2422,1036,1290,597,6542,1439,0,267,433,415,3264,897,11578,2034,18870,2559,14201,3305,33568,3034
0500000US06087,6087,"Santa Cruz County, California",2007,109955,4617,88015,4373,75807,4167,12208,2019,9143,1467,1446,788,1079,611,400,409,140,167,4874,1539,4826,1543,0,267,0,267,48,80,0,267,0,267,554,370,3066,874,5159,1435,242,205,8045,1352
0500000US06089,6089,"Shasta County, California",2007,78218,3787,71947,4034,61866,3881,10081,2182,7740,2114,1347,707,765,546,95,160,134,161,248,246,248,246,0,267,0,267,0,267,0,267,0,267,471,411,217,304,1285,755,831,573,3219,947
0500000US06095,6095,"Solano County, California",2007,143430,6144,131233,5828,114540,5251,16693,2667,13619,2347,1260,652,1223,669,442,292,149,245,1567,622,1294,566,0,267,218,273,55,93,0,267,0,267,647,453,633,512,2604,1106,1278,898,5468,1239
0500000US06097,6097,"Sonoma County, California",2007,208022,5647,176132,5815,151207,6559,24925,3268,17259,2517,6088,2125,1209,782,235,276,134,155,3669,1247,3549,1210,0,267,75,122,45,76,0,267,109,127,493,382,1804,771,8667,2011,715,437,16433,2415
0500000US06099,6099,"Stanislaus County, California",2007,182600,6534,164853,6532,148054,6000,16799,2463,12802,2191,2063,747,924,511,871,497,139,160,984,542,934,537,50,84,0,267,0,267,0,267,44,76,243,203,1131,586,4197,1175,2121,1106,9027,1510
0500000US06107,6107,"Tulare County, California",2007,148984,5707,137986,5704,111822,5646,26164,3363,14215,2039,6031,2298,3299,1554,2238,1030,381,274,635,421,635,421,0,267,0,267,0,267,0,267,0,267,611,362,365,302,2562,1102,2003,969,4822,1225
0500000US06111,6111,"Ventura County, California",2007,337860,8372,302827,8095,262170,7791,40657,3691,29533,3091,6399,1915,1824,927,2167,1318,734,429,3633,1205,3396,1170,0,267,189,279,48,81,0,267,0,267,1107,453,2294,933,7061,1442,2790,1034,18148,2184
0500000US06113,6113,"Yolo County, California",2007,103781,5393,85923,5246,75912,4942,10011,1833,8033,1690,1266,611,453,353,151,182,108,127,3197,1094,2831,1077,56,94,0,267,310,233,0,267,279,321,425,279,6569,1411,3693,1265,608,381,3087,866
0500000US06001,6001,"Alameda County, California",2008,721949,12673,587088,12867,514444,12320,72644,5239,57343,5144,7881,1575,4634,1206,1384,625,1402,613,52059,4068,26156,3083,987,567,22214,2639,2549,844,153,182,246,256,1837,669,9839,1517,25886,4154,11087,2791,33907,2958
0500000US06007,6007,"Butte County, California",2008,88606,4078,76558,3885,66117,3747,10441,2116,9302,2043,879,490,92,121,0,271,168,259,999,542,999,542,0,271,0,271,0,271,0,271,0,271,385,213,2912,1026,3392,903,354,239,4006,901
0500000US06013,6013,"Contra Costa County, California",2008,376032,8532,326475,8005,285820,8767,40655,4275,32583,3839,4981,1299,2029,862,524,313,538,346,12571,2340,6257,1453,375,459,5271,1489,668,426,0,271,0,271,961,508,2328,952,7940,1870,2649,1069,23108,2136
0500000US06017,6017,"El Dorado County, California",2008,61650,4168,52746,3966,46981,3633,5765,1598,4772,1453,544,356,50,83,87,108,312,267,407,387,343,384,0,271,64,98,0,271,0,271,0,271,396,257,888,775,1247,583,268,251,5698,1423
0500000US06019,6019,"Fresno County, California",2008,362905,8361,326891,7978,280041,8241,46850,6327,30941,3614,5459,1484,3261,1083,1490,911,5699,5141,5202,1285,5129,1281,0,271,0,271,73,99,0,271,0,271,1839,705,1787,856,5867,1496,9067,1968,12252,1762
0500000US06023,6023,"Humboldt County, California",2008,56584,3204,46753,3115,39416,2513,7337,2009,5136,1407,1373,1085,205,213,197,195,426,659,606,445,606,445,0,271,0,271,0,271,0,271,116,191,110,127,2287,1232,2210,891,516,389,3986,1446
0500000US06025,6025,"Imperial County, California",2008,55021,2452,48573,2755,41293,2656,7280,1624,4670,1215,1960,861,214,185,96,158,340,230,378,264,378,264,0,271,0,271,0,271,0,271,206,252,308,365,14,23,3087,1110,387,268,2068,793
0500000US06029,6029,"Kern County, California",2008,308705,7107,287831,6527,234713,6314,53118,4334,34353,3574,9213,1938,4883,1399,2264,1086,2405,882,2749,939,2401,887,230,378,118,201,0,271,0,271,310,238,748,321,816,426,4698,1172,3539,1352,8014,1415
