Id,Id2,Geography,Year,Estimate; Median gross rent,Margin of Error; Median gross rent
0500000US06019,6019,"Fresno County, California",2009,830,15
0500000US06023,6023,"Humboldt County, California",2009,817,47
0500000US06025,6025,"Imperial County, California",2009,660,42
0500000US06029,6029,"Kern County, California",2009,839,22
0500000US06031,6031,"Kings County, California",2009,852,47
0500000US06033,6033,"Lake County, California",2009,820,79
0500000US06037,6037,"Los Angeles County, California",2009,1136,9
0500000US06039,6039,"Madera County, California",2009,826,60
0500000US06041,6041,"Marin County, California",2009,1591,70
0500000US06045,6045,"Mendocino County, California",2009,799,84
0500000US06047,6047,"Merced County, California",2009,808,41
0500000US06053,6053,"Monterey County, California",2009,1112,32
0500000US06055,6055,"Napa County, California",2009,1233,90
0500000US06057,6057,"Nevada County, California",2009,1186,85
0500000US06059,6059,"Orange County, California",2009,1439,14
0500000US06061,6061,"Placer County, California",2009,1154,57
0500000US06065,6065,"Riverside County, California",2009,1121,20
0500000US06067,6067,"Sacramento County, California",2009,970,16
0500000US06071,6071,"San Bernardino County, California",2009,1046,19
0500000US06073,6073,"San Diego County, California",2009,1224,14
0500000US06075,6075,"San Francisco County, California",2009,1363,32
0500000US06077,6077,"San Joaquin County, California",2009,998,30
0500000US06079,6079,"San Luis Obispo County, California",2009,1125,51
0500000US06081,6081,"San Mateo County, California",2009,1448,34
0500000US06083,6083,"Santa Barbara County, California",2009,1271,51
0500000US06085,6085,"Santa Clara County, California",2009,1421,21
0500000US06087,6087,"Santa Cruz County, California",2009,1261,77
0500000US06089,6089,"Shasta County, California",2009,847,64
0500000US06095,6095,"Solano County, California",2009,1193,40
0500000US06097,6097,"Sonoma County, California",2009,1183,42
0500000US06099,6099,"Stanislaus County, California",2009,941,22
0500000US06101,6101,"Sutter County, California",2009,823,61
0500000US06107,6107,"Tulare County, California",2009,796,32
0500000US06111,6111,"Ventura County, California",2009,1397,35
0500000US06113,6113,"Yolo County, California",2009,1026,61
0500000US06115,6115,"Yuba County, California",2009,811,66
0500000US06001,6001,"Alameda County, California",2010,1198,15
0500000US06007,6007,"Butte County, California",2010,862,31
0500000US06013,6013,"Contra Costa County, California",2010,1283,34
0500000US06017,6017,"El Dorado County, California",2010,1098,67
0500000US06019,6019,"Fresno County, California",2010,825,22
0500000US06023,6023,"Humboldt County, California",2010,810,46
0500000US06025,6025,"Imperial County, California",2010,733,43
0500000US06029,6029,"Kern County, California",2010,821,21
0500000US06031,6031,"Kings County, California",2010,824,24
0500000US06033,6033,"Lake County, California",2010,842,82
0500000US06037,6037,"Los Angeles County, California",2010,1147,7
0500000US06039,6039,"Madera County, California",2010,877,41
0500000US06041,6041,"Marin County, California",2010,1510,77
0500000US06045,6045,"Mendocino County, California",2010,952,42
0500000US06047,6047,"Merced County, California",2010,807,52
0500000US06053,6053,"Monterey County, California",2010,1157,36
0500000US06055,6055,"Napa County, California",2010,1186,64
0500000US06057,6057,"Nevada County, California",2010,976,147
0500000US06059,6059,"Orange County, California",2010,1402,13
0500000US06061,6061,"Placer County, California",2010,1114,59
0500000US06065,6065,"Riverside County, California",2010,1121,22
0500000US06067,6067,"Sacramento County, California",2010,980,16
0500000US06071,6071,"San Bernardino County, California",2010,1035,23
0500000US06073,6073,"San Diego County, California",2010,1249,14
0500000US06075,6075,"San Francisco County, California",2010,1385,33
0500000US06077,6077,"San Joaquin County, California",2010,995,33
0500000US06079,6079,"San Luis Obispo County, California",2010,1137,43
