Year,Id,Id2,Geography,Estimate; Median gross rent as a percentage of household income,Margin of Error; Median gross rent as a percentage of household income
2010,0500000US06079,6079,"San Luis Obispo County, California",36.4,2.3
2010,0500000US06081,6081,"San Mateo County, California",29.1,1
2010,0500000US06083,6083,"Santa Barbara County, California",34.5,2.3
2010,0500000US06085,6085,"Santa Clara County, California",29,0.7
2010,0500000US06087,6087,"Santa Cruz County, California",33.2,1.5
2010,0500000US06089,6089,"Shasta County, California",37.6,3.7
2010,0500000US06095,6095,"Solano County, California",33,2.1
2010,0500000US06097,6097,"Sonoma County, California",34.8,2.1
2010,0500000US06099,6099,"Stanislaus County, California",35.5,2.4
2010,0500000US06101,6101,"Sutter County, California",27.5,2.6
2010,0500000US06107,6107,"Tulare County, California",33.4,2.3
2010,0500000US06111,6111,"Ventura County, California",32.9,1.1
2010,0500000US06113,6113,"Yolo County, California",34.8,3.7
2010,0500000US06115,6115,"Yuba County, California",32.3,4.4
2009,0500000US06001,6001,"Alameda County, California",29.5,0.7
2009,0500000US06007,6007,"Butte County, California",33.4,2.4
2009,0500000US06013,6013,"Contra Costa County, California",32.1,1.6
2009,0500000US06017,6017,"El Dorado County, California",33.3,2.6
2009,0500000US06019,6019,"Fresno County, California",33.1,1.4
2009,0500000US06023,6023,"Humboldt County, California",42.4,6.5
2009,0500000US06025,6025,"Imperial County, California",34.1,3.3
2009,0500000US06029,6029,"Kern County, California",34.4,1.8
2009,0500000US06031,6031,"Kings County, California",28.2,2.7
2009,0500000US06033,6033,"Lake County, California",43.2,7.5
2009,0500000US06037,6037,"Los Angeles County, California",33.9,0.4
2009,0500000US06039,6039,"Madera County, California",33.6,3.1
2009,0500000US06041,6041,"Marin County, California",32.9,2.2
2009,0500000US06045,6045,"Mendocino County, California",33.3,6.2
2009,0500000US06047,6047,"Merced County, California",34.7,2.8
2009,0500000US06053,6053,"Monterey County, California",32,1.8
2009,0500000US06055,6055,"Napa County, California",30,2.7
2009,0500000US06057,6057,"Nevada County, California",36.1,5.3
2009,0500000US06059,6059,"Orange County, California",32.1,0.7
2009,0500000US06061,6061,"Placer County, California",31.8,1.9
2009,0500000US06065,6065,"Riverside County, California",34.1,0.9
2009,0500000US06067,6067,"Sacramento County, California",33.6,1
2009,0500000US06071,6071,"San Bernardino County, California",34.6,1.1
2009,0500000US06073,6073,"San Diego County, California",34.1,0.6
2009,0500000US06075,6075,"San Francisco County, California",27.9,0.8
2009,0500000US06077,6077,"San Joaquin County, California",34.2,2.1
2009,0500000US06079,6079,"San Luis Obispo County, California",37.2,2.7
2009,0500000US06081,6081,"San Mateo County, California",30.4,1.6
2009,0500000US06083,6083,"Santa Barbara County, California",34.6,1.9
2009,0500000US06085,6085,"Santa Clara County, California",28.2,0.6
2009,0500000US06087,6087,"Santa Cruz County, California",35,2.8
2009,0500000US06089,6089,"Shasta County, California",34,4.5
2009,0500000US06095,6095,"Solano County, California",33.5,2.2
2009,0500000US06097,6097,"Sonoma County, California",31.4,2.1
2009,0500000US06099,6099,"Stanislaus County, California",34,1.7
2009,0500000US06101,6101,"Sutter County, California",29,2.9
2009,0500000US06107,6107,"Tulare County, California",32.4,2.2
2009,0500000US06111,6111,"Ventura County, California",34.5,1.7
2009,0500000US06113,6113,"Yolo County, California",33.9,1.9
2009,0500000US06115,6115,"Yuba County, California",36.1,3.4
2008,0500000US06001,6001,"Alameda County, California",31.3,1
2008,0500000US06007,6007,"Butte County, California",37.7,3.8
2008,0500000US06013,6013,"Contra Costa County, California",33.5,1.4
2008,0500000US06017,6017,"El Dorado County, California",29.8,4.4
2008,0500000US06019,6019,"Fresno County, California",33.8,1.2
2008,0500000US06023,6023,"Humboldt County, California",34.7,4.1
2008,0500000US06025,6025,"Imperial County, California",31.6,3.1
2008,0500000US06029,6029,"Kern County, California",34.3,1.7
2008,0500000US06031,6031,"Kings County, California",27.5,4.1
2008,0500000US06033,6033,"Lake County, California",35.8,6.9
2008,0500000US06037,6037,"Los Angeles County, California",33.6,0.4
2008,0500000US06039,6039,"Madera County, California",32.2,2.4
2008,0500000US06041,6041,"Marin County, California",32.2,1.6
2008,0500000US06045,6045,"Mendocino County, California",39.1,10.7
2008,0500000US06047,6047,"Merced County, California",33.4,2.2
2008,0500000US06053,6053,"Monterey County, California",28.9,1.1
2008,0500000US06055,6055,"Napa County, California",32.6,3.2
2008,0500000US06057,6057,"Nevada County, California",35.3,6.4
2008,0500000US06059,6059,"Orange County, California",32.6,0.7
2008,0500000US06061,6061,"Placer County, California",30.9,2.2
2008,0500000US06065,6065,"Riverside County, California",36.6,1.3
2008,0500000US06067,6067,"Sacramento County, California",31.1,1
2008,0500000US06071,6071,"San Bernardino County, California",34.6,1.1
2008,0500000US06073,6073,"San Diego County, California",32.7,0.6
2008,0500000US06075,6075,"San Francisco County, California",27,0.7
2008,0500000US06077,6077,"San Joaquin County, California",33.7,1.5
2008,0500000US06079,6079,"San Luis Obispo County, California",33.7,3.9
2008,0500000US06081,6081,"San Mateo County, California",28.7,1
2008,0500000US06083,6083,"Santa Barbara County, California",34.8,1.9
2008,0500000US06085,6085,"Santa Clara County, California",27.5,0.7
2008,0500000US06087,6087,"Santa Cruz County, California",33.2,2.6
2008,0500000US06089,6089,"Shasta County, California",35.3,4.1
2008,0500000US06095,6095,"Solano County, California",31.1,1.7
2008,0500000US06097,6097,"Sonoma County, California",32.5,1.9
2008,0500000US06099,6099,"Stanislaus County, California",33.3,1.5
2008,0500000US06101,6101,"Sutter County, California",34,4.4
2008,0500000US06107,6107,"Tulare County, California",30.6,2.2
2008,0500000US06111,6111,"Ventura County, California",32.4,1.4
2008,0500000US06113,6113,"Yolo County, California",31.6,2.8
2008,0500000US06115,6115,"Yuba County, California",29.2,3.9
2007,0500000US06001,6001,"Alameda County, California",30.4,1
2007,0500000US06007,6007,"Butte County, California",37.5,3
2007,0500000US06013,6013,"Contra Costa County, California",32.5,1.6
2007,0500000US06017,6017,"El Dorado County, California",29.1,2.7
2007,0500000US06019,6019,"Fresno County, California",32.4,1.5
2007,0500000US06023,6023,"Humboldt County, California",35.3,3.7
2007,0500000US06025,6025,"Imperial County, California",31.5,2.8
2007,0500000US06029,6029,"Kern County, California",29.5,1.5
2007,0500000US06031,6031,"Kings County, California",28.5,3.2
2007,0500000US06033,6033,"Lake County, California",35.2,10.9
2007,0500000US06037,6037,"Los Angeles County, California",32.9,0.4
2007,0500000US06039,6039,"Madera County, California",30.8,3.6
2007,0500000US06041,6041,"Marin County, California",33.1,3.3
2007,0500000US06045,6045,"Mendocino County, California",30.6,7.1
2007,0500000US06047,6047,"Merced County, California",33.9,2.5
2007,0500000US06053,6053,"Monterey County, California",29.5,1.5
2007,0500000US06055,6055,"Napa County, California",30.9,3.1
2007,0500000US06057,6057,"Nevada County, California",31.1,4.3
2007,0500000US06059,6059,"Orange County, California",32.5,0.7
2007,0500000US06061,6061,"Placer County, California",30.8,1.9
2007,0500000US06065,6065,"Riverside County, California",33.1,0.9
2007,0500000US06067,6067,"Sacramento County, California",31.8,1
2007,0500000US06071,6071,"San Bernardino County, California",32.3,1
2007,0500000US06073,6073,"San Diego County, California",32.6,0.6
2007,0500000US06075,6075,"San Francisco County, California",26.9,0.7
2007,0500000US06077,6077,"San Joaquin County, California",33.3,2.1
2007,0500000US06079,6079,"San Luis Obispo County, California",35.6,3.6
2007,0500000US06081,6081,"San Mateo County, California",28.4,1.1
2007,0500000US06083,6083,"Santa Barbara County, California",36,2.1
2007,0500000US06085,6085,"Santa Clara County, California",28.6,0.7
2007,0500000US06087,6087,"Santa Cruz County, California",32.7,1.7
2007,0500000US06089,6089,"Shasta County, California",31,2
2007,0500000US06095,6095,"Solano County, California",34.4,1.9
2007,0500000US06097,6097,"Sonoma County, California",31.2,1.7
2007,0500000US06099,6099,"Stanislaus County, California",33.6,2.7
