GeoID,Date,Median gross rent as a percentage of household income
6017,31/12/2011,30.4000
6019,31/12/2011,34.2000
6023,31/12/2011,37.8000
6025,31/12/2011,36.4000
6029,31/12/2011,32.3000
6031,31/12/2011,32.1000
6033,31/12/2011,37.9000
6037,31/12/2011,36.0000
6039,31/12/2011,25.6000
6041,31/12/2011,34.2000
6045,31/12/2011,34.9000
6047,31/12/2011,35.2000
6053,31/12/2011,34.4000
6055,31/12/2011,34.6000
6057,31/12/2011,38.7000
6059,31/12/2011,33.6000
6061,31/12/2011,34.5000
6065,31/12/2011,36.6000
6067,31/12/2011,33.7000
6071,31/12/2011,36.2000
6073,31/12/2011,34.3000
6075,31/12/2011,28.0000
6077,31/12/2011,34.2000
6079,31/12/2011,37.3000
6081,31/12/2011,31.5000
6083,31/12/2011,33.4000
6085,31/12/2011,28.7000
6087,31/12/2011,36.7000
6089,31/12/2011,40.5000
6095,31/12/2011,32.2000
6097,31/12/2011,34.0000
6099,31/12/2011,36.5000
6101,31/12/2011,33.8000
6107,31/12/2011,32.5000
6111,31/12/2011,33.3000
6113,31/12/2011,38.0000
6115,31/12/2011,28.3000
6001,31/12/2010,31.9000
6007,31/12/2010,34.1000
6013,31/12/2010,32.9000
6017,31/12/2010,35.2000
6019,31/12/2010,34.6000
6023,31/12/2010,36.1000
6025,31/12/2010,31.5000
6029,31/12/2010,33.5000
6031,31/12/2010,30.1000
6033,31/12/2010,39.6000
6037,31/12/2010,35.1000
6039,31/12/2010,29.4000
6041,31/12/2010,35.6000
6045,31/12/2010,35.4000
6047,31/12/2010,32.7000
6053,31/12/2010,33.6000
6055,31/12/2010,32.5000
6057,31/12/2010,39.0000
6059,31/12/2010,33.8000
6061,31/12/2010,31.8000
6065,31/12/2010,37.1000
6067,31/12/2010,34.5000
6071,31/12/2010,35.8000
6073,31/12/2010,34.5000
6075,31/12/2010,28.3000
6077,31/12/2010,34.7000
6079,31/12/2010,36.4000
6081,31/12/2010,29.1000
6083,31/12/2010,34.5000
6085,31/12/2010,29.0000
6087,31/12/2010,33.2000
6089,31/12/2010,37.6000
6095,31/12/2010,33.0000
6097,31/12/2010,34.8000
6099,31/12/2010,35.5000
6101,31/12/2010,27.5000
6107,31/12/2010,33.4000
6111,31/12/2010,32.9000
6113,31/12/2010,34.8000
6115,31/12/2010,32.3000
6001,31/12/2009,29.5000
6007,31/12/2009,33.4000
6013,31/12/2009,32.1000
6017,31/12/2009,33.3000
6019,31/12/2009,33.1000
6023,31/12/2009,42.4000
6025,31/12/2009,34.1000
6029,31/12/2009,34.4000
6031,31/12/2009,28.2000
6033,31/12/2009,43.2000
6037,31/12/2009,33.9000
6039,31/12/2009,33.6000
6041,31/12/2009,32.9000
6045,31/12/2009,33.3000
6047,31/12/2009,34.7000
6053,31/12/2009,32.0000
6055,31/12/2009,30.0000
6057,31/12/2009,36.1000
6059,31/12/2009,32.1000
6061,31/12/2009,31.8000
6065,31/12/2009,34.1000
6067,31/12/2009,33.6000
6071,31/12/2009,34.6000
6073,31/12/2009,34.1000
6075,31/12/2009,27.9000
6077,31/12/2009,34.2000
6079,31/12/2009,37.2000
