GeoID,Date,Median value (dollars)
6031,12/31/2010,184600
6033,12/31/2010,196200
6037,12/31/2010,429500
6039,12/31/2010,203900
6041,12/31/2010,775200
6045,12/31/2010,360200
6047,12/31/2010,146100
6053,12/31/2010,381700
6055,12/31/2010,424100
6057,12/31/2010,369300
6059,12/31/2010,528200
6061,12/31/2010,344100
6065,12/31/2010,227900
6067,12/31/2010,240200
6071,12/31/2010,221700
6073,12/31/2010,407000
6075,12/31/2010,768000
6077,12/31/2010,213400
6079,12/31/2010,425200
6081,12/31/2010,729500
6083,12/31/2010,446800
6085,12/31/2010,639400
6087,12/31/2010,558000
6089,12/31/2010,225600
6095,12/31/2010,262600
6097,12/31/2010,414000
6099,12/31/2010,176800
6101,12/31/2010,206600
6107,12/31/2010,170300
6111,12/31/2010,458200
6113,12/31/2010,324800
6115,12/31/2010,173700
6001,12/31/2011,480700
6007,12/31/2011,226600
6013,12/31/2011,391400
6017,12/31/2011,337900
6019,12/31/2011,184300
6023,12/31/2011,304900
6025,12/31/2011,130800
6029,12/31/2011,155900
6031,12/31/2011,169600
6033,12/31/2011,192200
6037,12/31/2011,410600
6039,12/31/2011,169300
6041,12/31/2011,730500
6045,12/31/2011,298900
6047,12/31/2011,146700
6053,12/31/2011,332300
6055,12/31/2011,395700
6057,12/31/2011,340400
6059,12/31/2011,506300
6061,12/31/2011,321700
6065,12/31/2011,222700
6067,12/31/2011,217000
6071,12/31/2011,211500
6073,12/31/2011,396500
6075,12/31/2011,719800
6077,12/31/2011,196800
6079,12/31/2011,402200
6081,12/31/2011,706300
6083,12/31/2011,447700
6085,12/31/2011,627400
6087,12/31/2011,532200
6089,12/31/2011,203700
6095,12/31/2011,256400
6097,12/31/2011,398900
6099,12/31/2011,161900
6101,12/31/2011,175900
6107,12/31/2011,152500
6111,12/31/2011,433100
6113,12/31/2011,290200
6115,12/31/2011,162600
6001,12/31/2012,472900
6007,12/31/2012,203100
6013,12/31/2012,381300
6017,12/31/2012,335700
6019,12/31/2012,174200
6023,12/31/2012,280400
6025,12/31/2012,133800
6029,12/31/2012,150200
6031,12/31/2012,161200
6033,12/31/2012,149300
6037,12/31/2012,399500
6039,12/31/2012,168800
6041,12/31/2012,752900
6045,12/31/2012,297200
6047,12/31/2012,138100
6053,12/31/2012,318200
6055,12/31/2012,396500
6057,12/31/2012,324600
6059,12/31/2012,492200
6061,12/31/2012,319300
6065,12/31/2012,220000
6067,12/31/2012,213500
6071,12/31/2012,206100
6073,12/31/2012,386400
6075,12/31/2012,727600
6077,12/31/2012,190600
6079,12/31/2012,410900
6081,12/31/2012,701900
6083,12/31/2012,409700
6085,12/31/2012,634600
6087,12/31/2012,545700
6089,12/31/2012,202500
6095,12/31/2012,234900
6097,12/31/2012,380100
6099,12/31/2012,159800
6101,12/31/2012,166500
6107,12/31/2012,155100
6111,12/31/2012,413100
6113,12/31/2012,280800
6115,12/31/2012,175800
6001,12/31/2013,518900
6007,12/31/2013,217600
6013,12/31/2013,424100
6017,12/31/2013,352900
6019,12/31/2013,185200
6023,12/31/2013,259500
6025,12/31/2013,148400
6029,12/31/2013,161000
6031,12/31/2013,169200
6033,12/31/2013,166400
6037,12/31/2013,420200
6039,12/31/2013,174700
6041,12/31/2013,784200
6045,12/31/2013,297600
6047,12/31/2013,147200
6053,12/31/2013,363800
6055,12/31/2013,443000
6057,12/31/2013,337400
6059,12/31/2013,539000
6061,12/31/2013,352500
6065,12/31/2013,236400
6067,12/31/2013,238000
6071,12/31/2013,230500
6073,12/31/2013,411000
6075,12/31/2013,778000
6077,12/31/2013,208900
6079,12/31/2013,436000
6081,12/31/2013,748300
6083,12/31/2013,437300
6085,12/31/2013,682300
6087,12/31/2013,535500
6089,12/31/2013,209700
6095,12/31/2013,259800
6097,12/31/2013,406900
6099,12/31/2013,175000
6101,12/31/2013,177800
6107,12/31/2013,160400
6111,12/31/2013,443700
6113,12/31/2013,331200
6115,12/31/2013,169800
