GeoID,Date,Median gross rent
6095,31/12/2012,1244
6097,31/12/2012,1251
6099,31/12/2012,959
6101,31/12/2012,861
6107,31/12/2012,810
6111,31/12/2012,1438
6113,31/12/2012,1011
6115,31/12/2012,864
6001,31/12/2013,1335
6007,31/12/2013,864
6013,31/12/2013,1389
6017,31/12/2013,1018
6019,31/12/2013,859
6023,31/12/2013,914
6025,31/12/2013,759
6029,31/12/2013,894
6031,31/12/2013,825
6033,31/12/2013,944
6037,31/12/2013,1205
6039,31/12/2013,968
6041,31/12/2013,1632
6045,31/12/2013,904
6047,31/12/2013,864
6053,31/12/2013,1217
6055,31/12/2013,1299
6057,31/12/2013,1262
6059,31/12/2013,1499
6061,31/12/2013,1321
6065,31/12/2013,1164
6067,31/12/2013,1014
6071,31/12/2013,1092
6073,31/12/2013,1289
6075,31/12/2013,1491
6077,31/12/2013,995
6079,31/12/2013,1203
6081,31/12/2013,1669
6083,31/12/2013,1336
6085,31/12/2013,1653
6087,31/12/2013,1350
6089,31/12/2013,893
6095,31/12/2013,1257
6097,31/12/2013,1285
6099,31/12/2013,967
6101,31/12/2013,959
6107,31/12/2013,811
6111,31/12/2013,1518
6113,31/12/2013,1110
6115,31/12/2013,918
