GeoID,Date,Total: - Less than 10.0 percent,Total: - 10.0 to 14.9 percent,Total: - 15.0 to 19.9 percent,Total: - 20.0 to 24.9 percent,Total: - 25.0 to 29.9 percent,Total: - 30.0 to 34.9 percent,Total: - 35.0 to 39.9 percent,Total: - 40.0 to 49.9 percent,Total: - 50.0 percent or more,Total: - Not computed
6079,12/31/2012,0.0309,0.0695,0.0920,0.1159,0.1215,0.0728,0.0757,0.0886,0.2697,0.0633
6081,12/31/2012,0.0218,0.0645,0.1246,0.1268,0.1160,0.0806,0.0777,0.0941,0.2538,0.0402
6083,12/31/2012,0.0196,0.0502,0.0871,0.1195,0.1134,0.0964,0.0737,0.1243,0.2727,0.0433
6085,12/31/2012,0.0331,0.0917,0.1307,0.1351,0.1125,0.0804,0.0621,0.0826,0.2393,0.0324
6087,12/31/2012,0.0154,0.0645,0.0819,0.1507,0.1229,0.0925,0.0727,0.1020,0.2573,0.0400
6089,12/31/2012,0.0302,0.0310,0.0738,0.1458,0.1078,0.0761,0.1015,0.1161,0.2594,0.0583
6095,12/31/2012,0.0179,0.0435,0.1105,0.1140,0.0951,0.1059,0.0652,0.0947,0.3014,0.0517
6097,12/31/2012,0.0205,0.0405,0.1089,0.1269,0.0974,0.0971,0.0513,0.1165,0.2908,0.0500
6099,12/31/2012,0.0088,0.0526,0.1288,0.1064,0.0889,0.0657,0.0588,0.1229,0.3012,0.0658
6101,12/31/2012,0.0086,0.0563,0.1095,0.1094,0.1155,0.1070,0.0736,0.1057,0.2563,0.0581
6107,12/31/2012,0.0207,0.0685,0.0948,0.1224,0.0920,0.0665,0.0529,0.1018,0.3020,0.0782
6111,12/31/2012,0.0149,0.0462,0.0711,0.1228,0.1095,0.0796,0.1003,0.1095,0.3084,0.0378
6113,12/31/2012,0.0068,0.0565,0.0934,0.0886,0.1250,0.1061,0.0750,0.1218,0.2866,0.0403
6115,12/31/2012,0.0264,0.0294,0.0918,0.1276,0.0590,0.0998,0.0363,0.1753,0.2563,0.0980
