GeoID,Date,"Car, truck, or van:","Car, truck, or van: - Drove alone","Car, truck, or van: - Carpooled:","Car, truck, or van: - Carpooled: - In 2-person carpool","Car, truck, or van: - Carpooled: - In 3-person carpool","Car, truck, or van: - Carpooled: - In 4-person carpool","Car, truck, or van: - Carpooled: - In 5- or 6-person carpool","Car, truck, or van: - Carpooled: - In 7-or-more-person carpool",Public transportation (excluding taxicab):,Public transportation (excluding taxicab): - Bus or trolley bus,Public transportation (excluding taxicab): - Streetcar or trolley car (carro publico in Puerto Rico),Public transportation (excluding taxicab): - Subway or elevated,Public transportation (excluding taxicab): - Railroad,Public transportation (excluding taxicab): - Ferryboat,Taxicab,Motorcycle,Bicycle,Walked,Other means,Worked at home
6053,31/12/2007,0.8366,0.6698,0.1667,0.1003,0.0318,0.0212,0.0053,0.0082,0.0444,0.0437,0.0000,0.0000,0.0007,0.0000,0.0000,0.0034,0.0119,0.0516,0.0111,0.0410
6055,31/12/2007,0.8649,0.6993,0.1655,0.1356,0.0081,0.0062,0.0157,0.0000,0.0123,0.0123,0.0000,0.0000,0.0000,0.0000,0.0028,0.0000,0.0093,0.0489,0.0038,0.0581
6059,31/12/2007,0.8927,0.7773,0.1154,0.0889,0.0178,0.0051,0.0021,0.0016,0.0251,0.0232,0.0000,0.0000,0.0018,0.0000,0.0002,0.0036,0.0081,0.0169,0.0071,0.0462
6061,31/12/2007,0.8811,0.7477,0.1334,0.1058,0.0157,0.0068,0.0048,0.0003,0.0153,0.0149,0.0000,0.0000,0.0003,0.0000,0.0000,0.0019,0.0048,0.0171,0.0093,0.0705
6065,31/12/2007,0.9027,0.7674,0.1354,0.1046,0.0178,0.0086,0.0030,0.0015,0.0099,0.0095,0.0003,0.0001,0.0001,0.0000,0.0001,0.0020,0.0039,0.0148,0.0066,0.0599
6067,31/12/2007,0.8909,0.7566,0.1343,0.1069,0.0178,0.0048,0.0023,0.0025,0.0277,0.0211,0.0027,0.0017,0.0022,0.0000,0.0001,0.0029,0.0116,0.0202,0.0078,0.0388
6071,31/12/2007,0.9028,0.7672,0.1356,0.1037,0.0200,0.0067,0.0035,0.0018,0.0117,0.0113,0.0000,0.0001,0.0002,0.0001,0.0002,0.0027,0.0041,0.0257,0.0078,0.0451
6073,31/12/2007,0.8592,0.7488,0.1104,0.0887,0.0134,0.0030,0.0031,0.0021,0.0350,0.0304,0.0021,0.0005,0.0019,0.0001,0.0002,0.0036,0.0056,0.0290,0.0063,0.0611
6075,31/12/2007,0.4664,0.3694,0.0971,0.0605,0.0258,0.0077,0.0015,0.0015,0.3704,0.1948,0.0162,0.1320,0.0196,0.0078,0.0040,0.0068,0.0186,0.0715,0.0133,0.0489
6077,31/12/2007,0.9194,0.7544,0.1650,0.1137,0.0268,0.0061,0.0142,0.0043,0.0056,0.0053,0.0002,0.0000,0.0000,0.0000,0.0000,0.0017,0.0050,0.0218,0.0085,0.0379
6079,31/12/2007,0.8305,0.6986,0.1319,0.1042,0.0140,0.0105,0.0005,0.0028,0.0100,0.0100,0.0000,0.0000,0.0000,0.0000,0.0000,0.0038,0.0286,0.0550,0.0051,0.0671
6081,31/12/2007,0.8490,0.7356,0.1134,0.0896,0.0141,0.0032,0.0020,0.0044,0.0550,0.0319,0.0008,0.0092,0.0130,0.0000,0.0002,0.0050,0.0081,0.0272,0.0093,0.0462
6083,31/12/2007,0.8155,0.6747,0.1408,0.0954,0.0254,0.0179,0.0013,0.0008,0.0431,0.0430,0.0000,0.0000,0.0000,0.0001,0.0000,0.0027,0.0317,0.0376,0.0078,0.0617
6085,31/12/2007,0.8763,0.7683,0.1079,0.0864,0.0118,0.0064,0.0017,0.0015,0.0364,0.0254,0.0026,0.0014,0.0070,0.0000,0.0005,0.0035,0.0124,0.0201,0.0152,0.0358
6087,31/12/2007,0.8005,0.6894,0.1110,0.0832,0.0132,0.0098,0.0036,0.0013,0.0443,0.0439,0.0000,0.0000,0.0004,0.0000,0.0000,0.0050,0.0279,0.0469,0.0022,0.0732
6089,31/12/2007,0.9198,0.7909,0.1289,0.0990,0.0172,0.0098,0.0012,0.0017,0.0032,0.0032,0.0000,0.0000,0.0000,0.0000,0.0000,0.0060,0.0028,0.0164,0.0106,0.0412
6095,31/12/2007,0.9150,0.7986,0.1164,0.0950,0.0088,0.0085,0.0031,0.0010,0.0109,0.0090,0.0000,0.0015,0.0004,0.0000,0.0000,0.0045,0.0044,0.0182,0.0089,0.0381
6097,31/12/2007,0.8467,0.7269,0.1198,0.0830,0.0293,0.0058,0.0011,0.0006,0.0176,0.0171,0.0000,0.0004,0.0002,0.0000,0.0005,0.0024,0.0087,0.0417,0.0034,0.0790
6099,31/12/2007,0.9028,0.8108,0.0920,0.0701,0.0113,0.0051,0.0048,0.0008,0.0054,0.0051,0.0003,0.0000,0.0000,0.0000,0.0002,0.0013,0.0062,0.0230,0.0116,0.0494
