GeoID,Date,Median household income in the past 12 months
6075,12/31/2008,73798
6077,12/31/2008,54882
6079,12/31/2008,60534
6081,12/31/2008,85153
6083,12/31/2008,61543
6085,12/31/2008,88846
6087,12/31/2008,67466
6089,12/31/2008,42065
6095,12/31/2008,70635
6097,12/31/2008,62238
6099,12/31/2008,50359
6101,12/31/2008,50021
6107,12/31/2008,45117
6111,12/31/2008,76860
6113,12/31/2008,60001
6115,12/31/2008,51844
6001,12/31/2007,68740
6007,12/31/2007,39529
6013,12/31/2007,76436
6017,12/31/2007,64188
6019,12/31/2007,47298
6023,12/31/2007,36870
6025,12/31/2007,31912
6029,12/31/2007,47105
6031,12/31/2007,46756
6033,12/31/2007,40946
6037,12/31/2007,53573
6039,12/31/2007,44975
6041,12/31/2007,83870
6045,12/31/2007,42941
6047,12/31/2007,44410
6053,12/31/2007,57056
6055,12/31/2007,62081
6057,12/31/2007,59150
6059,12/31/2007,73263
6061,12/31/2007,69076
6065,12/31/2007,58145
6067,12/31/2007,56987
6071,12/31/2007,56428
6073,12/31/2007,61794
6075,12/31/2007,68023
6077,12/31/2007,52470
6079,12/31/2007,56952
6081,12/31/2007,83109
6083,12/31/2007,58401
6085,12/31/2007,84360
6087,12/31/2007,63778
6089,12/31/2007,41901
6095,12/31/2007,66880
6097,12/31/2007,62399
6099,12/31/2007,50616
6101,12/31/2007,51382
6107,12/31/2007,40595
6111,12/31/2007,73250
6113,12/31/2007,59384
6115,12/31/2007,42712
6001,12/31/2006,64424
6007,12/31/2006,40897
6013,12/31/2006,74241
6017,12/31/2006,70516
6019,12/31/2006,42732
6023,12/31/2006,40749
6025,12/31/2006,37086
6029,12/31/2006,43106
6031,12/31/2006,43178
6033,12/31/2006,37628
6037,12/31/2006,51315
6039,12/31/2006,39068
6041,12/31/2006,81761
6045,12/31/2006,39705
6047,12/31/2006,40447
6053,12/31/2006,55045
6055,12/31/2006,66645
6057,12/31/2006,50675
6059,12/31/2006,70232
6061,12/31/2006,70013
6065,12/31/2006,53508
6067,12/31/2006,53930
6071,12/31/2006,52941
6073,12/31/2006,59591
6075,12/31/2006,65497
6077,12/31/2006,51951
6079,12/31/2006,50209
6081,12/31/2006,77914
6083,12/31/2006,53477
6085,12/31/2006,80838
6087,12/31/2006,62193
6089,12/31/2006,44120
6095,12/31/2006,61533
6097,12/31/2006,60821
6099,12/31/2006,48566
6101,12/31/2006,51688
6107,12/31/2006,41933
6111,12/31/2006,72107
6113,12/31/2006,51128
6115,12/31/2006,38006
6001,12/31/2005,61014
6007,12/31/2005,36602
6013,12/31/2005,69487
6017,12/31/2005,63147
6019,12/31/2005,41899
6023,12/31/2005,33093
6025,12/31/2005,35533
6029,12/31/2005,40224
6031,12/31/2005,41095
6033,12/31/2005,40067
6037,12/31/2005,48248
6039,12/31/2005,46787
6041,12/31/2005,78919
6045,12/31/2005,41734
6047,12/31/2005,40281
6053,12/31/2005,57081
6055,12/31/2005,65260
6057,12/31/2005,51615
6059,12/31/2005,65953
6061,12/31/2005,62080
6065,12/31/2005,52253
6067,12/31/2005,51793
6071,12/31/2005,49026
6073,12/31/2005,56335
6075,12/31/2005,57496
6077,12/31/2005,49391
6079,12/31/2005,49721
6081,12/31/2005,74546
6083,12/31/2005,55970
6085,12/31/2005,76810
6087,12/31/2005,58640
6089,12/31/2005,42227
6095,12/31/2005,62213
6097,12/31/2005,58330
6099,12/31/2005,47525
6101,12/31/2005,49913
6107,12/31/2005,38722
6111,12/31/2005,66859
6113,12/31/2005,50157
6115,12/31/2005,37695
