GeoID,Date,Quintile Means: - Lowest Quintile,Quintile Means: - Second Quintile,Quintile Means: - Third Quintile,Quintile Means: - Fourth Quintile,Quintile Means: - Highest Quintile,Top 5 Percent
6077,12/31/2011,12476,30706,50803,78970,156420,249229
6077,12/31/2010,13311,31338,50387,78444,157816,256002
6077,12/31/2009,13188,32972,53468,82573,163925,270087
6077,12/31/2008,12368,31813,55166,84913,160709,253528
6077,12/31/2007,13524,33047,52966,83150,165365,267070
6077,12/31/2006,12866,32299,52164,79729,154488,252174
6079,12/31/2013,11908,34414,58844,93817,182995,282458
6079,12/31/2012,13856,37278,60525,93494,188567,314642
6079,12/31/2011,10704,30602,53997,86973,172721,285192
6079,12/31/2010,12811,32126,54388,85061,182331,323800
6079,12/31/2009,12698,34683,56154,88090,169317,261912
6079,12/31/2008,13986,35524,60175,89358,177084,300149
6079,12/31/2007,12777,32085,57053,87763,190863,334113
6079,12/31/2006,10888,30742,50941,77224,171829,302072
6081,12/31/2013,21536,55389,91758,143937,339346,614990
6081,12/31/2012,20097,50424,82651,130545,313616,569001
6081,12/31/2011,20498,50943,83130,134195,325477,622530
6081,12/31/2010,20217,52037,83724,127041,274938,476294
6081,12/31/2009,20865,52426,86116,134156,295911,532375
6081,12/31/2008,20781,52937,85866,131050,313630,594412
6081,12/31/2007,21377,52440,83406,127847,299306,547884
6081,12/31/2006,19631,49123,78315,120119,271079,488342
6083,12/31/2013,13684,36465,62878,99471,247754,477741
6083,12/31/2012,13469,35686,61747,96218,208840,372428
6083,12/31/2011,14137,35618,60352,96787,210951,357676
6083,12/31/2010,11938,34065,57503,91358,224575,436189
6083,12/31/2009,14404,36254,59068,92608,198342,349161
6083,12/31/2008,14881,38027,61452,94955,206661,365791
6083,12/31/2007,14149,35882,58196,91500,204892,367517
6083,12/31/2006,13741,32960,53639,83097,200066,375686
6085,12/31/2013,18968,52731,92133,146741,311999,529579
6085,12/31/2012,18408,51664,90669,138239,297018,513375
6085,12/31/2011,17616,49435,85674,135120,285390,480922
6085,12/31/2010,17601,48891,85247,132452,264298,434954
6085,12/31/2009,18177,51149,85693,130023,262800,434375
6085,12/31/2008,20556,54024,89402,135819,280596,467807
6085,12/31/2007,18659,50784,84973,131064,269130,452969
6085,12/31/2006,16730,47460,80426,122331,254197,438436
6087,12/31/2013,12923,37995,67263,105741,212110,341318
6087,12/31/2012,14469,41334,68192,108157,227353,377630
6087,12/31/2011,12584,35667,62590,99351,205761,331717
6087,12/31/2010,12355,35340,61432,95848,198100,327856
6087,12/31/2009,12599,35924,62726,99245,205438,335712
6087,12/31/2008,13930,39727,68510,106825,228795,385914
6087,12/31/2007,16423,39459,64206,99137,224669,385884
6087,12/31/2006,13284,37313,62928,97110,207386,360054
6089,12/31/2013,9849,24560,40089,64601,135503,220211
6089,12/31/2012,11560,27942,45319,71409,140822,223025
6089,12/31/2011,10134,24163,42400,65156,132860,206125
6089,12/31/2010,10546,24938,41141,64552,129492,215417
6089,12/31/2009,11011,26412,43749,66950,143162,251250
6089,12/31/2008,8648,24560,42218,66647,132574,215001
6089,12/31/2007,11501,26141,43251,66351,140711,240035
6089,12/31/2006,10254,26681,44114,65773,141961,250310
6095,12/31/2013,14327,39740,64856,98110,185724,292248
6095,12/31/2012,13840,37799,62943,95284,183231,285372
6095,12/31/2011,15035,39447,64351,96744,185040,283108
6095,12/31/2010,15641,40809,64181,94147,172123,261041
6095,12/31/2009,16268,40891,65752,96920,179499,266057
6095,12/31/2008,18637,45228,70168,103588,184749,284286
6095,12/31/2007,16844,42596,67239,97173,175403,272691
6095,12/31/2006,15785,39063,61924,90416,167656,257313
6097,12/31/2013,15164,37495,61108,97148,212546,376271
6097,12/31/2012,15265,37015,60500,94198,200799,355554
6097,12/31/2011,15066,36644,61007,94619,191203,305493
6097,12/31/2010,13999,35859,58553,88083,179059,290162
6097,12/31/2009,16032,37911,62983,97188,188028,300303
6097,12/31/2008,15147,37924,62457,96305,205863,367609
6097,12/31/2007,15598,40040,63152,94699,196271,328254
6097,12/31/2006,14804,36364,60770,90719,184578,319487
6099,12/31/2013,11333,28379,48201,76676,173235,313352
6099,12/31/2012,11515,28447,46783,73687,149755,243895
6099,12/31/2011,10695,26823,44787,71905,142123,223394
6099,12/31/2010,10667,27593,47519,75375,153841,265012
6099,12/31/2009,12658,29810,49205,74662,145070,225879
6099,12/31/2008,13289,31284,51183,78153,161029,274867
6099,12/31/2007,13230,31477,50920,76748,149001,241608
6099,12/31/2006,12803,29936,48391,73936,156832,277877
6101,12/31/2013,12459,30219,49628,78966,170466,314849
6101,12/31/2012,10480,28212,48490,76179,167684,304201
6101,12/31/2011,14213,31875,49595,72062,154424,256670
6101,12/31/2010,12752,28874,46651,74353,141734,219683
6101,12/31/2009,13491,31562,49980,72893,137470,223151
6101,12/31/2008,12547,27804,48763,70480,151063,271343
6101,12/31/2007,13940,31185,50950,79509,150250,232069
6101,12/31/2006,13292,33147,52397,76806,154209,245849
6107,12/31/2013,8997,23290,39555,62740,136882,225696
