GeoID,Date,Estimate; Total:,Margin of Error; Total:,"Estimate; Total: - Less than $10,000","Margin of Error; Total: - Less than $10,000","Estimate; Total: - $10,000 to $14,999","Margin of Error; Total: - $10,000 to $14,999","Estimate; Total: - $15,000 to $19,999","Margin of Error; Total: - $15,000 to $19,999","Estimate; Total: - $20,000 to $24,999","Margin of Error; Total: - $20,000 to $24,999","Estimate; Total: - $25,000 to $29,999","Margin of Error; Total: - $25,000 to $29,999","Estimate; Total: - $30,000 to $34,999","Margin of Error; Total: - $30,000 to $34,999","Estimate; Total: - $35,000 to $39,999","Margin of Error; Total: - $35,000 to $39,999","Estimate; Total: - $40,000 to $44,999","Margin of Error; Total: - $40,000 to $44,999","Estimate; Total: - $45,000 to $49,999","Margin of Error; Total: - $45,000 to $49,999","Estimate; Total: - $50,000 to $59,999","Margin of Error; Total: - $50,000 to $59,999","Estimate; Total: - $60,000 to $74,999","Margin of Error; Total: - $60,000 to $74,999","Estimate; Total: - $75,000 to $99,999","Margin of Error; Total: - $75,000 to $99,999","Estimate; Total: - $100,000 to $124,999","Margin of Error; Total: - $100,000 to $124,999","Estimate; Total: - $125,000 to $149,999","Margin of Error; Total: - $125,000 to $149,999","Estimate; Total: - $150,000 to $199,999","Margin of Error; Total: - $150,000 to $199,999","Estimate; Total: - $200,000 or more","Margin of Error; Total: - $200,000 or more"
6041,12/31/2012,102427,1729,3836,1044,3468,1075,2981,741,3487,849,3197,869,3178,825,4182,1095,3483,1044,2013,657,5332,967,8252,1230,11690,1484,10372,1577,7374,1204,11044,1428,18538,1596
6041,12/31/2013,102847,1783,2523,719,4188,1024,3417,1080,3455,974,3359,1020,3210,896,3310,1036,2561,818,2273,656,4923,1035,7502,1349,11945,1780,10225,1583,7456,1304,11554,1469,20946,2148
6045,12/31/2005,34297,1015,3566,942,2252,652,3208,1082,1829,816,2239,804,1880,718,1295,443,2114,636,1939,727,3030,963,3389,912,4038,1121,1331,459,871,439,491,305,825,464
6045,12/31/2006,33169,1258,3417,1106,2016,635,1657,586,2578,807,2590,619,2549,828,1883,665,2896,940,1634,599,2135,641,2849,847,2351,735,2306,854,939,494,577,380,792,394
6045,12/31/2007,33482,1268,2788,797,1921,609,2526,861,2699,861,2027,632,2135,828,1454,657,1709,587,1527,584,2800,985,3493,909,4316,1086,1855,647,1153,480,523,313,556,287
6045,12/31/2008,34519,1354,2515,756,3618,1169,2728,956,2556,829,1599,696,1609,676,1600,600,1953,630,1145,512,3106,927,3486,1112,3655,925,1873,554,985,462,1277,479,814,441
6045,12/31/2009,33507,1327,2720,765,3212,1055,2441,808,2036,583,2192,751,1401,574,2018,673,2246,734,1750,654,2551,792,2873,798,3954,991,1731,684,1260,520,817,338,305,238
6045,12/31/2010,33057,1837,1831,736,2983,888,2235,875,3522,1118,2471,852,1805,700,1438,594,2152,612,1975,773,3005,797,3170,836,3241,962,1389,560,473,305,886,425,481,412
6045,12/31/2011,32497,1401,2011,633,2653,801,1770,610,2986,1005,2394,713,1613,585,1958,638,1335,572,1509,510,3401,911,3394,889,2486,804,2311,845,887,393,1025,482,764,361
6045,12/31/2012,35203,1046,3078,855,3425,942,2718,850,2488,913,1542,510,2345,632,1718,552,1031,362,1615,614,3263,855,3439,749,3691,798,2775,855,1071,534,680,360,324,201
