GeoID,Date,With a mortgage:,With a mortgage: - Less than 2.0,With a mortgage: - 2.0 to 2.9,With a mortgage: - 3.0 to 3.9,With a mortgage: - 4.0 or more,With a mortgage: - Not computed,Not mortgaged:,Not mortgaged: - Less than 2.0,Not mortgaged: - 2.0 to 2.9,Not mortgaged: - 3.0 to 3.9,Not mortgaged: - 4.0 or more,Not mortgaged: - Not computed
6101,31/12/2007,0.7091,0.0780,0.1149,0.1365,0.3774,0.0023,0.2909,0.0173,0.0457,0.0287,0.1956,0.0036
6107,31/12/2007,0.7287,0.0784,0.1256,0.1318,0.3904,0.0025,0.2713,0.0539,0.0415,0.0159,0.1575,0.0024
6111,31/12/2007,0.7874,0.0237,0.0383,0.0852,0.6386,0.0016,0.2126,0.0132,0.0105,0.0108,0.1753,0.0029
6113,31/12/2007,0.7541,0.0343,0.0721,0.1397,0.5080,0.0000,0.2459,0.0401,0.0195,0.0123,0.1739,0.0000
6115,31/12/2007,0.7413,0.0699,0.1127,0.2201,0.3387,0.0000,0.2587,0.0897,0.0343,0.0277,0.1070,0.0000
6001,31/12/2008,0.7840,0.0326,0.0741,0.1329,0.5412,0.0032,0.2160,0.0213,0.0107,0.0185,0.1648,0.0007
6007,31/12/2008,0.6503,0.0578,0.1103,0.1424,0.3376,0.0021,0.3497,0.0859,0.0318,0.0437,0.1858,0.0026
6013,31/12/2008,0.7823,0.0466,0.1022,0.1275,0.5005,0.0056,0.2177,0.0304,0.0164,0.0185,0.1508,0.0016
6017,31/12/2008,0.7349,0.0479,0.0779,0.1532,0.4559,0.0000,0.2651,0.0318,0.0249,0.0287,0.1789,0.0009
6019,31/12/2008,0.7607,0.1158,0.1643,0.1441,0.3315,0.0050,0.2393,0.0551,0.0393,0.0225,0.1190,0.0034
6023,31/12/2008,0.6489,0.0444,0.0786,0.0999,0.4228,0.0032,0.3511,0.0610,0.0196,0.0331,0.2326,0.0048
6025,31/12/2008,0.6431,0.1004,0.1609,0.1357,0.2440,0.0021,0.3569,0.1262,0.0233,0.0289,0.1720,0.0064
6029,31/12/2008,0.7484,0.1429,0.2021,0.1190,0.2822,0.0022,0.2516,0.0631,0.0422,0.0304,0.1143,0.0016
6031,31/12/2008,0.7413,0.1175,0.2092,0.1167,0.2934,0.0045,0.2587,0.0649,0.0395,0.0226,0.1286,0.0031
6033,31/12/2008,0.6409,0.1172,0.1037,0.1015,0.3106,0.0079,0.3591,0.0566,0.0503,0.0396,0.2126,0.0000
6037,31/12/2008,0.7707,0.0403,0.0758,0.1118,0.5386,0.0043,0.2293,0.0238,0.0138,0.0186,0.1708,0.0024
6039,31/12/2008,0.7274,0.1006,0.1292,0.1378,0.3552,0.0046,0.2726,0.0633,0.0233,0.0271,0.1568,0.0020
6041,31/12/2008,0.7541,0.0298,0.0497,0.0748,0.5952,0.0046,0.2459,0.0175,0.0041,0.0102,0.2115,0.0026
6045,31/12/2008,0.5385,0.0307,0.0562,0.0721,0.3753,0.0043,0.4615,0.0831,0.0170,0.0376,0.3208,0.0030
