GeoID,Date,Gini Index
6077,12/31/2009,0.4360
6079,12/31/2009,0.4340
6081,12/31/2009,0.4650
6083,12/31/2009,0.4580
6085,12/31/2009,0.4460
6087,12/31/2009,0.4630
6089,12/31/2009,0.4530
6095,12/31/2009,0.4080
6097,12/31/2009,0.4300
6099,12/31/2009,0.4250
6101,12/31/2009,0.4070
6107,12/31/2009,0.4510
6111,12/31/2009,0.4330
6113,12/31/2009,0.4450
6115,12/31/2009,0.4260
6001,12/31/2008,0.4550
6007,12/31/2008,0.4670
6013,12/31/2008,0.4560
6017,12/31/2008,0.4040
6019,12/31/2008,0.4700
6023,12/31/2008,0.4710
6025,12/31/2008,0.4620
6029,12/31/2008,0.4610
6031,12/31/2008,0.4040
6033,12/31/2008,0.4280
6037,12/31/2008,0.4980
6039,12/31/2008,0.4560
