GeoID,Date,Estimate; Median value (dollars),Margin of Error; Median value (dollars)
6083,31/12/2011,447700,22554
6085,31/12/2011,627400,7567
6087,31/12/2011,532200,21640
6089,31/12/2011,203700,12973
6095,31/12/2011,256400,10171
6097,31/12/2011,398900,10185
6099,31/12/2011,161900,4162
6101,31/12/2011,175900,14326
6107,31/12/2011,152500,4321
6111,31/12/2011,433100,7370
6113,31/12/2011,290200,21767
6115,31/12/2011,162600,11203
6001,31/12/2012,472900,8290
6007,31/12/2012,203100,10045
6013,31/12/2012,381300,8374
6017,31/12/2012,335700,10912
6019,31/12/2012,174200,3816
6023,31/12/2012,280400,11727
6025,31/12/2012,133800,13800
6029,31/12/2012,150200,4779
6031,31/12/2012,161200,8182
6033,31/12/2012,149300,17097
6037,31/12/2012,399500,3194
6039,31/12/2012,168800,6079
6041,31/12/2012,752900,29912
6045,31/12/2012,297200,21851
6047,31/12/2012,138100,7247
6053,31/12/2012,318200,12539
6055,31/12/2012,396500,17002
6057,31/12/2012,324600,19904
6059,31/12/2012,492200,5104
6061,31/12/2012,319300,8781
6065,31/12/2012,220000,3775
6067,31/12/2012,213500,4127
6071,31/12/2012,206100,4110
6073,31/12/2012,386400,3606
6075,31/12/2012,727600,14500
6077,31/12/2012,190600,6093
6079,31/12/2012,410900,18701
6081,31/12/2012,701900,11033
6083,31/12/2012,409700,36291
6085,31/12/2012,634600,6951
6087,31/12/2012,545700,18950
6089,31/12/2012,202500,11320
6095,31/12/2012,234900,6439
6097,31/12/2012,380100,7795
6099,31/12/2012,159800,4342
6101,31/12/2012,166500,5598
6107,31/12/2012,155100,3937
6111,31/12/2012,413100,7079
6113,31/12/2012,280800,14322
6115,31/12/2012,175800,15859
6001,31/12/2013,518900,9781
6007,31/12/2013,217600,10164
6013,31/12/2013,424100,11512
6017,31/12/2013,352900,12804
6019,31/12/2013,185200,5954
6023,31/12/2013,259500,12540
6025,31/12/2013,148400,9215
6029,31/12/2013,161000,4533
6031,31/12/2013,169200,10858
6033,31/12/2013,166400,15405
6037,31/12/2013,420200,3238
6039,31/12/2013,174700,11846
6041,31/12/2013,784200,29720
6045,31/12/2013,297600,23778
6047,31/12/2013,147200,9268
6053,31/12/2013,363800,12003
6055,31/12/2013,443000,17904
6057,31/12/2013,337400,18300
6059,31/12/2013,539000,7738
6061,31/12/2013,352500,6814
6065,31/12/2013,236400,3871
6067,31/12/2013,238000,3585
6071,31/12/2013,230500,4090
6073,31/12/2013,411000,5433
6075,31/12/2013,778000,18102
6077,31/12/2013,208900,8081
6079,31/12/2013,436000,14633
6081,31/12/2013,748300,19398
6083,31/12/2013,437300,38706
6085,31/12/2013,682300,7115
6087,31/12/2013,535500,27825
6089,31/12/2013,209700,9767
6095,31/12/2013,259800,6576
6097,31/12/2013,406900,12710
6099,31/12/2013,175000,6341
6101,31/12/2013,177800,13500
6107,31/12/2013,160400,6584
6111,31/12/2013,443700,7665
6113,31/12/2013,331200,13882
6115,31/12/2013,169800,15857
