GeoID,Date,Estimate; Gini Index
6001,12/31/2009,0.449
6007,12/31/2009,0.449
6013,12/31/2009,0.456
6017,12/31/2009,0.4
6019,12/31/2009,0.457
6023,12/31/2009,0.461
6025,12/31/2009,0.493
6029,12/31/2009,0.449
6031,12/31/2009,0.424
6033,12/31/2009,0.478
6037,12/31/2009,0.486
6039,12/31/2009,0.434
6041,12/31/2009,0.495
6045,12/31/2009,0.435
6047,12/31/2009,0.46
6053,12/31/2009,0.443
6055,12/31/2009,0.453
6057,12/31/2009,0.44
6059,12/31/2009,0.45
6061,12/31/2009,0.418
6065,12/31/2009,0.433
6067,12/31/2009,0.438
6071,12/31/2009,0.437
6073,12/31/2009,0.45
6075,12/31/2009,0.507
6077,12/31/2009,0.436
6079,12/31/2009,0.434
6081,12/31/2009,0.465
6083,12/31/2009,0.458
6085,12/31/2009,0.446
6087,12/31/2009,0.463
6089,12/31/2009,0.453
6095,12/31/2009,0.408
6097,12/31/2009,0.43
6099,12/31/2009,0.425
6101,12/31/2009,0.407
6107,12/31/2009,0.451
6111,12/31/2009,0.433
6113,12/31/2009,0.445
6115,12/31/2009,0.426
6001,12/31/2008,0.455
6007,12/31/2008,0.467
6013,12/31/2008,0.456
6017,12/31/2008,0.404
6019,12/31/2008,0.47
6023,12/31/2008,0.471
6025,12/31/2008,0.462
6029,12/31/2008,0.461
6031,12/31/2008,0.404
6033,12/31/2008,0.428
6037,12/31/2008,0.498
6039,12/31/2008,0.456
6041,12/31/2008,0.485
6045,12/31/2008,0.489
6047,12/31/2008,0.459
6053,12/31/2008,0.433
6055,12/31/2008,0.465
6057,12/31/2008,0.419
6059,12/31/2008,0.46
6061,12/31/2008,0.419
6065,12/31/2008,0.434
6067,12/31/2008,0.417
6071,12/31/2008,0.431
6073,12/31/2008,0.455
6075,12/31/2008,0.514
6077,12/31/2008,0.434
6079,12/31/2008,0.436
6081,12/31/2008,0.479
6083,12/31/2008,0.459
6085,12/31/2008,0.446
6087,12/31/2008,0.467
6089,12/31/2008,0.453
6095,12/31/2008,0.396
6097,12/31/2008,0.456
6099,12/31/2008,0.442
6101,12/31/2008,0.446
6107,12/31/2008,0.427
6111,12/31/2008,0.434
6113,12/31/2008,0.446
6115,12/31/2008,0.421
6001,12/31/2007,0.458
6007,12/31/2007,0.463
6013,12/31/2007,0.451
6017,12/31/2007,0.428
6019,12/31/2007,0.456
6023,12/31/2007,0.475
6025,12/31/2007,0.478
6029,12/31/2007,0.448
6031,12/31/2007,0.402
6033,12/31/2007,0.44
6037,12/31/2007,0.493
6039,12/31/2007,0.455
6041,12/31/2007,0.497
6045,12/31/2007,0.428
6047,12/31/2007,0.463
6053,12/31/2007,0.454
6055,12/31/2007,0.462
6057,12/31/2007,0.405
6059,12/31/2007,0.457
6061,12/31/2007,0.417
6065,12/31/2007,0.441
6067,12/31/2007,0.421
6071,12/31/2007,0.406
6073,12/31/2007,0.451
6075,12/31/2007,0.519
6077,12/31/2007,0.436
6079,12/31/2007,0.468
6081,12/31/2007,0.47
6083,12/31/2007,0.469
6085,12/31/2007,0.452
6087,12/31/2007,0.463
6089,12/31/2007,0.448
6095,12/31/2007,0.399
6097,12/31/2007,0.438
6099,12/31/2007,0.424
6101,12/31/2007,0.42
6107,12/31/2007,0.452
6111,12/31/2007,0.432
6113,12/31/2007,0.452
6115,12/31/2007,0.429
6001,12/31/2006,0.45
6007,12/31/2006,0.439
6013,12/31/2006,0.453
6017,12/31/2006,0.421
6019,12/31/2006,0.453
6023,12/31/2006,0.443
6025,12/31/2006,0.444
6029,12/31/2006,0.452
6031,12/31/2006,0.405
6033,12/31/2006,0.388
6037,12/31/2006,0.484
6039,12/31/2006,0.457
6041,12/31/2006,0.498
6045,12/31/2006,0.467
6047,12/31/2006,0.447
6053,12/31/2006,0.451
6055,12/31/2006,0.458
6057,12/31/2006,0.43
6059,12/31/2006,0.458
6061,12/31/2006,0.431
6065,12/31/2006,0.427
6067,12/31/2006,0.428
6071,12/31/2006,0.417
6073,12/31/2006,0.451
6075,12/31/2006,0.497
6077,12/31/2006,0.428
6079,12/31/2006,0.467
6081,12/31/2006,0.463
6083,12/31/2006,0.48
6085,12/31/2006,0.456
6087,12/31/2006,0.463
6089,12/31/2006,0.453
6095,12/31/2006,0.405
6097,12/31/2006,0.44
6099,12/31/2006,0.447
6101,12/31/2006,0.423
6107,12/31/2006,0.454
6111,12/31/2006,0.431
6113,12/31/2006,0.448
6115,12/31/2006,0.433
