GeoID,Date,Estimate; Median gross rent as a percentage of household income,Margin of Error; Median gross rent as a percentage of household income
6041,31/12/2006,34.7,3.9
6045,31/12/2006,33.5,7
6047,31/12/2006,32.9,3.4
6053,31/12/2006,31.6,1.4
6055,31/12/2006,29.8,4.1
6057,31/12/2006,34.8,4.1
6059,31/12/2006,32.5,0.6
6061,31/12/2006,31.5,2.5
6065,31/12/2006,34.9,1.1
6067,31/12/2006,33.4,1
6071,31/12/2006,33.7,1.2
6073,31/12/2006,32.8,0.6
6075,31/12/2006,27.1,0.8
6077,31/12/2006,33.5,1.6
6079,31/12/2006,35.3,2.7
6081,31/12/2006,28.5,1.2
6083,31/12/2006,36,1.8
6085,31/12/2006,28,0.8
6087,31/12/2006,36.3,2.1
6089,31/12/2006,34.7,3.5
6095,31/12/2006,33.8,1.8
6097,31/12/2006,35,1.9
6099,31/12/2006,34.1,1.5
6101,31/12/2006,31.8,3.5
6107,31/12/2006,28.7,1.6
6111,31/12/2006,31.9,1.5
6113,31/12/2006,33.4,2.1
6115,31/12/2006,34,3.6
6001,31/12/2005,30.3,1
6007,31/12/2005,38,5.4
6013,31/12/2005,32.7,1.8
6017,31/12/2005,33.6,3.7
6019,31/12/2005,32,1.4
6023,31/12/2005,36,3.1
6025,31/12/2005,32,3.3
6029,31/12/2005,30.1,1.9
6031,31/12/2005,30.9,2.4
6033,31/12/2005,33.1,14.8
6037,31/12/2005,33.2,0.4
6039,31/12/2005,25.8,3.5
6041,31/12/2005,32,2.1
6045,31/12/2005,33.4,6.3
6047,31/12/2005,34.5,3.6
6053,31/12/2005,31.1,2
6055,31/12/2005,26.2,3.2
6057,31/12/2005,29.4,4.2
6059,31/12/2005,32.5,0.7
6061,31/12/2005,29.9,2.4
6065,31/12/2005,34.4,1.2
6067,31/12/2005,32.1,1.2
6071,31/12/2005,34.6,1.6
6073,31/12/2005,33.5,0.6
6075,31/12/2005,28.2,0.7
6077,31/12/2005,34.3,2.1
6079,31/12/2005,34.9,3.9
6081,31/12/2005,29.8,1.6
6083,31/12/2005,35,2.9
6085,31/12/2005,28.9,0.8
6087,31/12/2005,33,2
6089,31/12/2005,32.1,3.5
6095,31/12/2005,34.6,2.5
6097,31/12/2005,32.5,2.1
6099,31/12/2005,33.5,2.2
6101,31/12/2005,29,3.7
6107,31/12/2005,28.7,1.7
6111,31/12/2005,32.3,1.2
6113,31/12/2005,34.9,2.4
6115,31/12/2005,31.9,8.4
