GeoID,Date,Estimate; Total:,Margin of Error; Total:,"Estimate; Housing units with a mortgage, contract to purchase, or similar debt:","Margin of Error; Housing units with a mortgage, contract to purchase, or similar debt:","Estimate; Housing units with a mortgage, contract to purchase, or similar debt: - With either a second mortgage or home equity loan, but not both:","Margin of Error; Housing units with a mortgage, contract to purchase, or similar debt: - With either a second mortgage or home equity loan, but not both:","Estimate; Housing units with a mortgage, contract to purchase, or similar debt: - With either a second mortgage or home equity loan, but not both: - Second mortgage only","Margin of Error; Housing units with a mortgage, contract to purchase, or similar debt: - With either a second mortgage or home equity loan, but not both: - Second mortgage only","Estimate; Housing units with a mortgage, contract to purchase, or similar debt: - With either a second mortgage or home equity loan, but not both: - Home equity loan only","Margin of Error; Housing units with a mortgage, contract to purchase, or similar debt: - With either a second mortgage or home equity loan, but not both: - Home equity loan only","Estimate; Housing units with a mortgage, contract to purchase, or similar debt: - Both second mortgage and home equity loan","Margin of Error; Housing units with a mortgage, contract to purchase, or similar debt: - Both second mortgage and home equity loan","Estimate; Housing units with a mortgage, contract to purchase, or similar debt: - No second mortgage and no home equity loan","Margin of Error; Housing units with a mortgage, contract to purchase, or similar debt: - No second mortgage and no home equity loan",Estimate; Housing units without a mortgage,Margin of Error; Housing units without a mortgage
6023,31/12/2010,31560,1850,19980,1704,4563,780,1213,490,3350,729,252,210,15165,1714,11580,1518
6025,31/12/2010,27947,1648,19051,1668,3546,932,1713,702,1833,601,171,217,15334,1489,8896,1425
6029,31/12/2010,148939,3532,107754,3173,20118,1696,7691,1266,12427,1322,1696,717,85940,3165,41185,2650
6031,31/12/2010,20953,1516,15174,1561,2540,646,1054,421,1486,484,307,241,12327,1486,5779,892
6033,31/12/2010,15970,1551,10260,1453,2162,811,1401,681,761,388,88,118,8010,1346,5710,1043
6037,31/12/2010,1501448,14839,1156155,13900,290242,7624,83991,4304,206251,6795,22383,2862,843530,12310,345293,8511
6039,31/12/2010,25469,1872,19077,1561,4392,1013,1269,644,3123,736,143,159,14542,1621,6392,1034
6041,31/12/2010,66429,2772,50006,2790,17193,1969,2220,746,14973,1714,730,481,32083,2564,16423,1535
6045,31/12/2010,18318,1755,9932,1471,1843,606,608,383,1235,449,52,88,8037,1385,8386,1394
6047,31/12/2010,40334,2510,29786,2501,5038,938,1819,650,3219,815,285,246,24463,2456,10548,1444
6053,31/12/2010,63894,2982,45014,2797,10764,1461,2315,782,8449,1308,687,301,33563,2427,18880,2216
6055,31/12/2010,30948,1999,21906,2062,5285,1045,1111,547,4174,914,330,261,16291,1886,9042,1313
6057,31/12/2010,28278,1771,19471,1427,6360,1177,1580,640,4780,986,215,212,12896,1533,8807,1376
6059,31/12/2010,584314,7164,444114,7163,125051,4246,30472,2634,94579,3756,6312,1395,312751,6316,140200,4249
6061,31/12/2010,93350,3170,71114,3328,21633,2116,8204,1723,13429,1562,695,390,48786,3185,22236,1817
6065,31/12/2010,458273,6812,349306,6591,79128,3732,28665,2752,50463,3149,3754,975,266424,7229,108967,4454
6067,31/12/2010,294365,5847,225690,5377,59701,3251,22255,2008,37446,2851,4022,986,161967,4759,68675,3628
6071,31/12/2010,372535,7382,285972,7416,68553,4310,28382,2969,40171,3306,3948,1176,213471,7125,86563,3906
6073,31/12/2010,572400,8785,438814,7546,116336,4761,31907,2892,84429,3803,7525,1458,314953,7364,133586,5311
6075,31/12/2010,123128,4317,84904,3824,23366,2201,5562,1080,17804,2029,998,572,60540,3538,38224,2719
6077,31/12/2010,124244,4141,96709,3796,24704,2713,8817,1581,15887,1963,1174,614,70831,3702,27535,2342
6079,31/12/2010,59862,2141,41224,2274,10585,1286,2217,740,8368,1252,863,507,29776,2145,18638,1838
6081,31/12/2010,152358,4237,113945,4257,35705,2528,7662,1416,28043,2062,1484,605,76756,3674,38413,2354
6083,31/12/2010,75146,2601,51962,2501,16278,1603,4931,1011,11347,1300,678,409,35006,2127,23184,1667
6085,31/12/2010,342955,4963,256276,5674,77684,3700,15803,2143,61881,3096,5485,1380,173107,5623,86679,3495
6087,31/12/2010,54209,3225,39258,3199,12305,1436,2268,794,10037,1432,1317,635,25636,2573,14951,1508
6089,31/12/2010,44695,2085,29421,2099,8854,1195,3118,927,5736,1022,421,278,20146,1894,15274,1550
6095,31/12/2010,87615,2945,67552,3341,19118,2243,5419,1050,13699,1720,807,429,47627,3148,20063,1495
6097,31/12/2010,110953,3114,78737,3222,22974,1982,6053,1418,16921,1553,1054,600,54709,3474,32216,2362
6099,31/12/2010,98598,3087,74469,3146,15225,1858,5430,1124,9795,1569,1148,575,58096,3182,24129,1958
6101,31/12/2010,17958,1234,12676,1240,4474,914,1872,743,2602,749,125,136,8077,1139,5282,951
6107,31/12/2010,75913,2391,54406,2597,10887,1491,4723,1146,6164,1116,482,329,43037,2522,21507,1851
6111,31/12/2010,170124,4279,129346,4108,38247,2363,10436,1610,27811,1930,1525,592,89574,3764,40778,2570
6113,31/12/2010,37863,2183,27412,2175,7862,1366,2839,819,5023,978,688,537,18862,2006,10451,1252
6115,31/12/2010,14982,1451,10881,1181,2441,655,823,465,1618,571,121,148,8319,1209,4101,928
6001,31/12/2011,289222,5684,222697,5513,52485,3323,12448,1761,40037,2745,4076,1029,166136,4698,66525,3269
6007,31/12/2011,48746,2448,31909,2586,7532,1225,2327,754,5205,1075,100,120,24277,2465,16837,1758
6013,31/12/2011,246590,5513,190712,5751,47123,3772,9706,1681,37417,3042,3681,1656,139908,5540,55878,3863
6017,31/12/2011,48985,2549,36227,2414,10395,1537,3173,971,7222,1346,488,332,25344,2352,12758,1527
6019,31/12/2011,155609,4439,114643,4274,18138,1665,6425,1394,11713,1527,2033,825,94472,4339,40966,2656
6023,31/12/2011,28459,1875,17122,1643,4151,1021,625,353,3526,946,501,391,12470,1508,11337,1180
6025,31/12/2011,27172,1553,19365,1523,2974,904,1448,706,1526,539,283,289,16108,1544,7807,1103
6029,31/12/2011,144094,4352,104141,4124,18916,2021,7397,1326,11519,1644,913,549,84312,3861,39953,2587
6031,31/12/2011,22822,1448,16974,1521,3466,792,1881,699,1585,564,202,245,13306,1463,5848,891
6033,31/12/2011,16839,1362,9855,1411,2116,726,1447,683,669,381,53,90,7686,1418,6984,1069
6037,31/12/2011,1482011,12100,1126864,11396,260666,7749,73860,4178,186806,5976,19722,2689,846476,9968,355147,8018
6039,31/12/2011,24738,1996,16427,1984,3423,1051,846,482,2577,825,91,109,12913,1629,8311,1049
6041,31/12/2011,60453,2759,43474,2667,13900,1806,2377,855,11523,1727,200,174,29374,2278,16979,1497
6045,31/12/2011,20447,1648,11224,1578,2663,761,450,233,2213,760,37,64,8524,1529,9223,1306
6047,31/12/2011,38880,2463,28126,2290,3856,936,1237,481,2619,805,195,149,24075,2356,10754,1144
6053,31/12/2011,58668,2648,41893,2536,8073,1257,1886,558,6187,1108,906,626,32914,2554,16775,1494
6055,31/12/2011,27183,1774,19241,1788,4996,894,1573,479,3423,804,192,173,14053,1771,7942,1003
6057,31/12/2011,30219,2173,21607,2023,6100,1208,1915,858,4185,1122,102,126,15405,1815,8612,1050
6059,31/12/2011,581991,6072,443304,6618,107018,4402,23386,2316,83632,3353,6227,1023,330059,7191,138687,3984
6061,31/12/2011,94614,3282,70800,3486,17923,2380,6553,1471,11370,1783,64,104,52813,3493,23814,2215
6065,31/12/2011,451415,7857,337651,8577,68326,4665,24987,3454,43339,3252,5228,1943,264097,8498,113764,5528
6067,31/12/2011,286161,6945,217036,6261,47605,3321,15352,1631,32253,2983,2064,731,167367,6125,69125,3670
6071,31/12/2011,381133,7803,292309,7745,59712,4930,20247,3151,39465,3917,3642,1126,228955,7609,88824,4403
6073,31/12/2011,565447,6512,427532,6778,104062,4275,26148,2510,77914,3478,6058,1776,317412,6992,137915,4071
6075,31/12/2011,123681,4286,87602,4114,20219,2077,3614,857,16605,1896,1019,414,66364,3980,36079,2878
6077,31/12/2011,124893,3875,92654,3663,18646,2308,7405,1781,11241,1632,1860,745,72148,3915,32239,2262
6079,31/12/2011,56773,2117,37595,1951,7973,1075,1551,486,6422,1022,291,212,29331,2141,19178,1592
6081,31/12/2011,150930,3851,111295,3709,29675,2332,5879,1270,23796,1835,1910,712,79710,3380,39635,2154
6083,31/12/2011,71387,2527,49518,2347,12235,1240,3098,846,9137,1048,640,426,36643,2246,21869,1656
6085,31/12/2011,343742,4867,257329,5700,65432,3554,11684,1753,53748,2914,3335,1067,188562,5117,86413,4469
6087,31/12/2011,54319,2402,38380,2463,12351,1735,2059,605,10292,1656,459,387,25570,2288,15939,1488
6089,31/12/2011,45256,1976,28355,2012,5274,1045,1663,573,3611,794,333,269,22748,1754,16901,1352
6095,31/12/2011,85648,3209,65924,3447,16064,1727,5447,1309,10617,1333,1190,587,48670,3021,19724,1713
6097,31/12/2011,107486,3552,77308,3439,20837,2017,5128,1115,15709,1801,1248,572,55223,3210,30178,2366
6099,31/12/2011,97147,3225,70083,3299,11714,1458,3959,1010,7755,1277,667,380,57702,3533,27064,2203
6101,31/12/2011,19872,1433,14799,1495,2461,701,823,449,1638,546,167,175,12171,1497,5073,874
6107,31/12/2011,76347,2682,55841,2960,8578,1569,2913,927,5665,1167,533,344,46730,2896,20506,1662
6111,31/12/2011,173534,3760,137331,3697,37375,2270,9740,1601,27635,1989,1885,700,98071,3604,36203,2407
6113,31/12/2011,37802,2312,28085,2016,7856,1600,3563,1121,4293,1109,231,225,19998,1671,9717,1290
6115,31/12/2011,13324,1267,9935,1271,1749,581,791,432,958,416,340,311,7846,1309,3389,806
6001,31/12/2012,286205,5284,216631,5040,49547,2341,12190,1555,37357,2040,3093,861,163991,4290,69574,2779
6007,31/12/2012,50752,2105,32873,1951,7083,1137,2051,750,5032,955,369,259,25421,1775,17879,1548
6013,31/12/2012,244208,4892,188950,4823,45609,3315,9760,1717,35849,2725,1993,653,141348,5094,55258,2983
6017,31/12/2012,47733,1998,34327,2028,8172,1168,2006,712,6166,988,360,287,25795,1677,13406,1223
6019,31/12/2012,150354,3479,108864,3381,17313,1987,7165,1281,10148,1327,1519,642,90032,3650,41490,2673
6023,31/12/2012,28072,1613,18483,1623,3559,756,865,386,2694,644,101,123,14823,1492,9589,1137
6025,31/12/2012,26517,1836,16895,1759,2445,806,1048,452,1397,632,56,102,14394,1740,9622,1292
6029,31/12/2012,147900,3817,106199,3836,13283,1548,6458,1437,6825,928,1022,492,91894,3929,41701,2502
6031,31/12/2012,19777,1547,14255,1299,2509,725,1035,460,1474,550,235,208,11511,1110,5522,855
6033,31/12/2012,15542,1557,9536,1552,1414,574,685,409,729,435,137,155,7985,1342,6006,1050
6037,31/12/2012,1481122,11896,1121835,11313,224801,5567,59945,3145,164856,4744,13172,1530,883862,9960,359287,6574
6039,31/12/2012,24555,1669,16709,1707,2399,504,636,273,1763,430,64,113,14246,1644,7846,1074
6041,31/12/2012,63948,2193,45388,2349,13183,1765,2172,803,11011,1592,1059,554,31146,2130,18560,1638
6045,31/12/2012,18959,1278,10067,1151,1550,483,311,219,1239,446,0,197,8517,1232,8892,1049
6047,31/12/2012,40931,2532,30195,2247,4263,960,771,323,3492,914,247,153,25685,2303,10736,1221
6053,31/12/2012,60584,2594,43257,2585,7796,1139,1399,481,6397,1040,284,163,35177,2231,17327,1522
6055,31/12/2012,29220,1412,20187,1523,5900,1038,2080,817,3820,657,414,353,13873,1395,9033,884
6057,31/12/2012,29567,1721,18485,1590,4256,937,712,326,3544,891,205,221,14024,1429,11082,1282
6059,31/12/2012,565956,6120,421483,6179,96785,4125,20982,2440,75803,3506,4042,878,320656,6492,144473,4170
6061,31/12/2012,92455,2507,68641,2926,16207,1652,4105,900,12102,1427,527,288,51907,3199,23814,1876
6065,31/12/2012,442164,7580,325771,7640,57489,3272,20834,2270,36655,2411,2666,732,265616,6851,116393,4057
6067,31/12/2012,289227,4852,221612,4903,44245,2614,13596,1923,30649,2399,1567,611,175800,4855,67615,2866
6071,31/12/2012,360060,6921,274681,6021,49616,2899,18413,1831,31203,2362,2960,1135,222105,5996,85379,3542
6073,31/12/2012,573530,6642,429578,7221,96593,4734,24238,2753,72355,3693,5253,1348,327732,8005,143952,4180
6075,31/12/2012,124739,4592,88407,3872,21142,2127,5137,1364,16005,1744,794,401,66471,3678,36332,2646
6077,31/12/2012,121799,3621,89083,3470,14713,1515,5115,1127,9598,1128,1457,693,72913,3278,32716,2200
6079,31/12/2012,56105,2277,37533,2272,8679,1323,1587,594,7092,1182,200,159,28654,2144,18572,1472
6081,31/12/2012,148728,3608,107218,3665,29195,2169,5021,1048,24174,1798,910,404,77113,3308,41510,2234
6083,31/12/2012,73176,2449,49835,2294,10738,1366,2449,671,8289,1142,659,359,38438,2301,23341,1847
6085,31/12/2012,344484,5421,255233,5805,59153,3010,12083,1390,47070,2707,5496,1459,190584,4999,89251,3675
6087,31/12/2012,52900,2407,38681,2537,10741,1459,2047,654,8694,1393,254,148,27686,2154,14219,1393
6089,31/12/2012,42265,1908,27251,1663,5216,844,1370,475,3846,719,252,248,21783,1524,15014,1123
6095,31/12/2012,83408,2784,64835,2634,14383,1389,3993,989,10390,1192,919,441,49533,2549,18573,1508
6097,31/12/2012,110476,3322,80697,2928,20264,2107,5294,1132,14970,1646,1199,483,59234,2616,29779,1878
6099,31/12/2012,93081,2911,69968,2826,14220,1575,5371,1152,8849,1203,669,396,55079,2956,23113,1490
6101,31/12/2012,18517,1200,12778,1307,2517,654,1013,478,1504,490,120,133,10141,1273,5739,839
6107,31/12/2012,75044,2700,52061,2960,8034,1329,3143,851,4891,917,458,314,43569,2988,22983,2086
6111,31/12/2012,172028,3950,133540,3838,29466,2131,7034,1233,22432,1875,1290,603,102784,4155,38488,1963
6113,31/12/2012,35683,1960,25818,1717,5535,1026,2172,765,3363,669,430,402,19853,1519,9865,1178
6115,31/12/2012,14671,1122,10375,1159,1308,458,574,302,734,405,0,197,9067,1085,4296,856
6001,31/12/2013,288417,4698,217870,4957,43884,2396,9779,1362,34105,2250,2775,753,171211,4956,70547,3073
6007,31/12/2013,48961,2379,30662,1997,5509,1012,1109,414,4400,905,307,257,24846,1831,18299,1689
6013,31/12/2013,247289,4837,182194,4683,40096,2405,7350,1197,32746,2274,2483,766,139615,4517,65095,3483
6017,31/12/2013,48749,2157,34055,2077,7456,1092,1209,582,6247,1055,609,426,25990,1942,14694,1660
6019,31/12/2013,152766,3755,108751,3449,14989,1567,5327,1082,9662,1125,1195,593,92567,3676,44015,2856
6023,31/12/2013,28950,1391,17226,1397,3756,960,883,448,2873,860,0,203,13470,1381,11724,1064
6025,31/12/2013,25644,2032,15947,1862,1886,687,823,621,1063,428,63,129,13998,1785,9697,1243
6029,31/12/2013,137511,4443,96246,3999,14564,1682,6037,1441,8527,1172,532,455,81150,3804,41265,2691
6031,31/12/2013,21090,1578,14699,1460,2039,625,1063,484,976,505,317,222,12343,1451,6391,992
6033,31/12/2013,16595,1322,10145,1396,1494,623,460,333,1034,576,51,83,8600,1390,6450,1099
6037,31/12/2013,1477894,14280,1097561,13495,196221,4969,49084,2946,147137,4283,10165,1514,891175,11446,380333,6735
6039,31/12/2013,25570,1786,17072,1785,2465,756,1164,584,1301,485,42,71,14565,1645,8498,1102
6041,31/12/2013,67526,2327,48916,2497,14961,1710,1803,655,13158,1545,580,410,33375,2348,18610,1717
6045,31/12/2013,19271,1571,11236,1519,2256,744,752,507,1504,585,267,222,8713,1400,8035,1173
6047,31/12/2013,40650,2025,27417,1987,2953,571,1308,417,1645,532,8,14,24456,1850,13233,1407
6053,31/12/2013,61919,2274,42942,2515,7909,1046,1639,561,6270,957,208,140,34825,2507,18977,1407
6055,31/12/2013,29568,1564,21978,1439,5102,780,963,361,4139,692,339,240,16537,1288,7590,1081
6057,31/12/2013,28215,1601,18435,1515,2802,846,532,306,2270,802,336,332,15297,1434,9780,1460
6059,31/12/2013,577242,6926,423346,6902,86633,4598,17846,1908,68787,4143,5585,1741,331128,6739,153896,4878
6061,31/12/2013,92391,2806,68275,2837,12831,1490,3571,896,9260,1166,276,201,55168,2873,24116,1678
6065,31/12/2013,442179,7433,325105,7712,47936,2777,17201,1955,30735,2287,2955,1013,274214,7843,117074,4306
6067,31/12/2013,282206,5311,210444,5965,36126,2657,11554,1235,24572,2212,1757,655,172561,5422,71762,3428
6071,31/12/2013,361591,5248,266470,5361,40104,2936,13552,1866,26552,2440,2899,900,223467,5651,95121,3678
6073,31/12/2013,576985,6112,426725,7595,81274,4527,19153,2313,62121,4132,5777,1735,339674,7122,150260,4992
6075,31/12/2013,127211,4092,86276,3943,20172,2200,4120,1274,16052,1824,693,326,65411,3705,40935,2193
6077,31/12/2013,119716,3216,86166,3549,14843,1719,3787,932,11056,1611,1402,516,69921,3229,33550,2217
6079,31/12/2013,59488,2158,40001,2386,8145,1347,1477,551,6668,1305,279,280,31577,2175,19487,1645
6081,31/12/2013,156006,3266,112831,3412,25538,2166,4547,969,20991,1854,1555,840,85738,3595,43175,2158
6083,31/12/2013,73083,2839,49627,2754,9509,1309,2900,856,6609,1143,269,211,39849,2549,23456,2207
6085,31/12/2013,346701,5514,250638,5458,53194,2983,10487,1539,42707,2610,2922,1003,194522,5463,96063,3315
6087,31/12/2013,56426,2450,39692,2395,8938,1330,1156,574,7782,1168,166,140,30588,2355,16734,1522
6089,31/12/2013,42681,1855,27536,1823,4146,827,1520,563,2626,599,232,203,23158,1740,15145,1476
6095,31/12/2013,84317,3067,63996,3008,12424,1698,4447,1147,7977,1450,481,300,51091,2815,20321,1815
6097,31/12/2013,110682,3513,77932,3300,17144,1975,3461,1139,13683,1818,660,450,60128,3512,32750,2215
6099,31/12/2013,94674,2732,69062,2864,9393,1353,3281,1011,6112,1042,1958,899,57711,2718,25612,1791
6101,31/12/2013,18772,1353,12955,1422,2582,637,1244,504,1338,443,42,63,10331,1222,5817,923
6107,31/12/2013,70872,2878,50936,2980,7103,1394,2009,672,5094,1305,717,591,43116,2661,19936,1766
6111,31/12/2013,168134,3661,127156,3490,28066,2375,6547,1146,21519,1960,1445,540,97645,3619,40978,2562
6113,31/12/2013,34816,1715,24845,1781,4710,938,1695,579,3015,710,194,167,19941,1574,9971,1269
6115,31/12/2013,14230,1178,9869,1344,1249,508,681,461,568,268,192,248,8428,1352,4361,953
