GeoID,Date,Estimate; Total:,Margin of Error; Total:,"Estimate; Housing units with a mortgage, contract to purchase, or similar debt:","Margin of Error; Housing units with a mortgage, contract to purchase, or similar debt:","Estimate; Housing units with a mortgage, contract to purchase, or similar debt: - With either a second mortgage or home equity loan, but not both:","Margin of Error; Housing units with a mortgage, contract to purchase, or similar debt: - With either a second mortgage or home equity loan, but not both:","Estimate; Housing units with a mortgage, contract to purchase, or similar debt: - With either a second mortgage or home equity loan, but not both: - Second mortgage only","Margin of Error; Housing units with a mortgage, contract to purchase, or similar debt: - With either a second mortgage or home equity loan, but not both: - Second mortgage only","Estimate; Housing units with a mortgage, contract to purchase, or similar debt: - With either a second mortgage or home equity loan, but not both: - Home equity loan only","Margin of Error; Housing units with a mortgage, contract to purchase, or similar debt: - With either a second mortgage or home equity loan, but not both: - Home equity loan only","Estimate; Housing units with a mortgage, contract to purchase, or similar debt: - Both second mortgage and home equity loan","Margin of Error; Housing units with a mortgage, contract to purchase, or similar debt: - Both second mortgage and home equity loan","Estimate; Housing units with a mortgage, contract to purchase, or similar debt: - No second mortgage and no home equity loan","Margin of Error; Housing units with a mortgage, contract to purchase, or similar debt: - No second mortgage and no home equity loan",Estimate; Housing units without a mortgage,Margin of Error; Housing units without a mortgage
6107,31/12/2006,72770,2612,53815,2349,10391,1306,2782,686,7609,1154,633,350,42791,2347,18955,1542
6111,31/12/2006,177961,3791,142963,3752,48002,2808,11712,1660,36290,2608,4062,1061,90899,3650,34998,2585
6113,31/12/2006,36338,1546,27712,1639,9167,1321,3093,853,6074,1086,655,519,17890,1445,8626,1030
6115,31/12/2006,13381,1162,9293,1214,2627,862,1363,578,1264,577,195,166,6471,1101,4088,634
6001,31/12/2007,298409,5528,231047,5330,78688,4127,18820,2300,59868,3413,3447,1021,148912,4828,67362,3400
6007,31/12/2007,50554,2046,32463,2187,10050,1476,2280,704,7770,1334,133,127,22280,1905,18091,1675
6013,31/12/2007,260823,4027,207504,4425,70032,3583,16266,1891,53766,3230,3699,897,133773,4579,53319,2633
6017,31/12/2007,48954,1913,38957,2089,14456,1850,3281,1057,11175,1507,1153,567,23348,2460,9997,1056
6019,31/12/2007,157007,3883,115802,4008,29116,2180,9062,1296,20054,1918,2490,951,84196,4030,41205,2207
6023,31/12/2007,30514,1785,17020,1674,4626,865,1799,674,2827,629,94,120,12300,1418,13494,1161
6025,31/12/2007,22774,1899,15608,1806,2047,560,1062,402,985,407,157,132,13404,1729,7166,991
6029,31/12/2007,147822,3929,113124,3773,27896,2090,11236,1732,16660,1864,1587,667,83641,3552,34698,2074
6031,31/12/2007,23535,1440,18414,1522,4113,912,1832,719,2281,611,47,81,14254,1439,5121,795
6033,31/12/2007,16763,1774,9458,1575,2518,843,278,240,2240,792,279,342,6661,1439,7305,1190
6037,31/12/2007,1558468,13095,1201197,13004,338974,7850,92582,4654,246392,7058,29467,2845,832756,10683,357271,7044
6039,31/12/2007,27034,1646,19179,1606,5374,1088,1029,422,4345,1088,361,319,13444,1404,7855,1036
6041,31/12/2007,64824,2754,48764,2647,18714,1844,2315,769,16399,1774,1140,584,28910,2105,16060,1854
6045,31/12/2007,21300,1535,11172,1239,2319,585,703,286,1616,506,0,292,8853,1197,10128,1265
6047,31/12/2007,41790,2430,32201,2277,7814,1340,2851,875,4963,923,460,430,23927,1981,9589,1220
6053,31/12/2007,64807,2875,49020,2896,14708,2123,3890,945,10818,1675,807,480,33505,2742,15787,1606
6055,31/12/2007,32301,1522,23407,1580,8307,1211,1599,552,6708,1108,828,657,14272,1705,8894,1094
6057,31/12/2007,28349,1647,19635,1711,7840,1302,1452,696,6388,1155,0,292,11795,1509,8714,1198
6059,31/12/2007,612493,5755,474371,6181,148290,4736,35011,2918,113279,3581,9624,1615,316457,7123,138122,4094
6061,31/12/2007,89508,2618,67194,2681,25906,2374,7179,1293,18727,2036,1514,597,39774,2186,22314,1767
6065,31/12/2007,452798,6660,348396,6475,103718,4176,41549,3204,62169,2951,5126,1271,239552,5983,104402,3727
6067,31/12/2007,307787,5148,241655,5377,88790,3725,28923,2790,59867,3357,2628,793,150237,4849,66132,2767
6071,31/12/2007,386391,6425,306394,6367,83642,4389,34038,3325,49604,3430,8432,1709,214320,6760,79997,3516
6073,31/12/2007,584243,7869,447396,7654,155117,4497,42180,3510,112937,3857,9727,1560,282552,7415,136847,4639
6075,31/12/2007,121809,4211,88448,3953,25211,2125,5226,1020,19985,1840,2222,782,61015,4057,33361,2337
6077,31/12/2007,131039,4269,100008,4237,32229,2591,10924,1627,21305,2009,1138,487,66641,3528,31031,2049
6079,31/12/2007,59915,2816,42061,2684,15263,1711,3894,1033,11369,1657,636,371,26162,2121,17854,1432
6081,31/12/2007,155617,3522,115367,3518,36311,2606,7586,1309,28725,2241,1865,707,77191,3127,40250,2401
6083,31/12/2007,76420,2216,54610,2295,17114,1822,4345,1013,12769,1499,756,465,36740,2583,21810,1736
6085,31/12/2007,354395,6539,271367,6265,87476,4118,22993,2147,64483,3795,5235,1234,178656,5152,83028,3487
6087,31/12/2007,55748,2309,39666,2351,14668,1605,3074,800,11594,1511,899,476,24099,1969,16082,1386
6089,31/12/2007,44597,2017,30278,2037,9434,1285,2660,782,6774,994,525,414,20319,2081,14319,1393
6095,31/12/2007,90775,2452,73365,2572,24778,2103,8825,1337,15953,1610,1422,620,47165,2527,17410,1514
6097,31/12/2007,110167,2654,79142,2463,26275,2067,6006,1262,20269,1784,1236,552,51631,2675,31025,2040
6099,31/12/2007,100425,3289,76512,2932,22253,2022,8024,1647,14229,1487,1249,550,53010,2749,23913,1922
6101,31/12/2007,20769,1166,14727,1397,4695,854,819,395,3876,795,405,286,9627,1341,6042,835
6107,31/12/2007,72453,2619,52800,2707,11827,1325,4222,1084,7605,1032,685,504,40288,2507,19653,1519
6111,31/12/2007,173223,3236,136390,3578,47944,2816,11199,1555,36745,2420,3713,930,84733,3304,36833,2288
6113,31/12/2007,37899,1790,28580,1600,10091,1260,2863,962,7228,1069,719,418,17770,1728,9319,1190
6115,31/12/2007,13169,1391,9762,1250,3335,1108,1251,678,2084,880,287,268,6140,1016,3407,767
6001,31/12/2008,289188,6710,226724,5625,78698,3969,16752,2112,61946,3834,4694,1138,143332,4976,62464,3248
6007,31/12/2008,49878,2206,32434,2024,9195,1435,1481,527,7714,1246,363,295,22876,1967,17444,1815
