GeoID,Date,Estimate; Total:,Estimate; Air transportation workers,Estimate; Architecture and engineering occupations,"Estimate; Arts, design, entertainment, sports, and media occupations",Estimate; Building and grounds cleaning and maintenance occupations,Estimate; Business and financial operations occupations,Estimate; Community and social services occupations,Estimate; Computer and mathematical occupations,Estimate; Construction and extraction occupations,"Estimate; Education, training, and library occupations","Estimate; Farming, fishing, and forestry occupations","Estimate; Fire fighting and prevention, and other protective service workers including supervisors",Estimate; Food preparation and serving related occupations,Estimate; Health diagnosing and treating practitioners and other technical occupations,Estimate; Health technologists and technicians,Estimate; Healthcare practitioner and technical occupations:,Estimate; Healthcare support occupations,"Estimate; Installation, maintenance, and repair occupations",Estimate; Law enforcement workers including supervisors,Estimate; Legal occupations,"Estimate; Life, physical, and social science occupations",Estimate; Management occupations,Estimate; Material moving workers,Estimate; Motor vehicle operators,Estimate; Office and administrative support occupations,Estimate; Personal care and service occupations,Estimate; Production occupations,Estimate; Rail and water and other transportation workers,Estimate; Sales and related occupations,"Estimate; Supervisors, transportation and material moving workers"
6081,31/12/2006,357350,336,16798,16668,29648,45486,7128,33620,30714,35080,4912,8820,29686,24056,9166,1228,9884,18832,4638,10476,17604,90667,9446,15006,100086,26456,27236,3216,83622,1608
6083,31/12/2006,183888,484,11666,10298,29344,11842,5424,8552,20404,20378,18620,2998,23820,9820,2516,423,7534,10324,2988,2758,3884,30629,5926,5138,48790,14032,15162,470,41248,1002
6085,31/12/2006,836124,1606,100042,33464,58424,94152,18518,145068,80730,76628,7268,20460,70870,50262,15546,1694,25528,42654,7236,18758,25568,203374,19510,26332,192174,53876,100008,1686,174864,950
6087,31/12/2006,126710,388,8344,8086,8048,8716,4124,9824,16452,17466,8768,3266,12188,8026,3624,369,5784,7838,1024,2386,4152,28638,4576,3416,24394,15010,8622,508,27240,686
6095,31/12/2006,185783,790,7058,6266,13218,13284,7300,6886,31110,20562,2380,3912,18298,13000,8366,85,10124,15402,5822,3078,3172,26560,8768,8408,61912,15534,18602,1718,37490,964
6097,31/12/2006,234950,80,8756,8796,18120,19302,4802,8280,35850,24780,8424,3250,27684,13394,6662,307,9276,14956,4522,3946,3996,47634,9118,10536,65814,16434,24196,472,69272,102
6099,31/12/2006,214212,92,5386,4666,17034,9076,6484,3892,33514,23224,9928,3592,20014,13912,6888,817,9024,17350,3354,2096,1574,36767,18034,16096,62320,18284,33384,402,50156,1086
6107,31/12/2006,164825,206,1840,2196,13366,9150,5664,1644,18212,19192,44778,3962,13122,7656,4444,194,9140,11894,7640,1378,806,22427,12850,10608,40694,11896,21892,608,31078,668
6111,31/12/2006,390136,664,25836,18482,32170,37318,13308,21048,40102,38044,18256,6692,36016,22344,9368,1099,13126,27184,4636,8764,8060,87687,13830,14850,111604,26174,46544,1190,93480,1396
6001,31/12/2007,708643,1212,47840,34878,51360,79300,22200,81324,79608,77988,1496,15164,58226,43190,14106,1840,22116,39962,5944,20088,23216,160284,27320,32448,198814,50698,66384,2314,148422,2544
6013,31/12/2007,489867,978,22994,16822,43180,59616,12556,33762,58216,46742,1026,10172,49716,31288,10684,1461,16972,28726,9028,16406,13966,117675,16362,22152,142284,31138,29666,2738,128478,1798
6019,31/12/2007,379475,612,6984,8782,29946,33446,14700,5696,42712,41536,59880,11898,33452,22990,13166,311,17538,25458,9180,7768,4110,51068,24420,26466,103784,31974,38476,1326,87882,1304
6029,31/12/2007,309068,494,10448,6678,30430,14124,9792,6498,51262,36246,43190,9356,38164,16128,9232,492,11862,29128,10226,3536,5784,39023,17702,25660,77538,21276,30552,1166,60254,1018
6037,31/12/2007,4566443,4822,154956,376836,427796,419778,126308,161056,526282,466490,17096,124452,479324,255616,106530,11919,156922,274522,47752,123610,70102,779076,247338,267860,1348226,374382,679906,23690,1041482,19176
6041,31/12/2007,128582,344,5744,8998,9234,15722,2760,7586,15922,18988,678,2184,11060,13226,2714,399,3310,3852,1018,7104,4828,35020,1688,3330,24438,11786,3608,144,39930,0
6053,31/12/2007,182549,420,5656,6118,19038,11358,6746,7332,22066,18908,45950,4246,24660,8822,3380,377,5198,11718,3230,2512,2706,26815,9972,7834,39574,11068,17518,452,40218,344
6059,31/12/2007,1470395,2856,76830,68914,127614,173754,35268,87700,154898,147246,9114,31418,135956,88846,32422,6329,33722,74698,16802,39828,26142,358109,53110,54704,399968,99212,188914,4880,404944,5416
6061,31/12/2007,167457,870,10934,7018,10456,17442,2850,10258,22248,19498,694,3174,14698,12930,4376,403,4170,10146,4156,2424,3140,38847,5552,5762,50404,12094,11116,204,47264,716
6065,31/12/2007,902128,1086,25986,29000,87616,61704,25006,23736,143026,95576,15202,24678,98734,45762,25424,1515,35258,75888,22110,17380,11764,147357,46992,66718,266638,67290,111826,3174,222464,2970
6067,31/12/2007,643366,1600,24872,23400,54238,78690,22668,45122,82898,57966,3152,18236,66976,35874,19276,459,26016,39568,14634,17468,12276,120361,27424,33482,209602,48702,41956,3250,148976,1592
6071,31/12/2007,863109,630,21774,19382,70858,61906,25122,21996,138896,96146,3866,25460,83598,56526,23024,1613,26672,70004,17254,15146,6942,123528,78858,70798,279674,67238,106312,5614,199486,5444
6073,31/12/2007,1370054,3294,79098,63174,119532,151914,37942,91906,150470,154322,9452,33216,151522,87852,37076,3372,41358,86044,23056,41202,48096,284662,40120,61494,363752,102738,122686,6662,333994,3990
6075,31/12/2007,428702,292,17888,40794,29060,67854,15632,42146,27176,50556,0,6160,58244,29676,7306,240,12866,14994,2292,24542,17068,102495,8926,14106,104866,35088,22790,2394,93156,860
6077,31/12/2007,276056,226,7650,7010,18006,20802,5630,7418,38816,29212,23892,9516,25712,14892,7436,560,11374,21064,6282,2968,3650,40257,24080,24498,76124,18824,39604,946,62480,1966
6079,31/12/2007,121920,520,5896,6376,11548,9984,3978,5192,15424,15300,2218,3826,12776,9834,3982,687,3584,5740,4850,3766,2316,25611,4588,2686,30784,10806,7636,978,32954,0
6081,31/12/2007,364921,386,17324,15068,40806,40840,5894,30878,32160,33578,3072,7010,33542,27968,10006,1270,15630,18822,4924,13964,13396,84865,11494,15588,105558,29306,20708,2150,89190,1326
6083,31/12/2007,189354,1106,8290,9512,19480,16588,7342,8278,22966,31614,19692,4100,20900,6614,4144,146,6516,7670,4448,3670,5444,36742,5448,7506,48532,17842,13900,1208,37230,274
6085,31/12/2007,858765,326,112160,33206,68766,99834,21184,141686,85418,89342,4272,17928,66972,50428,14316,914,23016,50012,5670,19428,31702,215642,21218,25182,192414,54188,93604,1522,170726,1504
6087,31/12/2007,130412,0,6454,5256,10470,11292,6090,7492,15900,20068,11278,4532,14894,8576,3958,75,3846,6284,1700,3672,5082,25979,6624,3630,27558,11004,10164,330,27392,92
6095,31/12/2007,183367,730,7418,4370,14812,20080,7724,6562,25044,14556,3644,6252,15248,9424,6442,38,7376,16970,7554,3526,4122,33460,11310,7536,58552,13090,16256,2052,39910,944
6097,31/12/2007,232823,230,8120,11712,23018,20202,5842,8648,36042,23528,10938,5778,27872,14726,4748,765,9294,11728,2746,4822,4588,46827,8766,9508,58310,19936,28908,1136,54196,538
6099,31/12/2007,210823,102,4328,4296,11930,12126,5668,3462,34364,24742,13260,5866,20320,11730,8104,315,8014,15758,5632,1838,2232,34174,16992,18674,61354,15522,31384,412,48264,480
6107,31/12/2007,162076,128,1750,3212,10660,6286,6564,1928,23248,17726,51868,3710,15892,7346,3866,211,7848,8330,6352,1122,2412,20237,11218,9228,36536,12746,22618,360,29798,516
6111,31/12/2007,384467,1238,18212,13186,36594,41298,10264,19390,45562,33430,23966,10218,27664,22340,8166,909,11644,20672,5462,7034,10270,86496,15998,17218,111156,27528,42406,1622,96334,904
6001,31/12/2008,729861,2086,49510,37048,51970,75006,22072,70878,71180,95286,1546,14966,57122,48134,16818,1452,26596,43794,8114,22654,32610,148552,31490,31018,192574,63824,77240,3292,152972,2658
6013,31/12/2008,500898,788,22102,22580,49404,60490,13990,35130,56476,57604,3550,11586,45146,34700,12214,1209,16318,27246,10286,16510,17208,114922,21508,24444,131916,37764,29590,3336,119112,1494
6019,31/12/2008,381368,784,7216,11008,33702,28776,13930,8046,40318,49526,56316,7620,41666,18340,14476,558,18978,24704,9008,5904,4856,53076,26440,26444,108310,34776,32700,1450,80176,1918
6029,31/12/2008,313138,310,13114,9290,28442,15482,9046,6124,44260,37526,45590,10956,35772,14962,9766,402,14754,26704,13850,2960,4624,37694,25142,24594,86060,20244,30952,1302,55020,998
6037,31/12/2008,4650036,4316,149588,374622,415764,427532,136874,172996,501798,473916,19598,125064,462876,261514,115264,11274,167710,267518,50594,129088,74060,830862,274892,266036,1383478,408724,661412,26846,1068628,16684
6041,31/12/2008,132232,234,5018,13824,11698,16552,4548,6204,12260,16850,1420,1372,11198,14398,2420,426,2906,3140,3076,7878,6200,39448,1220,3928,31020,9306,5670,94,29838,824
6053,31/12/2008,179262,0,3954,8824,21456,9974,4592,5320,20454,21642,39170,3192,23080,7720,4144,492,8460,9192,4012,1764,4698,27583,12094,11774,37814,12060,16040,448,37318,556
6059,31/12/2008,1493038,3430,85652,72674,120006,162124,34468,84352,140058,165894,10290,30718,152122,92436,33896,5163,40760,69984,18820,38506,24706,359282,61686,44606,411632,108036,195882,4768,407488,3796
6061,31/12/2008,167146,848,6354,4472,8706,19820,4668,12292,18738,17702,756,5340,19188,12454,6720,405,8314,8904,5518,5062,2486,37876,4654,7692,42880,12500,8578,332,50474,322
6065,31/12/2008,906862,2074,24710,29348,82414,57230,33776,24742,145302,102288,17946,25798,98760,43174,32064,1149,36284,65996,26114,13322,7886,152041,46368,58248,255782,81160,104328,7066,232364,3190
6067,31/12/2008,648719,2196,28004,22812,54428,74860,21848,48174,68164,66716,4508,14618,70686,35946,19680,665,29684,37508,14668,18056,14638,120287,26552,36176,208906,55376,49768,5180,140658,2230
6071,31/12/2008,860081,222,23430,20648,66342,60034,23272,23808,119518,97964,4082,25580,93120,47988,34698,1366,35748,76964,26518,10356,7598,117569,81690,70624,274728,63166,105330,6232,195448,4382
6073,31/12/2008,1374270,4126,81290,60382,117598,144470,35166,90226,156872,161392,7238,38472,166704,91836,38838,3325,49256,74298,23786,46144,48878,277521,43082,45042,364866,115874,109784,6556,334596,2882
6075,31/12/2008,452952,206,22632,46004,29398,59800,15550,50074,32254,51868,106,8920,61088,38992,6508,926,12126,9884,3294,30764,23944,117131,11494,12062,89262,37968,27928,1078,97138,282
6077,31/12/2008,281469,0,6896,4764,18074,18950,9118,7146,34576,29774,19256,10326,25724,13338,8050,528,13048,26358,6974,4034,3404,47936,23310,25272,85066,21262,37398,1058,59108,1418
6079,31/12/2008,127860,434,6880,6130,11866,9848,4250,6022,16350,16470,1830,4686,17744,9400,3940,743,7990,8390,4666,2410,3508,22312,3324,4088,33274,9488,10460,856,28262,244
6081,31/12/2008,372213,198,20020,17852,34772,38666,6684,33688,41214,32546,1100,7482,38464,29706,6924,804,13766,20160,3816,13690,14240,88455,13310,17052,100436,32192,23532,2176,85710,2300
6083,31/12/2008,195748,194,10762,11500,22240,11880,4732,6312,21740,24764,21556,5558,23670,14668,5192,662,8208,10880,3116,2716,4162,33700,8624,8284,47758,22060,11870,1464,42324,146
6085,31/12/2008,886919,744,111922,36514,66380,99752,20588,157628,78186,87660,3992,21490,72082,52546,16918,1002,20954,44776,8390,19834,30656,222467,27112,31294,198074,60290,91600,2952,181102,1532
6087,31/12/2008,131182,0,5960,8412,12710,12312,6222,6908,13168,21694,10800,4032,14198,8786,2414,74,4674,5240,898,4120,4048,28044,4712,4030,24708,10788,10982,122,30846,438
6095,31/12/2008,187524,750,6892,5326,15688,14908,6762,6498,25478,21004,2956,5156,19078,11190,6662,59,10058,13888,7718,2298,2612,32388,10436,10638,57680,12084,20804,1940,41846,1124
6097,31/12/2008,237622,564,8346,10534,24852,22316,6836,7346,31128,26500,6024,4298,31130,17482,6664,531,7844,12030,5362,4092,4446,46408,9784,8118,68172,19202,22126,1198,59880,738
6099,31/12/2008,217476,80,5574,3232,16372,10180,7816,3568,27496,28162,11128,5568,25070,9478,6544,340,9888,16968,4242,2764,2456,32707,17644,21032,62966,14414,32582,770,53496,2100
6111,31/12/2008,385504,620,24640,18492,28548,35954,13158,18956,41024,44108,26978,9524,35470,20194,9478,1269,12996,26066,7812,9612,8142,86562,13934,13332,106408,25984,41380,812,87582,1392
6001,31/12/2009,718711,1652,43758,37146,47352,83230,24998,84812,64402,88698,2188,15270,57758,50234,17856,1301,25762,35222,7540,20780,29690,160292,33170,31218,179894,60612,67070,4028,150380,2634
6013,31/12/2009,485171,642,23044,16034,49878,61742,13284,36108,50652,51288,1100,12388,43312,32586,8836,625,25218,24964,8636,15316,13734,112508,14910,21770,132242,43050,32624,4656,113876,1092
6019,31/12/2009,361145,614,7892,7062,26538,27562,14044,8750,32744,49034,60110,9324,33372,26950,12412,1208,18698,24150,6792,6474,4646,47067,24960,24212,98476,34538,36430,1598,74424,1132
6029,31/12/2009,297999,836,8248,5766,25404,14484,11936,5850,45118,32744,47476,8068,30530,14506,8738,141,12398,23026,16674,1744,4260,42879,19920,22934,73710,18230,32848,724,63498,1840
6037,31/12/2009,4496387,4006,148980,359758,434888,403946,123522,175144,468056,481804,31396,128490,467750,256998,121898,10966,170360,265852,59026,128768,78716,796512,257766,260296,1268110,418452,605140,27960,997368,17590
6041,31/12/2009,123989,574,4206,12640,11738,17796,2860,6104,11888,16668,584,2956,8514,10596,2322,484,3008,4034,1278,7018,5364,37762,3000,2752,26970,9672,5478,142,30138,0
6053,31/12/2009,172198,0,2948,4068,18768,9758,4716,4336,15612,20962,36466,5702,20492,11088,4438,659,6772,10768,6908,3460,3214,24036,14952,11616,37106,15218,15752,0,33552,438
6059,31/12/2009,1445466,1332,80996,75616,141448,156262,36302,90436,125422,149702,9592,33256,158140,87812,30680,5088,43528,70876,20506,45782,27550,353571,54500,52192,376046,105876,179428,6578,365388,3198
6061,31/12/2009,160291,324,6150,5476,12002,21992,5212,8046,11116,16422,378,2464,15962,12564,2702,497,4594,10232,6226,4234,3098,41586,3900,4784,48758,10990,10228,584,48338,608
6065,31/12/2009,853084,1208,25326,27054,95370,57440,24426,24560,119664,106872,15024,29224,91788,47034,26130,2056,35262,67372,23172,9588,8004,141127,49868,54586,236188,80846,96500,4560,201652,1966
6067,31/12/2009,604738,454,25980,18588,46706,77344,21756,42576,58030,59268,4592,15850,65250,39128,20928,974,24274,35210,12476,17480,15498,109028,23504,35910,205968,56360,37658,2912,129762,1518
6071,31/12/2009,804280,1864,20956,17622,67158,51978,24846,21760,99876,95634,7094,26020,80088,53304,22688,477,35222,63182,22588,11196,7356,120792,60666,70700,244210,73446,108000,5422,187764,3626
6073,31/12/2009,1351427,5230,73444,69078,129784,139864,36744,93742,128670,146752,10884,43482,140402,93916,37280,4282,47970,70774,26064,35896,52726,282438,36276,54132,347748,127504,110462,7490,339950,2396
6075,31/12/2009,446397,542,23294,41062,29112,62638,13860,51234,28872,45912,1282,8122,62678,37856,7868,885,13758,12592,5862,26846,24334,109478,9992,13282,97292,36096,15986,2746,101588,830
6077,31/12/2009,266854,558,7226,3866,18064,18030,8304,8512,27506,31596,26142,7416,27464,15932,6842,735,15278,23018,8474,4080,2464,36879,19948,18902,75718,21206,34626,1808,60664,1402
6079,31/12/2009,123655,506,5706,4114,10512,6158,3994,4576,10814,14930,5548,4618,16026,9626,4100,318,5036,6692,8068,2976,2524,23078,1474,6676,33166,12768,8554,1120,32942,0
6081,31/12/2009,361261,626,17426,19930,38210,47056,8722,34484,25602,31184,3698,6354,30366,27330,7638,823,12188,17962,4624,12908,19672,87796,10790,14966,97618,30810,21526,3672,82208,1788
6083,31/12/2009,184260,314,8896,10284,20690,19168,4636,9172,16816,25224,22070,5528,25126,10226,4908,309,7508,7348,2032,3118,6060,31302,7564,6854,40134,18388,15834,650,37422,92
6085,31/12/2009,848595,844,100688,35796,66750,86256,17266,137492,73380,96862,6516,16378,70862,53300,19062,1849,21410,42826,9196,22340,25434,215430,23716,26474,187882,60084,90618,2872,179862,872
6087,31/12/2009,118791,344,6724,7638,8796,10722,4566,7366,12900,16676,7936,1492,13518,11124,2734,125,3544,5382,858,1560,5722,26477,4810,3596,19766,12304,9146,114,30788,186
6095,31/12/2009,182777,418,6430,5970,15504,13250,6038,8116,20990,16408,2234,6724,19564,13930,7186,243,13042,12682,6984,4652,4492,31449,9434,10214,50778,14266,18406,1344,43248,242
6097,31/12/2009,230499,480,8148,9706,21596,23206,8942,9402,28754,24484,8702,3440,26476,16860,6622,151,10388,10670,3792,4744,5516,52706,9660,10262,52270,19804,24722,894,55642,340
6099,31/12/2009,202028,352,5744,5096,17782,12032,7390,3412,26088,25608,18258,3688,20750,10154,6284,565,7424,17580,2900,2348,1572,28781,17764,15922,53762,16988,34590,604,39850,354
6107,31/12/2009,164412,408,1812,2250,16458,7470,5052,1640,12032,19834,44720,4924,18938,9174,7202,151,7440,15676,7684,2166,2228,20053,16152,11414,34350,10788,17688,732,29450,1074
