GeoID,Date,Estimate; Total:,Margin of Error; Total:,Estimate; Owner occupied,Margin of Error; Owner occupied,Estimate; Renter occupied,Margin of Error; Renter occupied
6081,12/31/2011,717816,1116,436574,11218,281242,11094
6083,12/31/2011,410661,2002,196112,8610,214549,8767
6085,12/31/2011,1777607,2373,1027471,19814,750136,19897
6087,12/31/2011,253650,1147,141898,7130,111752,7228
6089,12/31/2011,174817,1162,113765,5872,61052,5911
6095,12/31/2011,404505,1284,247950,9287,156555,9506
6097,12/31/2011,478895,3603,279524,11239,199371,10073
6099,12/31/2011,513037,879,295221,10645,217816,10689
6101,12/31/2011,93677,405,58567,4744,35110,4754
6107,12/31/2011,443077,943,245800,11586,197277,11576
6111,12/31/2011,821179,1482,536895,13316,284284,13357
6113,12/31/2011,194999,933,105929,6648,89070,6711
6115,12/31/2011,71356,711,38922,4006,32434,4186
6001,12/31/2012,1520267,2530,834240,18158,686027,18276
6007,12/31/2012,215818,1778,121866,6248,93952,6327
6013,12/31/2012,1069034,1229,681047,15004,387987,15129
6017,12/31/2012,178778,649,127651,5368,51127,5212
6019,12/31/2012,928883,1884,461107,11680,467776,11734
6023,12/31/2012,130699,1030,71605,4385,59094,4479
6025,12/31/2012,164326,1436,93931,7026,70395,6969
6029,12/31/2012,825319,2651,461540,14486,363779,14524
6031,12/31/2012,131503,1459,63152,5178,68351,5194
6033,12/31/2012,62902,619,36405,3443,26497,3467
6037,12/31/2012,9788572,5960,4733605,44446,5054967,44792
6039,12/31/2012,144407,1338,78650,5893,65757,5967
6041,12/31/2012,248143,1247,157374,5842,90769,5799
6045,12/31/2012,85206,528,44902,3489,40304,3512
6047,12/31/2012,256441,3595,133058,8505,123383,8173
6053,12/31/2012,407367,1684,188637,9745,218730,9709
6055,12/31/2012,134151,1656,79135,4468,55016,4342
6057,12/31/2012,97107,767,68145,4222,28962,4350
6059,12/31/2012,3048005,2846,1711868,22915,1336137,22753
6061,12/31/2012,357369,1163,248338,8665,109031,8642
6065,12/31/2012,2234385,3007,1414012,26204,820373,25913
6067,12/31/2012,1426417,2375,799655,16749,626762,17112
6071,12/31/2012,2036191,3382,1213268,25318,822923,24893
6073,12/31/2012,3087151,3857,1647025,23906,1440126,23777
6075,12/31/2012,806064,3343,334646,10496,471418,10605
6077,12/31/2012,687460,1855,379109,12421,308351,12248
6079,12/31/2012,257595,2147,144303,6685,113292,7244
6081,12/31/2012,729645,1310,422233,11300,307412,11329
6083,12/31/2012,412020,2114,206307,9070,205713,9638
6085,12/31/2012,1805051,3334,1031201,17611,773850,17838
6087,12/31/2012,255178,1748,138989,7508,116189,7355
6089,12/31/2012,176040,782,105946,4785,70094,4926
6095,12/31/2012,408642,1763,237337,8633,171305,8418
6097,12/31/2012,482035,2653,281902,10057,200133,10062
6099,12/31/2012,515794,1391,278053,9660,237741,9910
6101,12/31/2012,94083,333,56544,4001,37539,4030
6107,12/31/2012,445743,1166,242703,10754,203040,10516
6111,12/31/2012,824403,1654,525114,13930,299289,13799
6113,12/31/2012,195463,1372,98369,7059,97094,7250
6115,12/31/2012,71607,796,41645,3356,29962,3373
6001,12/31/2013,1545065,2065,850900,16839,694165,16929
6007,12/31/2013,216889,1190,124600,5948,92289,5661
6013,12/31/2013,1083629,1195,693153,15783,390476,15510
6017,12/31/2013,179950,743,130992,6302,48958,6227
6019,12/31/2013,937692,1739,468895,14980,468797,14965
6023,12/31/2013,130304,974,71482,4069,58822,3928
6025,12/31/2013,166762,1070,89281,7046,77481,6923
6029,12/31/2013,832384,2904,437692,15941,394692,15652
6031,12/31/2013,133662,1371,70845,5731,62817,5689
6033,12/31/2013,62993,576,38934,3164,24059,3203
6037,12/31/2013,9840983,6524,4731516,48430,5109467,47931
6039,12/31/2013,144668,993,79879,5734,64789,5749
6041,12/31/2013,251046,1202,165886,5518,85160,5523
6045,12/31/2013,85029,522,47441,4125,37588,4192
6047,12/31/2013,256204,2843,128208,8002,127996,7231
6053,12/31/2013,410636,1606,192943,8882,217693,9164
6055,12/31/2013,136155,931,82442,4463,53713,4421
6057,12/31/2013,97043,624,68903,4462,28140,4469
6059,12/31/2013,3071779,2501,1737753,25174,1334026,25110
6061,12/31/2013,363314,1105,255694,7812,107620,7819
6065,12/31/2013,2260423,2898,1408475,25831,851948,26147
6067,12/31/2013,1437135,2724,783755,16257,653380,16170
6071,12/31/2013,2040703,6251,1236160,20311,804543,19521
6073,12/31/2013,3122919,4213,1636232,22924,1486687,23518
6075,12/31/2013,817633,2734,341085,10809,476548,11404
6077,12/31/2013,688776,1896,373018,12355,315758,12626
6079,12/31/2013,260282,2495,144388,5810,115894,5722
6081,12/31/2013,737239,1654,453479,8724,283760,9009
6083,12/31/2013,416025,2432,206656,9198,209369,9322
6085,12/31/2013,1828854,2004,1043850,19631,785004,19946
6087,12/31/2013,257627,1500,153037,8360,104590,8542
6089,12/31/2013,175899,879,103609,4733,72290,4678
6095,12/31/2013,414096,1006,243851,9258,170245,9259
6097,12/31/2013,486689,1263,284792,8762,201897,8746
6099,12/31/2013,519822,915,288024,10388,231798,10419
6101,12/31/2013,94434,313,55266,4788,39168,4749
6107,12/31/2013,448528,1002,231478,10597,217050,10716
6111,12/31/2013,826851,1845,507167,12205,319684,12046
6113,12/31/2013,196634,1526,98104,6411,98530,6358
6115,12/31/2013,72162,835,40740,4000,31422,3847
