GeoID,Date,Estimate; Total:,Margin of Error; Total:,Estimate; Total: - Median household income for units with a mortgage,Margin of Error; Total: - Median household income for units with a mortgage,Estimate; Total: - Median household for units without a mortgage,Margin of Error; Total: - Median household for units without a mortgage
6037,31/12/2009,79610,820,87114,1001,50406,1436
6039,31/12/2009,54947,4424,59202,8293,37277,7579
6041,31/12/2009,112600,6297,128245,6816,72143,14334
6045,31/12/2009,51780,3633,75050,7815,29296,3938
6047,31/12/2009,58751,3575,62260,3774,47301,6435
6053,31/12/2009,79160,4717,90228,5549,43948,8464
6055,31/12/2009,89627,8627,102097,11508,51571,7308
6057,31/12/2009,67994,5432,75888,9938,43273,7337
6059,31/12/2009,91475,1933,102333,1731,55694,2561
6061,31/12/2009,85265,4136,94884,5756,54758,5853
6065,31/12/2009,67647,1392,77823,1916,36434,1903
6067,31/12/2009,71260,1483,80184,1964,46548,2329
6071,31/12/2009,66002,1759,74817,1718,36882,2302
6073,31/12/2009,82393,1250,91871,1449,49679,2649
6075,31/12/2009,104190,6104,122514,7998,66150,6808
6077,31/12/2009,68923,3239,77945,3156,42102,4375
6079,31/12/2009,73776,4983,85661,5845,48121,6161
6081,31/12/2009,112978,3691,126658,2968,64994,5319
6083,31/12/2009,79014,5178,92681,5480,55271,5168
6085,31/12/2009,109763,2744,122059,1992,63169,4507
6087,31/12/2009,83624,5610,97805,6196,51310,11515
6089,31/12/2009,52760,2034,62201,6072,37333,3741
6095,31/12/2009,81070,3347,88897,4047,48714,5043
6097,31/12/2009,81570,3005,94011,5327,46147,4422
6099,31/12/2009,62289,2477,71578,2918,39758,3238
6101,31/12/2009,61816,3691,64496,5808,45170,6493
6107,31/12/2009,54982,3004,60713,3376,37654,3445
6111,31/12/2009,89226,3092,99429,2220,46660,3298
6113,31/12/2009,85305,2175,87551,5228,70908,15640
6115,31/12/2009,55036,6543,63386,3744,39677,11630
6001,31/12/2010,97977,2990,108275,3146,61123,3445
6007,31/12/2010,54433,3711,68250,5599,33955,4089
6013,31/12/2010,95459,2690,107279,3090,54254,3393
6017,31/12/2010,80321,6528,88771,5778,51849,6735
6019,31/12/2010,65352,2061,72537,2574,47419,5381
6023,31/12/2010,54556,6464,62202,4437,36394,4315
6025,31/12/2010,54367,4264,63791,8438,35943,7579
6029,31/12/2010,61561,2051,69006,2954,39483,3675
6031,31/12/2010,66583,5669,76816,12512,44370,7678
6033,31/12/2010,41838,6560,51748,10505,25928,5567
6037,31/12/2010,78711,1095,87028,1009,49566,1232
6039,31/12/2010,60123,6799,66006,6811,42846,8205
6041,31/12/2010,110170,7706,125708,9507,69408,13495
6045,31/12/2010,45453,5754,57548,5462,31076,4369
6047,31/12/2010,56475,6223,62087,4254,38222,4498
6053,31/12/2010,72615,4724,83673,4980,50088,7151
6055,31/12/2010,87750,6342,98238,5129,43902,11245
6057,31/12/2010,67998,5158,77127,5151,46192,6564
6059,31/12/2010,92447,1589,103383,1591,55115,2575
6061,31/12/2010,80887,3854,91440,4753,46814,6527
6065,31/12/2010,66100,1334,75310,1680,38643,1544
6067,31/12/2010,72691,1737,79352,2094,48111,2909
6071,31/12/2010,66588,1774,74279,1936,39401,3497
6073,31/12/2010,81747,1060,91605,1194,48713,2153
6075,31/12/2010,107725,5391,127119,7562,64437,4676
6077,31/12/2010,70174,2262,76437,3034,43110,2940
6079,31/12/2010,72373,4059,83999,4611,42881,4447
6081,31/12/2010,105708,3751,121279,4037,60587,4385
6083,31/12/2010,76848,3550,88093,5628,49833,5171
6085,31/12/2010,109867,2254,126786,3772,64133,4621
6087,31/12/2010,84702,4243,95691,6260,54035,7416
6089,31/12/2010,50120,4234,61404,5557,35404,3745
6095,31/12/2010,78140,3402,86216,3858,53892,3591
6097,31/12/2010,74012,2622,86225,4116,48140,3927
6099,31/12/2010,61662,2342,71480,3930,36125,2731
6101,31/12/2010,57321,7732,66855,9816,38022,7760
6107,31/12/2010,57435,2635,62616,3654,34922,4183
6111,31/12/2010,91343,2641,102148,4201,52506,4748
6113,31/12/2010,83396,4671,98252,5732,53762,7520
