GeoID,Date,Estimate; Total:,Margin of Error; Total:,"Estimate; Less than $10,000","Margin of Error; Less than $10,000","Estimate; $10,000 to $14,999","Margin of Error; $10,000 to $14,999","Estimate; $15,000 to $19,999","Margin of Error; $15,000 to $19,999","Estimate; $20,000 to $24,999","Margin of Error; $20,000 to $24,999","Estimate; $25,000 to $29,999","Margin of Error; $25,000 to $29,999","Estimate; $30,000 to $34,999","Margin of Error; $30,000 to $34,999","Estimate; $35,000 to $39,999","Margin of Error; $35,000 to $39,999","Estimate; $40,000 to $49,999","Margin of Error; $40,000 to $49,999","Estimate; $50,000 to $59,999","Margin of Error; $50,000 to $59,999","Estimate; $60,000 to $69,999","Margin of Error; $60,000 to $69,999","Estimate; $70,000 to $79,999","Margin of Error; $70,000 to $79,999","Estimate; $80,000 to $89,999","Margin of Error; $80,000 to $89,999","Estimate; $90,000 to $99,999","Margin of Error; $90,000 to $99,999","Estimate; $100,000 to $124,999","Margin of Error; $100,000 to $124,999","Estimate; $125,000 to $149,999","Margin of Error; $125,000 to $149,999","Estimate; $150,000 to $174,999","Margin of Error; $150,000 to $174,999","Estimate; $175,000 to $199,999","Margin of Error; $175,000 to $199,999","Estimate; $200,000 to $249,999","Margin of Error; $200,000 to $249,999","Estimate; $250,000 to $299,999","Margin of Error; $250,000 to $299,999","Estimate; $300,000 to $399,999","Margin of Error; $300,000 to $399,999","Estimate; $400,000 to $499,999","Margin of Error; $400,000 to $499,999","Estimate; $500,000 to $749,999","Margin of Error; $500,000 to $749,999","Estimate; $750,000 to $999,999","Margin of Error; $750,000 to $999,999","Estimate; $1,000,000 or more","Margin of Error; $1,000,000 or more"
6017,31/12/2006,49224,1868,465,341,96,150,41,68,253,331,130,212,231,296,0,289,364,309,525,328,229,276,166,138,175,176,262,272,294,231,388,336,420,227,237,171,1823,497,1054,545,7837,1209,8654,1319,16017,1611,6233,1199,3330,933
6019,31/12/2006,152363,3959,749,470,335,184,320,220,643,402,412,245,491,351,531,346,493,280,1077,605,923,480,1263,463,1409,621,924,447,3346,843,3710,853,8093,1346,9575,1268,22843,2393,18489,2131,38421,2527,15715,1400,16984,1737,2911,756,2706,633
6023,31/12/2006,28751,1568,258,204,58,77,0,289,253,186,27,46,155,175,301,179,702,363,217,204,320,203,92,91,202,183,104,118,623,298,611,283,536,242,597,271,3755,727,2288,636,9113,1057,3221,738,3716,802,1182,329,420,242
6025,31/12/2006,27196,2081,576,329,345,194,69,99,59,75,305,286,69,98,0,289,267,176,339,279,296,213,203,134,305,234,465,320,1406,583,541,327,1791,476,2544,708,4455,1017,5627,1238,5216,1112,1245,534,773,414,300,236,0,289
6029,31/12/2006,147483,4000,1016,375,504,405,430,238,733,386,403,326,587,296,392,311,1450,496,1037,423,1146,406,2322,918,2689,839,1854,562,6640,1243,4685,1000,10955,1665,9930,1307,24939,2130,19915,2273,29676,2472,11682,1597,10071,1381,2176,571,2251,588
6031,31/12/2006,22372,1540,709,452,48,78,154,146,0,289,155,150,0,289,53,68,86,93,664,579,351,329,71,84,334,225,151,141,950,521,1150,613,1818,671,2403,680,3730,903,2266,626,4572,859,1628,520,768,454,187,152,124,87
6033,31/12/2006,16167,1927,347,361,71,139,283,225,158,190,350,293,172,148,0,289,0,289,203,248,0,289,0,289,0,289,0,289,823,517,251,261,933,638,624,422,1493,652,1704,801,3771,1133,2109,722,1489,642,933,585,453,266
6037,31/12/2006,1564640,11710,5377,1076,2164,741,1650,595,2389,760,2553,674,3430,872,2922,845,7918,1248,8963,1111,6701,1314,5064,1019,5046,911,3306,730,10440,1266,7986,1141,10588,1195,11084,1578,41492,2316,31893,2714,172219,6081,276588,7435,548243,10937,209189,5454,187435,5588
6039,31/12/2006,25064,1844,31,53,128,161,257,210,69,112,44,70,0,289,512,397,64,85,122,146,248,223,226,187,213,159,88,151,302,280,438,272,1249,518,823,377,3071,782,2311,663,6394,1227,4860,1071,2916,744,518,357,180,196
6045,31/12/2006,21429,1452,92,116,36,63,159,166,0,289,204,208,0,289,112,141,248,237,215,205,60,75,126,123,548,368,47,92,503,253,158,141,412,285,312,208,1416,529,471,346,3230,858,4120,862,5505,1010,1290,731,2165,719
6047,31/12/2006,38913,2209,199,165,36,63,411,408,118,143,158,148,169,176,108,129,198,160,138,133,119,173,174,177,342,291,159,159,348,197,229,170,1299,403,1258,662,3726,886,3205,778,11910,1922,6275,1054,5516,1026,1511,500,1307,443
6053,31/12/2006,68716,2531,384,235,57,95,0,289,18,30,133,136,95,111,315,239,91,106,567,394,323,223,163,161,469,322,81,102,481,361,235,179,544,295,783,355,930,347,1044,472,3264,688,6902,1107,23610,2204,13917,1651,14310,1648
6057,31/12/2006,29191,1931,353,311,196,302,54,88,59,97,124,130,0,289,0,289,126,108,228,270,290,371,0,289,130,132,86,106,168,192,265,194,261,223,220,162,1100,419,1640,682,4172,815,6535,1191,8778,1344,2852,866,1554,596
6059,31/12/2006,605615,6967,1545,684,778,736,319,223,860,386,1030,417,755,358,1037,392,3166,960,2789,639,3472,939,3118,822,3428,854,3216,827,4250,992,3614,737,3982,956,2826,711,11156,1594,7452,1276,30444,2824,49624,3236,232945,6522,135793,4818,98016,3656
6061,31/12/2006,89272,2523,104,106,81,130,184,245,145,147,166,146,148,170,54,91,275,187,281,242,178,161,544,418,276,280,606,423,343,242,572,309,411,266,448,267,2311,758,1284,554,14097,1950,21196,1715,29521,2469,10691,1423,5356,1127
6065,31/12/2006,444836,6011,3532,844,1531,529,2005,624,1640,569,2123,694,1669,583,1846,529,3284,917,3710,696,2282,758,3213,812,3568,832,2354,662,5230,930,5960,1263,8554,1269,7773,1092,28261,2414,19766,1854,100330,5360,98505,4380,102734,4203,21878,1942,13088,1565
6067,31/12/2006,306047,6029,1258,627,840,466,724,474,487,252,1185,448,748,303,803,368,1221,502,838,340,1164,419,1031,492,715,267,1408,481,1708,570,1636,533,3299,760,5644,1163,21354,1982,19644,1974,97879,4288,65105,3293,57915,3078,13751,1488,5690,1141
6071,31/12/2006,393257,6526,2675,660,1696,558,1761,602,2446,710,1752,765,1539,692,1428,596,3870,1121,3099,762,2913,906,1722,674,3187,892,3012,843,7250,1447,5459,968,7390,1252,7320,1235,28434,2793,26435,3087,106530,4699,78891,4432,73776,3852,15221,1765,5451,1174
